Date,069500_return,114260_return,153130_return,069500_ma_pos,114260_ma_pos,153130_ma_pos,069500_momentum,114260_momentum,153130_momentum,069500_vol,114260_vol,153130_vol,069500_rs,114260_rs,153130_rs
2012-03-07,,,,,,,,,,,,,,,
2012-03-08,,,,,,,,,,,,,,,
2012-03-09,,,,,,,,,,,,,,,
2012-03-12,,,,,,,,,,,,,,,
2012-03-13,,,,,,,,,,,,,,,
2012-03-14,,,,,,,,,,,,,,,
2012-03-15,,,,,,,,,,,,,,,
2012-03-16,,,,,,,,,,,,,,,
2012-03-19,,,,,,,,,,,,,,,
2012-03-20,,,,,,,,,,,,,,,
2012-03-21,,,,,,,,,,,,,,,
2012-03-22,,,,,,,,,,,,,,,
2012-03-23,,,,,,,,,,,,,,,
2012-03-26,,,,,,,,,,,,,,,
2012-03-27,,,,,,,,,,,,,,,
2012-03-28,,,,,,,,,,,,,,,
2012-03-29,,,,,,,,,,,,,,,
2012-03-30,,,,,,,,,,,,,,,
2012-04-02,,,,,,,,,,,,,,,
2012-04-03,,,,,,,,,,,,,,,
2012-04-04,,,,,,,,,,,,,,,
2012-04-05,,,,,,,,,,,,,,,
2012-04-06,,,,,,,,,,,,,,,
2012-04-09,,,,,,,,,,,,,,,
2012-04-10,,,,,,,,,,,,,,,
2012-04-12,,,,,,,,,,,,,,,
2012-04-13,,,,,,,,,,,,,,,
2012-04-16,,,,,,,,,,,,,,,
2012-04-17,,,,,,,,,,,,,,,
2012-04-18,,,,,,,,,,,,,,,
2012-04-19,,,,,,,,,,,,,,,
2012-04-20,,,,,,,,,,,,,,,
2012-04-23,,,,,,,,,,,,,,,
2012-04-24,,,,,,,,,,,,,,,
2012-04-25,,,,,,,,,,,,,,,
2012-04-26,,,,,,,,,,,,,,,
2012-04-27,,,,,,,,,,,,,,,
2012-04-30,,,,,,,,,,,,,,,
2012-05-02,,,,,,,,,,,,,,,
2012-05-03,,,,,,,,,,,,,,,
2012-05-04,,,,,,,,,,,,,,,
2012-05-07,,,,,,,,,,,,,,,
2012-05-08,,,,,,,,,,,,,,,
2012-05-09,,,,,,,,,,,,,,,
2012-05-10,,,,,,,,,,,,,,,
2012-05-11,,,,,,,,,,,,,,,
2012-05-14,,,,,,,,,,,,,,,
2012-05-15,,,,,,,,,,,,,,,
2012-05-16,,,,,,,,,,,,,,,
2012-05-17,,,,,,,,,,,,,,,
2012-05-18,,,,,,,,,,,,,,,
2012-05-21,,,,,,,,,,,,,,,
2012-05-22,,,,,,,,,,,,,,,
2012-05-23,,,,,,,,,,,,,,,
2012-05-24,,,,,,,,,,,,,,,
2012-05-25,,,,,,,,,,,,,,,
2012-05-29,,,,,,,,,,,,,,,
2012-05-30,,,,,,,,,,,,,,,
2012-05-31,,,,,,,,,,,,,,,
2012-06-01,,,,,,,,,,,,,,,
2012-06-04,,,,,,,,,,,,,,,
2012-06-05,,,,,,,,,,,,,,,
2012-06-07,,,,,,,,,,,,,,,
2012-06-08,,,,,,,,,,,,,,,
2012-06-11,,,,,,,,,,,,,,,
2012-06-12,,,,,,,,,,,,,,,
2012-06-13,,,,,,,,,,,,,,,
2012-06-14,,,,,,,,,,,,,,,
2012-06-15,,,,,,,,,,,,,,,
2012-06-18,,,,,,,,,,,,,,,
2012-06-19,,,,,,,,,,,,,,,
2012-06-20,,,,,,,,,,,,,,,
2012-06-21,,,,,,,,,,,,,,,
2012-06-22,,,,,,,,,,,,,,,
2012-06-25,,,,,,,,,,,,,,,
2012-06-26,,,,,,,,,,,,,,,
2012-06-27,,,,,,,,,,,,,,,
2012-06-28,,,,,,,,,,,,,,,
2012-06-29,,,,-0.6828257102259722,-0.7738252113054702,-4.619091512008257,,,,,,,,,
2012-07-02,-3.338689777545914,6.176515923827082,8.26849653606406,-0.5591900329988869,0.965535877187741,-4.332040310331789,,,,3.805793071929612,3.6118192277667385,-6.671719833368218,,,
2012-07-03,-6.612563512519016,6.602647600245238,10.0,-1.9350657164936176,-0.13470598930094563,-3.7933389684847727,-1.2390670594040403,-2.6740446116175507,-5.366608118692003,2.2319148013519174,3.1150165706813397,-6.5043111641494065,,4.459181596589979,4.311526429542456
2012-07-04,-5.909406342087764,4.280030101035865,9.518373677516767,-2.770821133390604,-1.8902083142362567,-3.8525249858759336,-2.935777901565397,-2.769279984618706,-5.171898070056502,2.0596609517735556,3.2844875072953723,-6.2866789746412035,,7.257280069506581,7.209702518421576
2012-07-05,-3.1046658635177016,2.48618551631607,9.052470657484125,-2.5505066307608426,-3.540163295193987,-4.482370575061538,-1.2593669419889084,-3.639938536009887,-5.479675953825119,0.3898904843558898,3.55437640277793,-6.1292133711285555,,5.808335759194589,5.833261298750543
