Date,etf_count,eligible_signal_count,risk_event_count,relief_event_count,risk_event_ratio,relief_event_ratio,event_balance_raw,event_intensity_raw,event_balance_label,event_intensity_label,event_balance_ma_1m,event_intensity_ma_1m,event_balance_ma_3m,event_intensity_ma_3m,event_balance_ma_6m,event_intensity_ma_6m,event_balance_ma_12m,event_intensity_ma_12m,event_balance_13612w,event_intensity_13612w,event_balance_13612w_label,event_intensity_13612w_label
2012-03-07,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-08,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-09,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-12,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-13,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-14,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-15,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-16,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-19,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-20,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-21,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-22,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-23,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-26,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-27,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-28,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-29,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03-30,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-04-02,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-04-03,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-04-04,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-04-05,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-04-06,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-04-09,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-04-10,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-04-12,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-04-13,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-04-16,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
