year_month,Date,etf_count,eligible_signal_count,risk_event_count,relief_event_count,risk_event_ratio,relief_event_ratio,event_balance_raw,event_intensity_raw,event_balance_label,event_intensity_label,event_balance_ma_1m,event_intensity_ma_1m,event_balance_ma_3m,event_intensity_ma_3m,event_balance_ma_6m,event_intensity_ma_6m,event_balance_ma_12m,event_intensity_ma_12m,event_balance_13612w,event_intensity_13612w,event_balance_13612w_label,event_intensity_13612w_label
2012-03,2012-03-31,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-04,2012-04-30,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-05,2012-05-31,3,0,0,0,,,,,mixed_or_neutral,low_intensity,,,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-06,2012-06-30,3,3,1,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,risk_event_dominant,medium_intensity,0.38596491228070173,0.6666666666666666,,,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-07,2012-07-31,3,16,6,8,0.375,0.5,-0.125,0.875,relief_event_dominant,high_intensity,-0.07440476190476192,0.5803571428571429,0.1488821138211382,0.614329268292683,,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-08,2012-08-31,3,19,2,4,0.10526315789473684,0.21052631578947367,-0.10526315789473684,0.3157894736842105,relief_event_dominant,medium_intensity,-0.048245614035087724,0.6193609022556391,0.07981759955444165,0.6191520467836257,0.07981759955444165,0.6191520467836257,,,,,mixed_or_neutral,low_accumulated_intensity
2012-09,2012-09-30,3,22,8,9,0.36363636363636365,0.4090909090909091,-0.04545454545454547,0.7727272727272727,mixed_or_neutral,high_intensity,-0.022328548644338135,0.5258601048074732,-0.047647527910685814,0.5830770107085896,0.05620328202763205,0.5992030322245921,,,,,mixed_or_neutral,low_accumulated_intensity
2012-10,2012-10-31,3,22,6,3,0.2727272727272727,0.13636363636363635,0.13636363636363635,0.40909090909090906,risk_event_dominant,high_intensity,0.04545454545454545,0.5,-0.007694425457583358,0.5562912964228753,0.054032864065758794,0.5791716507177033,0.054032864065758794,0.5791716507177033,0.03208334976427081,0.5406388841421735,mixed_or_neutral,high_accumulated_intensity
2012-11,2012-11-30,3,22,10,4,0.45454545454545453,0.18181818181818182,0.2727272727272727,0.6363636363636364,risk_event_dominant,high_intensity,0.1753246753246753,0.42640692640692635,0.06998556998556997,0.487012987012987,0.07490158477000582,0.5530825168983063,0.07490158477000582,0.5530825168983063,0.11359601655654286,0.48259142173615854,risk_accumulation,high_accumulated_intensity
2012-12,2012-12-31,3,25,6,9,0.24,0.36,-0.12,0.6,relief_event_dominant,high_intensity,0.1889177489177489,0.6817316017316017,0.1271861471861472,0.5410966810966812,0.045060314928735974,0.5558338396496292,0.08803888667375509,0.5720027578415736,0.13153889537606642,0.6033886887357283,risk_accumulation,high_accumulated_intensity
2013-01,2013-01-31,3,26,8,5,0.3076923076923077,0.19230769230769232,0.11538461538461539,0.5,risk_event_dominant,high_intensity,-0.08615384615384616,0.3292307692307692,0.08484626484626483,0.4771028971028971,0.03650160512002617,0.5203947879605774,0.0652311380228311,0.5414592968857395,0.0048157758186293245,0.43304806410386626,mixed_or_neutral,high_accumulated_intensity
2013-02,2013-02-28,3,26,3,10,0.11538461538461539,0.38461538461538464,-0.2692307692307693,0.5,relief_event_dominant,high_intensity,-0.0860805860805861,0.37545787545787546,0.0031501831501831432,0.46566988566988565,0.02654281391123496,0.47197445829024776,0.04668141199720147,0.5234799013220066,-0.023510475505212357,0.4366269976743661,mixed_or_neutral,high_accumulated_intensity
2013-03,2013-03-31,3,26,0,4,0.0,0.15384615384615385,-0.15384615384615385,0.15384615384615385,relief_event_dominant,low_intensity,-0.14102564102564105,0.2619047619047619,-0.10815628815628817,0.3294505494505494,0.010871350871350867,0.43593739593739594,0.028993919644754042,0.4967989353393718,-0.0837834807183973,0.340464442318486,relief_accumulation,medium_accumulated_intensity
2013-04,2013-04-30,3,26,6,3,0.23076923076923078,0.11538461538461539,0.11538461538461539,0.34615384615384615,risk_event_dominant,medium_intensity,0.16117216117216115,0.4102564102564103,-0.020146520146520155,0.3437118437118437,0.030740370740370736,0.4117393717393718,0.040416399814730435,0.4872819934528722,0.0686146225544556,0.39829219090927886,risk_accumulation,medium_accumulated_intensity
2013-05,2013-05-31,3,26,11,3,0.4230769230769231,0.11538461538461539,0.3076923076923077,0.5384615384615384,risk_event_dominant,high_intensity,0.1794871794871795,0.3443223443223443,0.06837606837606836,0.3333333333333333,0.035763125763125764,0.3995016095016095,0.052192554545058785,0.4751765392926259,0.10467957291482335,0.36514691355852225,risk_accumulation,medium_accumulated_intensity
2013-06,2013-06-30,3,28,22,3,0.7857142857142857,0.10714285714285714,0.6785714285714286,0.8928571428571428,risk_event_dominant,high_intensity,0.5083725798011512,0.705651491365777,0.26652712366998077,0.47392290249433106,0.08199372056514914,0.4064974707831851,0.06834183256175737,0.48365242770317957,0.30654009639066027,0.5541022042215651,risk_accumulation,high_accumulated_intensity
2013-07,2013-07-31,3,28,12,3,0.42857142857142855,0.10714285714285714,0.3214285714285714,0.5357142857142857,risk_event_dominant,high_intensity,0.48129251700680276,0.6649659863945578,0.39909297052154197,0.5817198674341532,0.1894732251875109,0.46271585557299844,0.11096513188148527,0.4933486673101335,0.3612360561848344,0.5823803926336821,risk_accumulation,high_accumulated_intensity
2013-08,2013-08-31,3,28,8,5,0.2857142857142857,0.17857142857142858,0.10714285714285712,0.4642857142857143,risk_event_dominant,high_intensity,0.3979591836734694,0.5816326530612245,0.47191697191697196,0.6608233036804465,0.2701465201465202,0.49707831850688994,0.14834466702887755,0.4845263883985688,0.36962253577667115,0.5787683548698586,risk_accumulation,high_accumulated_intensity
2013-09,2013-09-30,3,28,4,12,0.14285714285714285,0.42857142857142855,-0.2857142857142857,0.5714285714285714,relief_event_dominant,high_intensity,-0.005102040816326544,0.576530612244898,0.3112244897959184,0.6264172335600907,0.2810483167626025,0.5455259026687598,0.1468894597466026,0.4941310277024562,0.16222513993942564,0.5770556982699839,risk_accumulation,high_accumulated_intensity
2013-10,2013-10-31,3,28,1,8,0.03571428571428571,0.2857142857142857,-0.25,0.3214285714285714,relief_event_dominant,medium_intensity,-0.2874149659863946,0.4744897959183673,0.039682539682539666,0.5453514739229024,0.2160518053375196,0.5611154718297575,0.12203633667919381,0.48803692339406624,-0.04764722975437265,0.5144281472495758,mixed_or_neutral,high_accumulated_intensity
2013-11,2013-11-30,3,28,10,6,0.35714285714285715,0.21428571428571427,0.14285714285714288,0.5714285714285714,risk_event_dominant,high_intensity,0.15816326530612243,0.39965986394557823,-0.04478458049886622,0.48356009070294786,0.21677132391418105,0.5733908948194664,0.12331184688327546,0.4852668759811617,0.10551538144395287,0.4681368393511251,risk_accumulation,high_accumulated_intensity
2013-12,2013-12-31,3,28,1,6,0.03571428571428571,0.21428571428571427,-0.17857142857142855,0.25,relief_event_dominant,medium_intensity,0.1054421768707483,0.35374149659863946,-0.014739229024943314,0.409297052154195,0.15589569160997732,0.5204081632653061,0.11482905982905983,0.4617634746206175,0.08041714634571777,0.41454369440083727,risk_accumulation,high_accumulated_intensity
2014-01,2014-01-31,3,27,4,4,0.14814814814814814,0.14814814814814814,0.0,0.2962962962962963,mixed_or_neutral,medium_intensity,0.01656588561350465,0.27141597379692617,0.08318636096413874,0.3416057781137146,0.07220542538002854,0.4457461997144537,0.12310864326737343,0.449897345452901,0.05833421193738653,0.3451870974410657,risk_accumulation,medium_accumulated_intensity
2014-02,2014-02-28,3,27,2,5,0.07407407407407407,0.18518518518518517,-0.1111111111111111,0.25925925925925924,relief_event_dominant,medium_intensity,-0.07760141093474428,0.26807760141093473,0.023872511967750063,0.3043797766019988,-0.004787100025195264,0.3951037205005459,0.11879082117177356,0.44292949848505403,-0.012957148671434389,0.3218586674935881,mixed_or_neutral,medium_accumulated_intensity
2014-03,2014-03-31,3,27,2,2,0.07407407407407407,0.07407407407407407,0.0,0.14814814814814814,mixed_or_neutral,low_intensity,0.008818342151675474,0.20282186948853612,-0.023074661963550853,0.24840429999160157,-0.01919039220626522,0.3331023767531704,0.13341457190663542,0.43525867136978247,0.006108317021015431,0.2657963802805073,mixed_or_neutral,medium_accumulated_intensity
2014-04,2014-04-30,3,27,2,2,0.07407407407407407,0.07407407407407407,0.0,0.14814814814814814,mixed_or_neutral,low_intensity,0.029982363315696633,0.3509700176366843,-0.010582010582010587,0.2739564961787184,0.03630217519106408,0.3077811371462165,0.1311591113178415,0.4346990458101569,0.029194688321672446,0.32760108791854825,mixed_or_neutral,medium_accumulated_intensity
