Date,069500_signal,114260_signal,153130_signal
2012-03-07,watch,watch,watch
2012-03-08,watch,watch,watch
2012-03-09,watch,watch,watch
2012-03-12,watch,watch,watch
2012-03-13,watch,watch,watch
2012-03-14,watch,watch,watch
2012-03-15,watch,watch,watch
2012-03-16,watch,watch,watch
2012-03-19,watch,watch,watch
2012-03-20,watch,watch,watch
2012-03-21,watch,watch,watch
2012-03-22,watch,watch,watch
2012-03-23,watch,watch,watch
2012-03-26,watch,watch,watch
2012-03-27,watch,watch,watch
2012-03-28,watch,watch,watch
2012-03-29,watch,watch,watch
2012-03-30,watch,watch,watch
2012-04-02,watch,watch,watch
2012-04-03,watch,watch,watch
2012-04-04,watch,watch,watch
2012-04-05,watch,watch,watch
2012-04-06,watch,watch,watch
2012-04-09,watch,watch,watch
2012-04-10,watch,watch,watch
2012-04-12,watch,watch,watch
2012-04-13,watch,watch,watch
2012-04-16,watch,watch,watch
2012-04-17,watch,watch,watch
2012-04-18,watch,watch,watch
2012-04-19,watch,watch,watch
2012-04-20,watch,watch,watch
2012-04-23,watch,watch,watch
2012-04-24,watch,watch,watch
2012-04-25,watch,watch,watch
2012-04-26,watch,watch,watch
2012-04-27,watch,watch,watch
2012-04-30,watch,watch,watch
2012-05-02,watch,watch,watch
2012-05-03,watch,watch,watch
2012-05-04,watch,watch,watch
2012-05-07,watch,watch,watch
2012-05-08,watch,watch,watch
2012-05-09,watch,watch,watch
2012-05-10,watch,watch,watch
2012-05-11,watch,watch,watch
2012-05-14,watch,watch,watch
2012-05-15,watch,watch,watch
2012-05-16,watch,watch,watch
2012-05-17,watch,watch,watch
2012-05-18,watch,watch,watch
2012-05-21,watch,watch,watch
2012-05-22,watch,watch,watch
2012-05-23,watch,watch,watch
2012-05-24,watch,watch,watch
2012-05-25,watch,watch,watch
2012-05-29,watch,watch,watch
2012-05-30,watch,watch,watch
2012-05-31,watch,watch,watch
2012-06-01,watch,watch,watch
2012-06-04,watch,watch,watch
2012-06-05,watch,watch,watch
2012-06-07,watch,watch,watch
2012-06-08,watch,watch,watch
2012-06-11,watch,watch,watch
2012-06-12,watch,watch,watch
2012-06-13,watch,watch,watch
2012-06-14,watch,watch,watch
2012-06-15,watch,watch,watch
2012-06-18,watch,watch,watch
2012-06-19,watch,watch,watch
2012-06-20,watch,watch,watch
2012-06-21,watch,watch,watch
2012-06-22,watch,watch,watch
2012-06-25,watch,watch,watch
2012-06-26,watch,watch,watch
2012-06-27,watch,watch,watch
2012-06-28,watch,watch,watch
2012-06-29,watch,watch,watch
2012-07-02,watch,watch,watch
2012-07-03,watch,watch,watch
2012-07-04,watch,watch,watch
2012-07-05,watch,watch,watch
2012-07-06,watch,watch,watch
2012-07-09,watch,watch,watch
2012-07-10,watch,watch,watch
2012-07-11,watch,watch,watch
2012-07-12,watch,buy,watch
2012-07-13,watch,buy,buy
2012-07-16,watch,buy,watch
2012-07-17,watch,buy,watch
2012-07-18,watch,buy,watch
2012-07-19,watch,buy,buy
2012-07-20,watch,buy,watch
2012-07-23,watch,buy,watch
2012-07-24,watch,buy,watch
2012-07-25,watch,buy,watch
2012-07-26,watch,buy,watch
2012-07-27,watch,watch,watch
2012-07-30,watch,watch,watch
2012-07-31,watch,watch,watch
2012-08-01,watch,watch,watch
2012-08-02,watch,watch,watch
2012-08-03,watch,watch,watch
2012-08-06,buy,watch,watch
2012-08-07,buy,watch,watch
2012-08-08,buy,watch,watch
2012-08-09,buy,watch,watch
2012-08-10,buy,watch,watch
2012-08-13,buy,watch,watch
2012-08-14,buy,watch,caution
2012-08-16,buy,caution,caution
2012-08-17,buy,caution,caution
2012-08-20,buy,caution,caution
2012-08-21,buy,caution,watch
2012-08-22,buy,caution,watch
2012-08-23,buy,caution,watch
2012-08-24,buy,watch,watch
2012-08-27,buy,watch,watch
2012-08-28,watch,watch,watch
2012-08-29,watch,watch,watch
2012-08-30,watch,watch,watch
2012-08-31,watch,watch,watch
2012-09-03,watch,watch,watch
2012-09-04,watch,watch,watch
2012-09-05,watch,watch,watch
2012-09-06,watch,watch,buy
2012-09-07,watch,watch,buy
2012-09-10,watch,watch,buy
2012-09-11,watch,watch,buy
2012-09-12,watch,watch,buy
2012-09-13,watch,watch,buy
2012-09-14,watch,watch,watch
2012-09-17,watch,watch,watch
2012-09-18,watch,watch,watch
2012-09-19,watch,watch,watch
2012-09-20,watch,watch,watch
2012-09-21,watch,watch,watch
2012-09-24,watch,watch,watch
2012-09-25,watch,watch,watch
2012-09-26,watch,watch,watch
2012-09-27,watch,watch,watch
2012-09-28,watch,watch,watch
2012-10-02,watch,watch,watch
2012-10-04,watch,watch,watch
2012-10-05,watch,watch,watch
2012-10-08,watch,watch,watch
2012-10-09,watch,watch,watch
2012-10-10,watch,watch,watch
2012-10-11,watch,watch,watch
2012-10-12,watch,watch,watch
2012-10-15,watch,watch,watch
2012-10-16,watch,watch,watch
2012-10-17,watch,watch,watch
2012-10-18,watch,watch,watch
2012-10-19,watch,watch,watch
2012-10-22,watch,watch,watch
2012-10-23,watch,watch,watch
2012-10-24,watch,watch,watch
2012-10-25,watch,watch,watch
2012-10-26,watch,watch,watch
2012-10-29,watch,watch,watch
2012-10-30,watch,watch,watch
2012-10-31,watch,watch,watch
2012-11-01,watch,watch,watch
2012-11-02,watch,watch,watch
2012-11-05,watch,watch,watch
2012-11-06,watch,watch,watch
2012-11-07,watch,watch,watch
2012-11-08,watch,watch,watch
2012-11-09,watch,watch,watch
2012-11-12,watch,watch,watch
2012-11-13,watch,watch,watch
2012-11-14,watch,watch,watch
2012-11-15,watch,watch,watch
2012-11-16,watch,watch,watch
2012-11-19,watch,watch,watch
2012-11-20,watch,watch,watch
2012-11-21,watch,watch,watch
2012-11-22,watch,watch,watch
2012-11-23,watch,watch,buy
2012-11-26,watch,watch,watch
2012-11-27,watch,watch,watch
2012-11-28,watch,watch,watch
2012-11-29,watch,watch,watch
2012-11-30,watch,watch,watch
2012-12-03,watch,watch,watch
2012-12-04,watch,watch,watch
2012-12-05,watch,watch,watch
2012-12-06,buy,watch,watch
2012-12-07,buy,watch,watch
2012-12-10,buy,watch,watch
2012-12-11,buy,watch,caution
2012-12-12,buy,caution,caution
2012-12-13,buy,caution,caution
2012-12-14,buy,caution,caution
2012-12-17,buy,caution,caution
2012-12-18,buy,caution,caution
2012-12-20,buy,caution,caution
2012-12-21,buy,caution,watch
2012-12-24,buy,caution,caution
2012-12-26,buy,caution,watch
2012-12-27,buy,watch,watch
2012-12-28,buy,watch,watch
2013-01-02,buy,watch,watch
2013-01-03,buy,watch,watch
2013-01-04,buy,watch,watch
2013-01-07,buy,watch,watch
2013-01-08,buy,watch,watch
2013-01-09,watch,watch,watch
2013-01-10,buy,watch,watch
2013-01-11,buy,watch,watch
2013-01-14,buy,watch,watch
2013-01-15,watch,watch,watch
2013-01-16,watch,watch,watch
2013-01-17,watch,watch,watch
2013-01-18,watch,watch,watch
2013-01-21,watch,watch,watch
2013-01-22,watch,watch,watch
2013-01-23,watch,watch,watch
2013-01-24,watch,watch,watch
2013-01-25,watch,watch,watch
2013-01-28,watch,watch,watch
2013-01-29,watch,watch,watch
2013-01-30,watch,watch,watch
2013-01-31,watch,watch,watch
2013-02-01,watch,watch,watch
2013-02-04,watch,watch,watch
2013-02-05,watch,watch,watch
2013-02-06,watch,watch,watch
2013-02-07,watch,watch,watch
2013-02-08,watch,watch,watch
2013-02-12,watch,watch,watch
2013-02-13,watch,watch,watch
2013-02-14,watch,watch,watch
2013-02-15,watch,watch,watch
2013-02-18,watch,watch,watch
2013-02-19,watch,watch,watch
2013-02-20,buy,watch,watch
2013-02-21,watch,watch,watch
2013-02-22,buy,watch,watch
2013-02-25,buy,watch,watch
2013-02-26,watch,watch,watch
2013-02-27,watch,watch,watch
2013-02-28,buy,watch,watch
2013-03-04,watch,watch,watch
2013-03-05,watch,watch,watch
2013-03-06,watch,watch,watch
2013-03-07,watch,watch,watch
2013-03-08,watch,watch,watch
2013-03-11,watch,watch,watch
2013-03-12,watch,watch,watch
2013-03-13,watch,watch,watch
2013-03-14,watch,watch,watch
2013-03-15,watch,watch,watch
2013-03-18,watch,watch,watch
2013-03-19,watch,watch,watch
2013-03-20,watch,watch,watch
2013-03-21,watch,watch,watch
2013-03-22,watch,watch,watch
2013-03-25,watch,watch,watch
2013-03-26,watch,watch,watch
2013-03-27,watch,watch,watch
2013-03-28,watch,watch,watch
2013-03-29,watch,watch,watch
2013-04-01,watch,watch,watch
2013-04-02,watch,watch,watch
2013-04-03,watch,watch,watch
2013-04-04,watch,watch,watch
2013-04-05,watch,buy,watch
2013-04-08,watch,buy,watch
2013-04-09,watch,watch,watch
2013-04-10,watch,watch,watch
2013-04-11,watch,watch,watch
2013-04-12,watch,caution,watch
2013-04-15,watch,caution,watch
2013-04-16,watch,watch,watch
2013-04-17,watch,watch,watch
2013-04-18,watch,watch,watch
2013-04-19,watch,watch,watch
2013-04-22,watch,watch,watch
2013-04-23,watch,watch,watch
2013-04-24,watch,watch,watch
2013-04-25,watch,watch,watch
2013-04-26,watch,watch,watch
2013-04-29,watch,watch,watch
2013-04-30,watch,watch,watch
2013-05-02,watch,watch,watch
2013-05-03,watch,watch,watch
2013-05-06,watch,watch,watch
2013-05-07,watch,watch,watch
2013-05-08,watch,caution,watch
2013-05-09,watch,caution,watch
2013-05-10,watch,watch,watch
2013-05-13,watch,watch,watch
2013-05-14,watch,watch,watch
2013-05-15,watch,watch,watch
2013-05-16,watch,watch,watch
2013-05-20,watch,watch,watch
2013-05-21,watch,caution,watch
2013-05-22,watch,caution,watch
2013-05-23,watch,watch,watch
2013-05-24,watch,watch,watch
2013-05-27,watch,watch,watch
2013-05-28,watch,caution,watch
2013-05-29,watch,caution,watch
2013-05-30,watch,caution,watch
2013-05-31,watch,caution,watch
2013-06-03,watch,caution,watch
2013-06-04,watch,caution,watch
2013-06-05,watch,caution,watch
2013-06-07,watch,caution,watch
2013-06-10,watch,caution,watch
2013-06-11,watch,caution,watch
2013-06-12,watch,caution,watch
2013-06-13,caution,caution,watch
2013-06-14,caution,caution,watch
2013-06-17,caution,caution,watch
2013-06-18,caution,caution,watch
2013-06-19,caution,caution,watch
2013-06-20,caution,caution,watch
2013-06-21,caution,caution,watch
2013-06-24,caution,caution,watch
2013-06-25,caution,caution,watch
2013-06-26,caution,caution,watch
2013-06-27,caution,caution,watch
2013-06-28,caution,caution,watch
2013-07-01,caution,caution,watch
2013-07-02,caution,caution,watch
2013-07-03,caution,caution,watch
2013-07-04,caution,caution,watch
2013-07-05,caution,caution,watch
2013-07-08,caution,caution,watch
2013-07-09,caution,caution,watch
2013-07-10,caution,caution,watch
2013-07-11,caution,caution,watch
2013-07-12,caution,caution,watch
2013-07-15,caution,caution,watch
2013-07-16,caution,caution,watch
2013-07-17,caution,caution,watch
2013-07-18,watch,watch,watch
2013-07-19,watch,watch,watch
2013-07-22,watch,watch,watch
2013-07-23,watch,watch,watch
2013-07-24,watch,caution,watch
2013-07-25,watch,caution,watch
2013-07-26,watch,caution,watch
2013-07-29,watch,caution,watch
2013-07-30,watch,watch,watch
2013-07-31,watch,caution,watch
2013-08-01,watch,caution,watch
2013-08-02,watch,caution,watch
2013-08-05,watch,watch,watch
2013-08-06,watch,watch,watch
2013-08-07,watch,watch,watch
2013-08-08,watch,caution,watch
2013-08-09,watch,watch,watch
2013-08-12,watch,watch,watch
2013-08-13,watch,watch,watch
2013-08-14,watch,caution,watch
2013-08-16,watch,caution,watch
2013-08-19,watch,caution,watch
2013-08-20,watch,watch,watch
2013-08-21,watch,watch,watch
2013-08-22,watch,watch,watch
2013-08-23,watch,watch,watch
2013-08-26,watch,watch,watch
2013-08-27,watch,watch,watch
2013-08-28,watch,watch,watch
2013-08-29,watch,watch,watch
2013-08-30,watch,watch,watch
2013-09-02,watch,watch,watch
2013-09-03,watch,watch,watch
2013-09-04,watch,watch,watch
2013-09-05,watch,watch,watch
2013-09-06,watch,caution,caution
2013-09-09,buy,caution,caution
2013-09-10,buy,caution,caution
2013-09-11,buy,caution,caution
2013-09-12,buy,watch,watch
2013-09-13,buy,watch,watch
2013-09-16,buy,watch,watch
2013-09-17,buy,watch,watch
2013-09-23,buy,watch,watch
2013-09-24,buy,watch,watch
2013-09-25,buy,watch,watch
2013-09-26,buy,watch,watch
2013-09-27,buy,watch,watch
2013-09-30,buy,watch,watch
2013-10-01,buy,watch,watch
2013-10-02,buy,watch,watch
2013-10-04,buy,watch,watch
2013-10-07,buy,watch,watch
2013-10-08,buy,watch,watch
2013-10-10,buy,watch,watch
2013-10-11,buy,watch,watch
2013-10-14,buy,watch,watch
2013-10-15,buy,watch,watch
2013-10-16,buy,watch,watch
2013-10-17,buy,watch,watch
2013-10-18,buy,watch,watch
2013-10-21,buy,watch,watch
2013-10-22,buy,watch,watch
2013-10-23,buy,watch,watch
2013-10-24,buy,watch,watch
2013-10-25,buy,watch,watch
2013-10-28,buy,watch,watch
2013-10-29,buy,watch,watch
2013-10-30,buy,watch,watch
2013-10-31,watch,watch,watch
2013-11-01,watch,watch,watch
2013-11-04,watch,watch,watch
2013-11-05,watch,watch,watch
2013-11-06,watch,watch,watch
2013-11-07,watch,watch,watch
2013-11-08,watch,watch,watch
2013-11-11,watch,watch,watch
2013-11-12,watch,watch,watch
2013-11-13,watch,watch,watch
2013-11-14,watch,watch,watch
2013-11-15,watch,watch,watch
2013-11-18,watch,watch,watch
