signal_month,return_month,target_w_069500,target_w_114260,target_w_153130,hsi_state_x,lambda_w_069500,lambda_w_114260,lambda_w_153130,hsi_state_y,hsi_risk_flag,macro_data_available,macro_signal_version,macro_risk_flag_no_gdp,macro_defense_addon_no_gdp,macro_risk_source,macro_hsi_overlap_type_no_gdp,overlay_strength_no_gdp,macro_delta_base_no_gdp,rate_z_used,fx_z_used,rate_fx_departure_used,macro_scale,macro_overlay_delta,weight_069500,weight_114260,weight_153130,ret_069500,ret_114260,ret_153130,strategy_return,turnover,cum_return,drawdown,lambda_value,strategy_id
2012-03-31,2012-04-30,0.5,0.35,0.15,insufficient_data,0.5,0.35,0.15,insufficient_data,False,False,no_gdp_rate_fx_verified,False,0.0,none,both_relief_or_neutral,0.0,0.0,,,,0.0,0.0,0.5,0.35,0.15,-0.005421,0.006984,0.00294,0.00017489999999999997,0.0,1.0001749,0.0,0.1,lambda_0.1_macro_0.00
2012-04-30,2012-05-31,0.5,0.35,0.15,insufficient_data,0.5,0.35,0.15,insufficient_data,False,False,no_gdp_rate_fx_verified,False,0.0,none,both_relief_or_neutral,0.0,0.0,,,,0.0,0.0,0.5,0.35,0.15,-0.077546,0.006467,0.00313,-0.036040050000000004,0.0,0.964128546595255,-0.03604004999999999,0.1,lambda_0.1_macro_0.00
2012-05-31,2012-06-30,0.5,0.35,0.15,insufficient_data,0.5,0.35,0.15,insufficient_data,False,False,no_gdp_rate_fx_verified,False,0.0,none,both_relief_or_neutral,0.0,0.0,,,,0.0,0.0,0.5,0.35,0.15,0.003673,0.002782,0.002525,0.0031889500000000003,0.0,0.96720310432392,-0.03296602991744746,0.1,lambda_0.1_macro_0.00
2012-06-30,2012-07-31,0.5,0.35,0.15,insufficient_data,0.5,0.35,0.15,insufficient_data,False,False,no_gdp_rate_fx_verified,False,0.0,none,both_relief_or_neutral,0.0,0.0,,,,0.0,0.0,0.5,0.35,0.15,0.020355,0.014828,0.003606,0.0159082,0.0,0.9825895647481256,-0.017582260114580306,0.1,lambda_0.1_macro_0.00
2012-07-31,2012-08-31,0.7,0.2,0.1,risk_relief,0.52,0.33499999999999996,0.145,risk_relief,False,False,no_gdp_rate_fx_verified,False,0.0,none,both_relief_or_neutral,0.0,0.0,,,,0.0,0.0,0.52,0.33499999999999996,0.145,0.0,0.004901,0.002412,0.0019915749999999998,0.020000000000000018,0.9845464655605388,-0.015625701504268008,0.1,lambda_0.1_macro_0.00
2012-08-31,2012-09-30,0.7,0.2,0.1,risk_relief,0.5380000000000001,0.3215,0.1405,risk_relief,False,False,no_gdp_rate_fx_verified,False,0.0,none,both_relief_or_neutral,0.0,0.0,,,,0.0,0.0,0.538,0.32149999999999995,0.14049999999999999,0.049252,0.001501,0.002013,0.027262974000000002,0.018000000000000016,1.0113881302529077,0.0,0.1,lambda_0.1_macro_0.00
2012-09-30,2012-10-31,0.7,0.2,0.1,risk_relief,0.5542,0.30934999999999996,0.13645,risk_relief,False,False,no_gdp_rate_fx_verified,False,0.0,none,both_relief_or_neutral,0.0,0.0,,,,0.0,0.0,0.5542,0.30934999999999996,0.13645,-0.04599,0.002864,0.002401,-0.024274063150000004,0.016199999999999992,0.9868376309099882,-0.024274063150000025,0.1,lambda_0.1_macro_0.00
2012-10-31,2012-11-30,0.5,0.35,0.15,neutral_watch,0.54878,0.31341499999999994,0.13780499999999998,neutral_watch,False,False,no_gdp_rate_fx_verified,False,0.0,none,both_relief_or_neutral,0.0,0.0,,,,0.0,0.0,0.54878,0.31341499999999994,0.13780499999999998,0.018128,0.000553,0.0022,0.010424773335,0.00541999999999998,0.9971251895306733,-0.014102341421258213,0.1,lambda_0.1_macro_0.00
2012-11-30,2012-12-31,0.7,0.2,0.1,risk_relief,0.563902,0.30207349999999994,0.1340245,risk_relief,False,False,no_gdp_rate_fx_verified,False,0.0,none,both_relief_or_neutral,0.0,0.0,,,,0.0,0.0,0.563902,0.30207349999999994,0.1340245,0.041283,0.00188,0.002168,0.024138029562,0.015121999999999983,1.0211938268325795,0.0,0.1,lambda_0.1_macro_0.00
2012-12-31,2013-01-31,0.7,0.2,0.1,risk_relief,0.5775118,0.29186614999999994,0.13062205,risk_relief,False,False,no_gdp_rate_fx_verified,False,0.0,none,both_relief_or_neutral,0.0,0.0,,,,0.0,0.0,0.5775118,0.29186614999999994,0.13062205,-0.021421,0.003805,0.002299,-0.0109600294741,0.013609800000000005,1.0100015123917254,-0.01096002947410002,0.1,lambda_0.1_macro_0.00
