year_month,return_year_month,next_return_069500,next_return_114260,next_return_153130,alignment_rule
2012-03,2012-04,-0.005421,0.006984,0.00294,signal_month_t_to_return_month_t_plus_1
2012-04,2012-05,-0.077546,0.006467,0.00313,signal_month_t_to_return_month_t_plus_1
2012-05,2012-06,0.003673,0.002782,0.002525,signal_month_t_to_return_month_t_plus_1
2012-06,2012-07,0.020355,0.014828,0.003606,signal_month_t_to_return_month_t_plus_1
2012-07,2012-08,0.0,0.004901,0.002412,signal_month_t_to_return_month_t_plus_1
2012-08,2012-09,0.049252,0.001501,0.002013,signal_month_t_to_return_month_t_plus_1
2012-09,2012-10,-0.04599,0.002864,0.002401,signal_month_t_to_return_month_t_plus_1
2012-10,2012-11,0.018128,0.000553,0.0022,signal_month_t_to_return_month_t_plus_1
2012-11,2012-12,0.041283,0.00188,0.002168,signal_month_t_to_return_month_t_plus_1
2012-12,2013-01,-0.021421,0.003805,0.002299,signal_month_t_to_return_month_t_plus_1
2013-01,2013-02,0.039171,0.006288,0.002493,signal_month_t_to_return_month_t_plus_1
2013-02,2013-03,-0.018478,0.006076,0.002188,signal_month_t_to_return_month_t_plus_1
2013-03,2013-04,-0.028992,0.001926,0.001936,signal_month_t_to_return_month_t_plus_1
2013-04,2013-05,0.021297,-0.00595,0.002179,signal_month_t_to_return_month_t_plus_1
2013-05,2013-06,-0.075186,-0.002782,0.001829,signal_month_t_to_return_month_t_plus_1
2013-06,2013-07,0.026278,0.001958,0.002072,signal_month_t_to_return_month_t_plus_1
2013-07,2013-08,0.012109,0.003535,0.002215,signal_month_t_to_return_month_t_plus_1
2013-08,2013-09,0.03988,0.005015,0.002014,signal_month_t_to_return_month_t_plus_1
2013-09,2013-10,0.02397,0.002686,0.002255,signal_month_t_to_return_month_t_plus_1
2013-10,2013-11,0.008989,-0.00388,0.001859,signal_month_t_to_return_month_t_plus_1
2013-11,2013-12,-0.010393,0.005944,0.002131,signal_month_t_to_return_month_t_plus_1
2013-12,2014-01,-0.042386,0.002324,0.002098,signal_month_t_to_return_month_t_plus_1
2014-01,2014-02,0.017822,0.003711,0.001894,signal_month_t_to_return_month_t_plus_1
2014-02,2014-03,0.000193,0.002605,0.001991,signal_month_t_to_return_month_t_plus_1
2014-03,2014-04,-0.009277,0.001853,0.002284,signal_month_t_to_return_month_t_plus_1
2014-04,2014-05,0.019009,0.004809,0.001833,signal_month_t_to_return_month_t_plus_1
2014-05,2014-06,0.0,0.006383,0.002176,signal_month_t_to_return_month_t_plus_1
2014-06,2014-07,0.038425,0.006366,0.003109,signal_month_t_to_return_month_t_plus_1
2014-07,2014-08,-0.018896,0.002842,0.001919,signal_month_t_to_return_month_t_plus_1
2014-08,2014-09,-0.032666,0.008171,0.002455,signal_month_t_to_return_month_t_plus_1
2014-09,2014-10,-0.025181,0.007653,0.002302,signal_month_t_to_return_month_t_plus_1
2014-10,2014-11,0.012615,0.003074,0.001661,signal_month_t_to_return_month_t_plus_1
2014-11,2014-12,-0.024323,0.0011,0.001305,signal_month_t_to_return_month_t_plus_1
2014-12,2015-01,0.027766,0.006721,0.002199,signal_month_t_to_return_month_t_plus_1
2015-01,2015-02,0.002367,-0.000361,0.001297,signal_month_t_to_return_month_t_plus_1
2015-02,2015-03,0.020067,0.010484,0.00264,signal_month_t_to_return_month_t_plus_1
2015-03,2015-04,0.040226,-0.003139,0.001391,signal_month_t_to_return_month_t_plus_1
2015-04,2015-05,-0.022514,0.004139,0.00124,signal_month_t_to_return_month_t_plus_1
2015-05,2015-06,-0.034357,-0.000266,0.001635,signal_month_t_to_return_month_t_plus_1
2015-06,2015-07,-0.033594,0.002437,0.001434,signal_month_t_to_return_month_t_plus_1
2015-07,2015-08,-0.04711,0.002972,0.001037,signal_month_t_to_return_month_t_plus_1
2015-08,2015-09,0.020725,0.006315,0.001481,signal_month_t_to_return_month_t_plus_1
2015-09,2015-10,0.060703,-0.000716,0.000936,signal_month_t_to_return_month_t_plus_1
2015-10,2015-11,-0.02333,-0.003134,0.000542,signal_month_t_to_return_month_t_plus_1
2015-11,2015-12,-0.005921,0.005356,0.001756,signal_month_t_to_return_month_t_plus_1
2015-12,2016-01,-0.033682,0.003414,0.0013,signal_month_t_to_return_month_t_plus_1
2016-01,2016-02,0.017216,0.005282,0.001448,signal_month_t_to_return_month_t_plus_1
2016-02,2016-03,0.042833,0.001058,0.001147,signal_month_t_to_return_month_t_plus_1
2016-03,2016-04,-0.00221,0.000714,0.001145,signal_month_t_to_return_month_t_plus_1
2016-04,2016-05,-0.006135,0.000267,0.000895,signal_month_t_to_return_month_t_plus_1
2016-05,2016-06,0.004115,0.007696,0.001888,signal_month_t_to_return_month_t_plus_1
2016-06,2016-07,0.029712,0.002045,0.001091,signal_month_t_to_return_month_t_plus_1
2016-07,2016-08,0.018714,-0.001686,0.000693,signal_month_t_to_return_month_t_plus_1
2016-08,2016-09,0.003127,0.002691,0.000941,signal_month_t_to_return_month_t_plus_1
2016-09,2016-10,-0.00526,-0.0048,0.000495,signal_month_t_to_return_month_t_plus_1
2016-10,2016-11,-0.0047,-0.007681,9.9e-05,signal_month_t_to_return_month_t_plus_1
2016-11,2016-12,0.036009,0.004439,0.001744,signal_month_t_to_return_month_t_plus_1
2016-12,2017-01,0.034758,-0.00054,0.0014,signal_month_t_to_return_month_t_plus_1
2017-01,2017-02,0.004589,0.001351,0.001248,signal_month_t_to_return_month_t_plus_1
2017-02,2017-03,0.042938,0.002693,0.001147,signal_month_t_to_return_month_t_plus_1
2017-03,2017-04,0.023893,0.000629,0.001096,signal_month_t_to_return_month_t_plus_1
2017-04,2017-05,0.064011,0.002157,0.001194,signal_month_t_to_return_month_t_plus_1
2017-05,2017-06,0.024195,-0.00038,0.000944,signal_month_t_to_return_month_t_plus_1
2017-06,2017-07,0.00744,0.001081,0.001241,signal_month_t_to_return_month_t_plus_1
2017-07,2017-08,-0.020661,0.00072,0.000942,signal_month_t_to_return_month_t_plus_1
2017-08,2017-09,0.028887,-0.002417,0.000892,signal_month_t_to_return_month_t_plus_1
2017-09,2017-10,0.053798,-0.006236,-9.9e-05,signal_month_t_to_return_month_t_plus_1
2017-10,2017-11,-0.025169,0.003638,0.001039,signal_month_t_to_return_month_t_plus_1
2017-11,2017-12,0.00753,0.000635,0.001388,signal_month_t_to_return_month_t_plus_1
2017-12,2018-01,0.028219,-0.003912,0.0017,signal_month_t_to_return_month_t_plus_1
2018-01,2018-02,-0.059784,0.003653,0.001447,signal_month_t_to_return_month_t_plus_1
2018-02,2018-03,0.00852,0.003671,0.001146,signal_month_t_to_return_month_t_plus_1
2018-03,2018-04,0.025258,0.001819,0.001493,signal_month_t_to_return_month_t_plus_1
2018-04,2018-05,-0.037152,0.001997,0.001441,signal_month_t_to_return_month_t_plus_1
2018-05,2018-06,-0.033923,0.00421,0.001191,signal_month_t_to_return_month_t_plus_1
2018-06,2018-07,-0.005827,0.002177,0.001338,signal_month_t_to_return_month_t_plus_1
2018-07,2018-08,0.005201,0.006878,0.001633,signal_month_t_to_return_month_t_plus_1
2018-08,2018-09,0.005507,-0.000691,0.000988,signal_month_t_to_return_month_t_plus_1
2018-09,2018-10,-0.121297,0.003971,0.001382,signal_month_t_to_return_month_t_plus_1
2018-10,2018-11,0.029177,0.003416,0.001331,signal_month_t_to_return_month_t_plus_1
2018-11,2018-12,-0.021355,0.002924,0.001531,signal_month_t_to_return_month_t_plus_1
2018-12,2019-01,0.091986,0.002067,0.001599,signal_month_t_to_return_month_t_plus_1
2019-01,2019-02,-0.00758,0.001345,0.001198,signal_month_t_to_return_month_t_plus_1
2019-02,2019-03,-0.021871,0.005195,0.001495,signal_month_t_to_return_month_t_plus_1
2019-03,2019-04,0.028088,0.000713,0.001443,signal_month_t_to_return_month_t_plus_1
2019-04,2019-05,-0.07475,0.004541,0.001739,signal_month_t_to_return_month_t_plus_1
2019-05,2019-06,0.055187,0.003723,0.001588,signal_month_t_to_return_month_t_plus_1
2019-06,2019-07,-0.039196,0.006005,0.00213,signal_month_t_to_return_month_t_plus_1
2019-07,2019-08,-0.029809,0.003775,0.001631,signal_month_t_to_return_month_t_plus_1
2019-08,2019-09,0.060096,-0.002798,0.000296,signal_month_t_to_return_month_t_plus_1
2019-09,2019-10,0.010928,-0.004473,0.000789,signal_month_t_to_return_month_t_plus_1
2019-10,2019-11,0.001446,0.003347,0.000887,signal_month_t_to_return_month_t_plus_1
2019-11,2019-12,0.075091,0.000878,0.001034,signal_month_t_to_return_month_t_plus_1
2019-12,2020-01,-0.029096,0.003684,0.001574,signal_month_t_to_return_month_t_plus_1
2020-01,2020-02,-0.058029,0.005856,0.001179,signal_month_t_to_return_month_t_plus_1
2020-02,2020-03,-0.114196,0.0,0.001717,signal_month_t_to_return_month_t_plus_1
2020-03,2020-04,0.089907,0.003215,0.00142,signal_month_t_to_return_month_t_plus_1
2020-04,2020-05,0.036987,0.005456,0.00137,signal_month_t_to_return_month_t_plus_1
2020-05,2020-06,0.048366,8.6e-05,0.000195,signal_month_t_to_return_month_t_plus_1
2020-06,2020-07,0.068209,0.003015,0.000537,signal_month_t_to_return_month_t_plus_1
2020-07,2020-08,0.02723,-0.004208,9.8e-05,signal_month_t_to_return_month_t_plus_1
2020-08,2020-09,0.011059,0.003967,0.000341,signal_month_t_to_return_month_t_plus_1
2020-09,2020-10,-0.028852,-0.001804,0.000537,signal_month_t_to_return_month_t_plus_1
2020-10,2020-11,0.150796,-0.001291,0.000244,signal_month_t_to_return_month_t_plus_1
2020-11,2020-12,0.138821,0.000431,0.000341,signal_month_t_to_return_month_t_plus_1
2020-12,2021-01,0.042354,0.00112,0.000682,signal_month_t_to_return_month_t_plus_1
2021-01,2021-02,0.014104,-0.000516,0.000487,signal_month_t_to_return_month_t_plus_1
2021-02,2021-03,0.011509,-0.001808,0.000438,signal_month_t_to_return_month_t_plus_1
2021-03,2021-04,0.018326,0.000949,0.000487,signal_month_t_to_return_month_t_plus_1
2021-04,2021-05,0.010994,-0.001551,0.00034,signal_month_t_to_return_month_t_plus_1
2021-05,2021-06,0.026544,-0.002934,-0.000778,signal_month_t_to_return_month_t_plus_1
2021-06,2021-07,-0.030883,0.004327,0.00073,signal_month_t_to_return_month_t_plus_1
2021-07,2021-08,-0.011769,0.001896,9.7e-05,signal_month_t_to_return_month_t_plus_1
2021-08,2021-09,-0.042634,-0.006536,0.000729,signal_month_t_to_return_month_t_plus_1
2021-09,2021-10,-0.032009,-0.012119,-9.7e-05,signal_month_t_to_return_month_t_plus_1
2021-10,2021-11,-0.03593,0.010252,0.00068,signal_month_t_to_return_month_t_plus_1
2021-11,2021-12,0.065188,0.002949,0.001117,signal_month_t_to_return_month_t_plus_1
2021-12,2022-01,-0.089301,-0.008908,0.000485,signal_month_t_to_return_month_t_plus_1
2022-01,2022-02,0.009793,0.000785,0.000969,signal_month_t_to_return_month_t_plus_1
2022-02,2022-03,0.012976,-0.009678,0.000436,signal_month_t_to_return_month_t_plus_1
2022-03,2022-04,-0.028518,-0.0081,0.000629,signal_month_t_to_return_month_t_plus_1
2022-04,2022-05,-0.001971,0.001953,0.000774,signal_month_t_to_return_month_t_plus_1
