year_month,ticker,ticker_name,ticker_role,score_column,signal_score,signal_name,signal_family,signal_speed_type,signal_velocity,centroid_score,centroid_velocity,relative_velocity,relative_speed_abs,direction_label,speed_rank,hsi_state,state_kr,interpretation
2012-03,069500,KODEX 200,위험자산,score_ma_pos,,ma_pos,trend_position,slow,,,,,,weak_or_noise,,insufficient_data,자료 부족,상대속도는 있으나 강한 방향 신호로 해석하기는 어려움
2012-04,069500,KODEX 200,위험자산,score_ma_pos,,ma_pos,trend_position,slow,,,,,,weak_or_noise,,insufficient_data,자료 부족,상대속도는 있으나 강한 방향 신호로 해석하기는 어려움
2012-05,069500,KODEX 200,위험자산,score_ma_pos,,ma_pos,trend_position,slow,,,,,,weak_or_noise,,insufficient_data,자료 부족,상대속도는 있으나 강한 방향 신호로 해석하기는 어려움
2012-06,069500,KODEX 200,위험자산,score_ma_pos,-0.6828448558815157,ma_pos,trend_position,slow,,-0.6828448558815157,,,,weak_or_noise,,insufficient_data,자료 부족,상대속도는 있으나 강한 방향 신호로 해석하기는 어려움
2012-07,069500,KODEX 200,위험자산,score_ma_pos,-9.856071593825954,ma_pos,trend_position,slow,-9.173226737944438,-3.7005363839840477,-3.017691528102532,-6.155535209841906,6.155535209841906,risk_relief_accelerating,1.0,risk_relief,위험 완화 우세,중심 흐름보다 위험 완화 방향으로 빠르게 움직인 신호
2012-08,069500,KODEX 200,위험자산,score_ma_pos,-0.3423317050944718,ma_pos,trend_position,slow,9.513739888731482,-1.7353359103755008,1.9652004736085469,7.548539415122935,7.548539415122935,risk_accelerating,1.0,risk_relief,위험 완화 우세,중심 흐름보다 위험 악화 방향으로 빠르게 움직인 신호
2012-09,069500,KODEX 200,위험자산,score_ma_pos,-5.037062655269462,ma_pos,trend_position,slow,-4.694730950174991,-3.292763948590787,-1.5574280382152863,-3.1373029119597047,3.1373029119597047,risk_relief_accelerating,2.0,risk_relief,위험 완화 우세,중심 흐름보다 위험 완화 방향으로 빠르게 움직인 신호
2012-10,069500,KODEX 200,위험자산,score_ma_pos,0.9893590627899298,ma_pos,trend_position,slow,6.026421718059392,0.43036055507426174,3.7231245036650487,2.3032972143943438,2.3032972143943438,risk_accelerating,4.0,neutral_watch,중립 관찰,중심 흐름보다 위험 악화 방향으로 빠르게 움직인 신호
2012-11,069500,KODEX 200,위험자산,score_ma_pos,-2.661433747558147,ma_pos,trend_position,slow,-3.6507928103480767,-3.353352226568827,-3.7837127816430884,0.13291997129501176,0.13291997129501176,moving_with_centroid,4.0,risk_relief,위험 완화 우세,전체 HSI 중심 흐름과 비슷하게 움직인 신호
2012-12,069500,KODEX 200,위험자산,score_ma_pos,-5.408667881506645,ma_pos,trend_position,slow,-2.747234133948498,-5.998480358140963,-2.645128131572136,-0.1021060023763618,0.1021060023763618,moving_with_centroid,4.0,risk_relief,위험 완화 우세,전체 HSI 중심 흐름과 비슷하게 움직인 신호
2013-01,069500,KODEX 200,위험자산,score_ma_pos,-0.1098207556181096,ma_pos,trend_position,slow,5.2988471258885355,-1.0427913445892658,4.955689013551697,0.34315811233683835,0.34315811233683835,weak_or_noise,4.0,risk_relief,위험 완화 우세,상대속도는 있으나 강한 방향 신호로 해석하기는 어려움
2013-02,069500,KODEX 200,위험자산,score_ma_pos,-4.428230229598647,ma_pos,trend_position,slow,-4.318409473980537,-4.0718606264561865,-3.0290692818669207,-1.2893401921136167,1.2893401921136167,risk_relief_accelerating,3.0,risk_relief,위험 완화 우세,중심 흐름보다 위험 완화 방향으로 빠르게 움직인 신호
