Date,ticker,ret_1m,ret_3m,ma_gap,momentum,volatility,relative_strength,ret_6m,ret_12m,drawdown,shock_count,defensive_rs
2012-03-07,069500,,,,,,,,,0.0,0,
2012-03-08,069500,,,,,,,,,0.0,0,
2012-03-09,069500,,,,,,,,,0.0,0,
2012-03-12,069500,,,,,,,,,-0.005755,0,
2012-03-13,069500,,,,,,,,,0.0,0,
2012-03-14,069500,,,,,,,,,0.0,0,
2012-03-15,069500,,,,,,,,,-0.000183,0,
2012-03-16,069500,,,,,,,,,-0.004015,0,
2012-03-19,069500,,,,,,,,,0.0,0,
2012-03-20,069500,,,,,,,,,-0.003101,0,
2012-03-21,069500,,,,,,,,,-0.008938,0,
2012-03-22,069500,,,,,,,,,-0.008209,0,
2012-03-23,069500,,,,,,,,,-0.009486,0,
2012-03-26,069500,,,,,,,,,-0.010397,0,
2012-03-27,069500,,,,,,,,,0.0,0,
2012-03-28,069500,,,,,,,,,-0.002189,0,
2012-03-29,069500,,,,,,,,,-0.012035,0,
2012-03-30,069500,,,,,,,,,-0.014406,0,
2012-04-02,069500,,,,,,,,,-0.0062,0,
2012-04-03,069500,,,,,,,,,0.0,0,
2012-04-04,069500,,,,,0.12261,,,,-0.010673,0,0.033248
2012-04-05,069500,0.038447,,,0.038447,0.117361,0.0,,,-0.00814,0,0.024183
2012-04-06,069500,0.025468,,,0.025468,0.114284,0.0,,,-0.009406,0,0.013876
2012-04-09,069500,0.003341,,,0.003341,0.122387,0.0,,,-0.022251,0,0.006404
2012-04-10,069500,0.007468,,,0.007468,0.115289,0.0,,,-0.023878,0,-0.006855
2012-04-12,069500,-0.008675,,,-0.008675,0.107946,0.0,,,-0.028401,0,-0.022705
2012-04-13,069500,-0.011134,,,-0.011134,0.113336,0.0,,,-0.019899,0,-0.013897
2012-04-16,069500,-0.01862,,,-0.01862,0.115682,0.0,,,-0.027496,0,-0.017786
2012-04-17,069500,-0.017775,,,-0.017775,0.114188,0.0,,,-0.030391,0,-0.025197
2012-04-18,069500,-0.013316,,,-0.013316,0.119489,0.0,,,-0.021527,0,-0.01319
2012-04-19,069500,-0.011711,,,-0.011711,0.11788,0.0,,,-0.022974,0,-0.008982
2012-04-20,069500,-0.019326,,,-0.019326,0.126788,0.0,,,-0.036179,0,-0.02299
2012-04-23,069500,-0.020783,,,-0.020783,0.126785,0.0,,,-0.036903,0,-0.022413
2012-04-24,069500,-0.024494,,,-0.024494,0.127623,0.0,,,-0.041787,0,-0.026486
2012-04-25,069500,-0.02341,,,-0.02341,0.119642,0.0,,,-0.041606,0,-0.036758
2012-04-26,069500,-0.030635,,,-0.030635,0.120973,0.0,,,-0.03835,0,-0.031499
