year_month,ticker,name,asset_class,underlying_asset,risk_group,score_method_source,benchmark_rs_note,score_return,score_ma_pos,score_momentum,score_vol,score_rs,score_ma20_gap,score_ma60_gap,score_vol20,score_drawdown_60,score_risk_vs_cash_ret20,extended_signal_source,extended_signal_note
2012-03,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,,,,,,,,,,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-03,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,,,,,,,,,,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-03,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,,,,,,,,,,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-04,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,,,,,,,,,,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-04,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,,,,,,,,,,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-04,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,,,,,,,,,,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-05,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,,,,,,,,,,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-05,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,,,,,,,,,,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-05,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,,,,,,,,,,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-06,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,,-0.6828257102259722,,,,,,,,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-06,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,,-0.7738252113054702,,,,,,,,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-06,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,,-4.619091512008257,,,,,,,,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-07,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-4.260854652089762,-9.856049530507685,-3.607265640201077,2.9219705062511023,,-2.3013295231106947,,0.7374881117930079,,-1.0625817424238233,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
