date,069500_ma20_gap_raw,069500_ma60_gap_raw,069500_vol20_raw,069500_drawdown_60_raw,069500_risk_vs_cash_ret20_raw,114260_ma20_gap_raw,114260_ma60_gap_raw,114260_vol20_raw,114260_drawdown_60_raw,114260_risk_vs_cash_ret20_raw,153130_ma20_gap_raw,153130_ma60_gap_raw,153130_vol20_raw,153130_drawdown_60_raw,153130_risk_vs_cash_ret20_raw,069500_ma20_gap_direction,069500_ma60_gap_direction,069500_vol20_direction,069500_drawdown_60_direction,069500_risk_vs_cash_ret20_direction,114260_ma20_gap_direction,114260_ma60_gap_direction,114260_vol20_direction,114260_drawdown_60_direction,114260_risk_vs_cash_ret20_direction,153130_ma20_gap_direction,153130_ma60_gap_direction,153130_vol20_direction,153130_drawdown_60_direction,153130_risk_vs_cash_ret20_direction,069500_ma20_gap_score,069500_ma60_gap_score,069500_vol20_score,069500_drawdown_60_score,069500_risk_vs_cash_ret20_score,114260_ma20_gap_score,114260_ma60_gap_score,114260_vol20_score,114260_drawdown_60_score,114260_risk_vs_cash_ret20_score,153130_ma20_gap_score,153130_ma60_gap_score,153130_vol20_score,153130_drawdown_60_score,153130_risk_vs_cash_ret20_score
2012-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-03,0.017823142460841712,,,,,0.002059648798441671,,,,,0.0012092592232568755,,,,,-0.017823142460841712,,,,,-0.002059648798441671,,,,,-0.0012092592232568755,,,,,,,,,,,,,,,,,,,
2012-04-04,0.005210724426253144,,0.12260976700159938,,0.03324886941684557,0.001113260492975554,,0.014600071153390477,,-0.002512388637065932,0.0012315014655144285,,0.0012187050316434856,,0.0,-0.005210724426253144,,0.12260976700159938,,-0.03324886941684557,-0.001113260492975554,,0.014600071153390477,,0.002512388637065932,-0.0012315014655144285,,0.0012187050316434856,,-0.0,,,,,,,,,,,,,,,
2012-04-05,0.0064612559049952445,,0.11736121244866468,,0.024183475053093817,0.0005169344669349041,,0.014565283648985164,,-0.0038768917216109866,0.0014508581989418623,,0.001319178157114482,,0.0,-0.0064612559049952445,,0.11736121244866468,,-0.024183475053093817,-0.0005169344669349041,,0.014565283648985164,,0.0038768917216109866,-0.0014508581989418623,,0.001319178157114482,,-0.0,,,,,,,,,,,,,,,
2012-04-06,0.0043558931106038035,,0.11428412396426493,,0.013876017373136262,0.0009351023652099943,,0.014648146027316468,,-0.0034560322071904848,0.001468162829055375,,0.0013160913020811523,,0.0,-0.0043558931106038035,,0.11428412396426493,,-0.013876017373136262,-0.0009351023652099943,,0.014648146027316468,,0.0034560322071904848,-0.001468162829055375,,0.0013160913020811523,,-0.0,,,,,,,,,,,,,,,
