year_month,score_method_source,risk_ticker,risk_asset_name,hsi_direction,hsi_intensity,positive_count,negative_count,neutral_count,valid_signal_count,state_valid,hsi_state,state_reason,active_signals,score_return,score_ma_pos,score_momentum,score_vol,score_rs_excluded_reason
2012-03,zscore_from_data_pipeline,069500,KODEX 200,,,0,0,0,0,False,insufficient_data,valid_signal_count=0 < 3,,,,,,069500 is benchmark; score_rs excluded from state rule
2012-04,zscore_from_data_pipeline,069500,KODEX 200,,,0,0,0,0,False,insufficient_data,valid_signal_count=0 < 3,,,,,,069500 is benchmark; score_rs excluded from state rule
2012-05,zscore_from_data_pipeline,069500,KODEX 200,,,0,0,0,0,False,insufficient_data,valid_signal_count=0 < 3,,,,,,069500 is benchmark; score_rs excluded from state rule
2012-06,zscore_from_data_pipeline,069500,KODEX 200,-0.068283,0.068283,0,0,1,1,False,insufficient_data,valid_signal_count=1 < 3,score_ma_pos,,-0.6828257102259722,,,069500 is benchmark; score_rs excluded from state rule
2012-07,zscore_from_data_pipeline,069500,KODEX 200,-0.370055,0.516154,1,3,0,4,True,risk_relief,"risk relief: direction=-0.370, negative=3, positive=1","score_return, score_ma_pos, score_momentum, score_vol",-4.260854652089762,-9.856049530507685,-3.607265640201077,2.9219705062511023,069500 is benchmark; score_rs excluded from state rule
2012-08,zscore_from_data_pipeline,069500,KODEX 200,-0.173529,0.173529,0,3,1,4,True,risk_relief,"risk relief: direction=-0.174, negative=3, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-1.1118317316062454,-0.3423269517569633,-3.4641173537614804,-2.022883178666613,069500 is benchmark; score_rs excluded from state rule
2012-09,zscore_from_data_pipeline,069500,KODEX 200,-0.329276,0.39635,1,3,0,4,True,risk_relief,"risk relief: direction=-0.329, negative=3, positive=1","score_return, score_ma_pos, score_momentum, score_vol",-4.704920088374592,-5.037031508089116,-4.770571006418584,1.341473644562795,069500 is benchmark; score_rs excluded from state rule
2012-10,zscore_from_data_pipeline,069500,KODEX 200,0.043037,0.253095,2,1,1,4,True,conflict,"positive=2, negative=1, conflict_ratio=0.25, direction=0.043","score_return, score_ma_pos, score_momentum, score_vol",3.4441934925014026,0.9893132372946682,1.489135240588893,-4.20114910280333,069500 is benchmark; score_rs excluded from state rule
2012-11,zscore_from_data_pipeline,069500,KODEX 200,-0.335334,0.335334,0,4,0,4,True,risk_relief,"risk relief: direction=-0.335, negative=4, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-2.246794900101813,-2.661430264198448,-4.705855852251303,-3.799278308385991,069500 is benchmark; score_rs excluded from state rule
2012-12,zscore_from_data_pipeline,069500,KODEX 200,-0.599845,0.599845,0,4,0,4,True,risk_relief,"risk relief: direction=-0.600, negative=4, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-4.996448796406785,-5.40869442570034,-6.443244156907527,-7.145424694939788,069500 is benchmark; score_rs excluded from state rule
