signal_month,hsi_state,state_valid,hsi_direction,hsi_intensity,positive_count,negative_count,valid_signal_count,return_month,next_return_069500,next_return_114260,next_return_153130,alignment_rule
2012-03,insufficient_data,False,,,0,0,0,2012-04,-0.5421,0.6984,0.294,signal_month_t_to_return_month_t_plus_1
2012-04,insufficient_data,False,,,0,0,0,2012-05,-7.7546,0.6467,0.3129,signal_month_t_to_return_month_t_plus_1
2012-05,insufficient_data,False,,,0,0,0,2012-06,0.3673,0.2782,0.2526,signal_month_t_to_return_month_t_plus_1
2012-06,insufficient_data,False,-0.068283,0.068283,0,0,1,2012-07,2.0355,1.4827,0.3606,signal_month_t_to_return_month_t_plus_1
2012-07,risk_relief,True,-0.370055,0.516154,1,3,4,2012-08,0.0,0.4901,0.2412,signal_month_t_to_return_month_t_plus_1
2012-08,risk_relief,True,-0.173529,0.173529,0,3,4,2012-09,4.9252,0.1501,0.2013,signal_month_t_to_return_month_t_plus_1
2012-09,risk_relief,True,-0.329276,0.39635,1,3,4,2012-10,-4.599,0.2864,0.2401,signal_month_t_to_return_month_t_plus_1
2012-10,conflict,True,0.043037,0.253095,2,1,4,2012-11,1.8127,0.0553,0.22,signal_month_t_to_return_month_t_plus_1
2012-11,risk_relief,True,-0.335334,0.335334,0,4,4,2012-12,4.1284,0.188,0.2168,signal_month_t_to_return_month_t_plus_1
2012-12,risk_relief,True,-0.599845,0.599845,0,4,4,2013-01,-2.1421,0.3805,0.2299,signal_month_t_to_return_month_t_plus_1
2013-01,conflict,True,-0.104277,0.270175,1,2,4,2013-02,3.9171,0.6288,0.2493,signal_month_t_to_return_month_t_plus_1
2013-02,risk_relief,True,-0.407189,0.407189,0,4,4,2013-03,-1.8478,0.6075,0.2188,signal_month_t_to_return_month_t_plus_1
2013-03,conflict,True,-0.090867,0.17795,1,2,4,2013-04,-2.8992,0.1926,0.1935,signal_month_t_to_return_month_t_plus_1
2013-04,conflict,True,0.012019,0.087348,1,1,4,2013-05,2.1297,-0.595,0.218,signal_month_t_to_return_month_t_plus_1
2013-05,risk_relief,True,-0.189488,0.189488,0,4,4,2013-06,-7.5186,-0.2782,0.1828,signal_month_t_to_return_month_t_plus_1
2013-06,accident_zone,True,0.696568,0.696568,4,0,4,2013-07,2.6278,0.1957,0.2072,signal_month_t_to_return_month_t_plus_1
2013-07,conflict,True,-0.016493,0.204612,2,1,4,2013-08,1.2109,0.3535,0.2215,signal_month_t_to_return_month_t_plus_1
2013-08,conflict,True,-0.006507,0.220741,2,2,4,2013-09,3.988,0.5014,0.2014,signal_month_t_to_return_month_t_plus_1
2013-09,risk_relief,True,-0.502047,0.502047,0,4,4,2013-10,2.397,0.2686,0.2255,signal_month_t_to_return_month_t_plus_1
2013-10,risk_relief,True,-0.319451,0.319451,0,4,4,2013-11,0.8988,-0.388,0.1859,signal_month_t_to_return_month_t_plus_1
2013-11,conflict,True,-0.137406,0.26552,1,2,4,2013-12,-1.0393,0.5944,0.213,signal_month_t_to_return_month_t_plus_1
2013-12,risk_relief,True,-0.208831,0.279598,1,3,4,2014-01,-4.2385,0.2325,0.2098,signal_month_t_to_return_month_t_plus_1
2014-01,risk_warning,True,0.271467,0.271467,4,0,4,2014-02,1.7822,0.371,0.1894,signal_month_t_to_return_month_t_plus_1
2014-02,risk_relief,True,-0.166049,0.166049,0,3,4,2014-03,0.0192,0.2605,0.199,signal_month_t_to_return_month_t_plus_1
2014-03,neutral_watch,True,-0.102422,0.12801,0,3,4,2014-04,-0.9276,0.1853,0.2285,signal_month_t_to_return_month_t_plus_1
