year_month,ticker,name,asset_class,underlying_asset,risk_group,score_method_source,benchmark_rs_note,score_return,score_ma_pos,score_momentum,score_vol,score_rs,score_ma20_gap,score_ma60_gap,score_vol20,score_drawdown_60,score_risk_vs_cash_ret20
2012-03,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,,,,,,,,,,
2012-03,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,,,,,,,,,,
2012-03,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,,,,,,,,,,
2012-04,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,,,,,,,,,,
2012-04,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,,,,,,,,,,
2012-04,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,,,,,,,,,,
2012-05,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,,,,,,,,,,
2012-05,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,,,,,,,,,,
2012-05,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,,,,,,,,,,
2012-06,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,,-0.6828257102259722,,,,,,,,
2012-06,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,,-0.7738252113054702,,,,,,,,
2012-06,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,,-4.619091512008257,,,,,,,,
2012-07,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-4.260854652089762,-9.856049530507685,-3.607265640201077,2.9219705062511023,,,,,,
2012-07,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-7.688266323312558,-4.572579384596546,-6.985062136687925,9.239987538748686,4.166327462214915,,,,,
2012-07,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-7.816239984386188,-4.044370513811665,-4.973536369983736,8.83025476562497,5.154044651966125,,,,,
2012-08,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-1.1118317316062454,-0.3423269517569633,-3.4641173537614804,-2.022883178666613,,,,,,
2012-08,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,2.734678612680284,-6.992976642250691,-1.7484237419685695,-0.8430402811660004,0.8233820441559847,,,,,
2012-08,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,6.635608156595733,-10.0,-1.8813349877952803,-4.145652750999038,0.7146806806703023,,,,,
2012-09,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-4.704920088374592,-5.037031508089116,-4.770571006418584,1.341473644562795,,,,,,
2012-09,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,4.041858568536474,-1.9456536397236055,-5.523457057522584,-0.6912128969756444,4.654815017682278,,,,,
2012-09,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,5.685517889699044,-5.551528066396994,-7.270867069635046,-1.5986760730267546,4.487772859849422,,,,,
2012-10,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,3.4441934925014026,0.9893132372946682,1.489135240588893,-4.20114910280333,,,,,,
2012-10,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,2.7972921702605658,-0.0921371350683176,-1.5008708003022146,-4.013493937724187,-3.118077820124028,,,,,
2012-10,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,2.9615098387463217,-4.020576996836492,-4.721468202441335,-0.7466404268425088,-3.427220346892187,,,,,
2012-11,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-2.246794900101813,-2.661430264198448,-4.705855852251303,-3.799278308385991,,,,,,
2012-11,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,4.280655255268676,3.288263274123161,1.5475393352245854,-3.291052598336127,3.6903156718608647,,,,,
2012-11,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,5.055989128914787,-1.7083076216560338,-2.965557228519936,10.0,3.434527640876057,,,,,
2012-12,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-4.996448796406785,-5.40869442570034,-6.443244156907527,-7.145424694939788,,,,,,
2012-12,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,2.218777277602088,2.5483272279295868,0.8700452729618507,-0.2354093528406232,4.431983889238275,,,,,
2012-12,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,0.5395953946401498,-2.7705913829474187,-3.347721775261014,-1.4837119651540402,4.424709297260177,,,,,
2013-01,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,3.31796767497228,-0.109813273002213,-2.4368881046393693,-4.942338957312657,,,,,,
2013-01,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,2.606523266169789,2.649011054183357,2.9831915933833217,-3.4360001486147462,-3.402312243632603,,,,,
2013-01,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,3.8673564424810496,-1.5097337236039272,-1.8088170976880888,-1.249834760276448,-3.5233127184676247,,,,,
2013-02,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-3.5553284218929804,-4.428265103606426,-5.738376752900698,-2.5655737693110714,,,,,,
2013-02,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-2.253842924965588,-2.477904586475892,0.0479629652859556,-5.572535650361368,3.701336717670822,,,,,
2013-02,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-0.6839088012244079,-3.1295023039425987,-2.896546350202281,-1.4219020078417444,3.926472723443583,,,,,
2013-03,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,1.7416577738417098,-1.4238584492985145,-0.1873397102993176,-3.765137602988719,,,,,,
2013-03,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-1.6542967826954311,-5.032173881644251,-2.878502699113002,-0.2332867810751446,-0.9048103828670364,,,,,
2013-03,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,1.7000953153005252,-2.6210192797852034,-2.4798955159183134,-1.11237385139146,-0.7629258977636066,,,,,
2013-04,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,1.4540783468364449,0.5332768209872918,-0.4284331361908184,-1.078144716339558,,,,,,
2013-04,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,3.2875466005012584,-1.9534888362092515,0.2812758787598091,4.650618923689828,-1.9113135743908267,,,,,
2013-04,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,4.355039725016488,-0.69191091333765,-0.9205546368443638,-0.7314660489762491,-2.1546564613375185,,,,,
2013-05,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-2.506824451767243,-1.636662958785133,-1.0956840420069485,-2.3403570855758264,,,,,,
2013-05,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,10.0,10.0,9.47457104307809,3.2304037349450936,2.863567827872125,,,,,
2013-05,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,3.1526589593500463,0.8378368035975432,-0.0751978572657288,-1.169802840036302,1.9432500912298776,,,,,
2013-06,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,7.695176565437213,6.010211034552126,7.897204586687964,6.260124607035657,,,,,,
2013-06,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,5.734042133655125,8.437800558375217,9.350474579493897,10.0,-6.983271764797906,,,,,
2013-06,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,2.4221337660920743,1.9489301316962977,1.367848974998256,-1.1836108992331786,-7.613028209108032,,,,,
2013-07,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-4.422103351669747,0.3018835215753217,1.8096164191116744,1.6508771206851351,,,,,,
2013-07,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-0.4586048468800738,5.007432544326891,6.848521057946399,1.591806647075452,2.560807635049013,,,,,
2013-07,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,3.3602964631691465,4.337322407459649,2.9915967173830182,-1.3038544082915653,2.589159014068521,,,,,
2013-08,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-1.3855647171203442,-3.1594041164803555,3.183853832758963,1.1008277658842225,,,,,,
2013-08,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-2.200609960230616,0.8943824992833559,4.012213719403394,-0.522349467730318,1.321041181842045,,,,,
2013-08,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,1.4111229256456976,3.724802453301522,3.935678957829961,-1.4347308636136362,1.4686212638730338,,,,,
2013-09,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-6.159888605365474,-5.17106545616994,-5.175125573048296,-3.575798489730253,,,,,,
2013-09,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-5.215296554780311,-2.9765071191111145,0.3051959461233671,1.5741636523102307,6.022258063724633,,,,,
2013-09,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-1.7651123469867904,1.192433086972382,2.435329323505869,-1.2013075520514884,6.388214755744959,,,,,
2013-10,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-1.872240694761973,-4.179265485082161,-4.398289205973495,-2.3282615371807456,,,,,,
2013-10,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-0.991461013279172,-2.7015541713951023,0.6062507488186272,-1.9312125996679008,1.9800551123273495,,,,,
2013-10,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-0.3076796211410707,0.945399654046635,1.286019662631313,-1.3699522527665713,1.9693772692671776,,,,,
2013-11,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-0.0269788383411114,-4.18835139575101,-3.8431808569082886,2.5622784350480963,,,,,,
2013-11,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,4.72972031447146,2.4324987764123174,4.459442653057865,-1.8492935831270665,0.8881488777574427,,,,,
2013-11,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,1.5520742869846162,2.255213774953085,3.592405506679502,-1.3919709500086517,0.2991815853887799,,,,,
2013-12,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,1.4153423997376096,-2.4415268107747377,-4.049822081890299,-3.277230131397584,,,,,,
2013-12,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-3.992032719095161,-2.6470468921594845,-2.590506424958101,0.4176802439816069,-1.938102635111142,,,,,
2013-12,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-0.6863806883538843,-0.0609849314779602,0.912718839833768,-0.9625068604709366,-1.4056821017370718,,,,,
2014-01,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,4.570026262007655,2.0878425175063158,2.4977841173573188,1.7030208657757004,,,,,,
2014-01,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-0.4786735822233374,-2.430584580207715,-0.2995778861310904,-1.5226011939097692,-4.210287420251452,,,,,
2014-01,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-0.6330911033480116,-0.6395821313265233,0.8464594771579154,-4.923108368771813,-4.147362119028834,,,,,
2014-02,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-2.0879488714433245,-1.415484919276388,-2.685105964394692,-0.4534267868459286,,,,,,
2014-02,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-1.7595270543358263,-2.521173947439024,-4.377202774064799,-3.5175257496133208,3.2119585882020765,,,,,
2014-02,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,2.0008464080168187,1.3255570911785428,1.1323615144363015,-3.3278371865921272,3.3364927105632898,,,,,
2014-03,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-1.1512641636153302,-1.9788891218909164,0.5117650530460888,-1.478490813960103,,,,,,
2014-03,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-0.8232950891477854,-2.410155520406345,-2.025237193270096,-1.11073336863574,0.1372434041955363,,,,,
2014-03,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,0.8583439687197414,2.1626824879025497,1.4905130863525893,-1.864387665810712,0.2365625720976165,,,,,
2014-04,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,1.8169451546418345,1.0797096631640024,1.9517526945045256,-6.9822395697926485,,,,,,
2014-04,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-1.6126364579914667,-1.7652925302882407,-1.6835038864851928,-3.745667643758943,-1.6717496963757852,,,,,
2014-04,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-2.1211512956459813,-1.5756127542141771,1.2122399743592132,-2.177799568071135,-1.4697279375622607,,,,,
2014-05,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-1.8479312693790657,-1.1960628432829683,-0.2040623995712678,-2.892107530903654,,,,,,
2014-05,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-2.8690670641877523,-4.084353649844695,-4.9440935610797325,8.315375058929014,1.0950375843771982,,,,,
2014-05,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-2.060743750483928,1.247856984901853,0.2659620146961538,-1.2013336061337592,1.3001935990839442,,,,,
2014-06,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,1.363836207311809,-0.6020762425219259,-0.1336598828682713,-1.980114160723181,,,,,,
2014-06,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-4.378373355317614,-6.28052477233279,-6.760411408549881,-2.81758641116894,-2.031033987535519,,,,,
2014-06,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-2.8977834092285546,-2.9523701456816425,-7.078147283394963,-2.670054857560138,-1.505092212718915,,,,,
2014-07,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-3.9950282299276823,-5.8396095722266725,-6.269295423068804,-4.642286382556407,,,,,,
2014-07,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,0.1767930102493471,-5.06783525966291,-6.3702020711026455,-1.8540486527934543,3.634076545951368,,,,,
