experiment_id,experiment_name,signal_set_type,year_month,risk_ticker,hsi_direction,hsi_intensity,positive_count,negative_count,neutral_count,valid_signal_count,min_valid_signals,state_valid,hsi_state,state_reason,active_signals,score_return,score_ma_pos,score_momentum,score_vol,score_ma20_gap,score_ma60_gap,score_vol20,score_drawdown_60,score_risk_vs_cash_ret20
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2012-03,069500,,,0,0,0,0,3,False,insufficient_data,valid_signal_count=0 < min_valid_signals=3,,,,,,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2012-04,069500,,,0,0,0,0,3,False,insufficient_data,valid_signal_count=0 < min_valid_signals=3,,,,,,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2012-05,069500,,,0,0,0,0,3,False,insufficient_data,valid_signal_count=0 < min_valid_signals=3,,,,,,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2012-06,069500,-0.068283,0.068283,0,0,1,1,3,False,insufficient_data,valid_signal_count=1 < min_valid_signals=3,score_ma_pos,,-0.6828257102259722,,,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2012-07,069500,-0.370055,0.516154,1,3,0,4,3,True,risk_relief,"risk relief: direction=-0.370, negative=3, positive=1","score_return, score_ma_pos, score_momentum, score_vol",-4.260854652089762,-9.856049530507685,-3.607265640201077,2.9219705062511023,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2012-08,069500,-0.173529,0.173529,0,3,1,4,3,True,risk_relief,"risk relief: direction=-0.174, negative=3, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-1.1118317316062454,-0.3423269517569633,-3.4641173537614804,-2.022883178666613,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2012-09,069500,-0.329276,0.39635,1,3,0,4,3,True,risk_relief,"risk relief: direction=-0.329, negative=3, positive=1","score_return, score_ma_pos, score_momentum, score_vol",-4.704920088374592,-5.037031508089116,-4.770571006418584,1.341473644562795,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2012-10,069500,0.043037,0.253095,2,1,1,4,3,True,conflict,"positive=2, negative=1, conflict_ratio=0.25, direction=0.043","score_return, score_ma_pos, score_momentum, score_vol",3.4441934925014026,0.9893132372946682,1.489135240588893,-4.20114910280333,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2012-11,069500,-0.335334,0.335334,0,4,0,4,3,True,risk_relief,"risk relief: direction=-0.335, negative=4, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-2.246794900101813,-2.661430264198448,-4.705855852251303,-3.799278308385991,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2012-12,069500,-0.599845,0.599845,0,4,0,4,3,True,risk_relief,"risk relief: direction=-0.600, negative=4, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-4.996448796406785,-5.40869442570034,-6.443244156907527,-7.145424694939788,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2013-01,069500,-0.104277,0.270175,1,2,1,4,3,True,conflict,"positive=1, negative=2, conflict_ratio=0.25, direction=-0.104","score_return, score_ma_pos, score_momentum, score_vol",3.31796767497228,-0.109813273002213,-2.4368881046393693,-4.942338957312657,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2013-02,069500,-0.407189,0.407189,0,4,0,4,3,True,risk_relief,"risk relief: direction=-0.407, negative=4, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-3.5553284218929804,-4.428265103606426,-5.738376752900698,-2.5655737693110714,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2013-03,069500,-0.090867,0.17795,1,2,1,4,3,True,conflict,"positive=1, negative=2, conflict_ratio=0.25, direction=-0.091","score_return, score_ma_pos, score_momentum, score_vol",1.7416577738417098,-1.4238584492985145,-0.1873397102993176,-3.765137602988719,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2013-04,069500,0.012019,0.087348,1,1,2,4,3,True,conflict,"positive=1, negative=1, conflict_ratio=0.25, direction=0.012","score_return, score_ma_pos, score_momentum, score_vol",1.4540783468364449,0.5332768209872918,-0.4284331361908184,-1.078144716339558,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2013-05,069500,-0.189488,0.189488,0,4,0,4,3,True,risk_relief,"risk relief: direction=-0.189, negative=4, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-2.506824451767243,-1.636662958785133,-1.0956840420069485,-2.3403570855758264,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2013-06,069500,0.696568,0.696568,4,0,0,4,3,True,accident_zone,"strong risk direction: direction=0.697, intensity=0.697, positive=4","score_return, score_ma_pos, score_momentum, score_vol",7.695176565437213,6.010211034552126,7.897204586687964,6.260124607035657,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2013-07,069500,-0.016493,0.204612,2,1,1,4,3,True,conflict,"positive=2, negative=1, conflict_ratio=0.25, direction=-0.016","score_return, score_ma_pos, score_momentum, score_vol",-4.422103351669747,0.3018835215753217,1.8096164191116744,1.6508771206851351,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2013-08,069500,-0.006507,0.220741,2,2,0,4,3,True,conflict,"positive=2, negative=2, conflict_ratio=0.50, direction=-0.007","score_return, score_ma_pos, score_momentum, score_vol",-1.3855647171203442,-3.1594041164803555,3.183853832758963,1.1008277658842225,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2013-09,069500,-0.502047,0.502047,0,4,0,4,3,True,risk_relief,"risk relief: direction=-0.502, negative=4, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-6.159888605365474,-5.17106545616994,-5.175125573048296,-3.575798489730253,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2013-10,069500,-0.319451,0.319451,0,4,0,4,3,True,risk_relief,"risk relief: direction=-0.319, negative=4, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-1.872240694761973,-4.179265485082161,-4.398289205973495,-2.3282615371807456,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2013-11,069500,-0.137406,0.26552,1,2,1,4,3,True,conflict,"positive=1, negative=2, conflict_ratio=0.25, direction=-0.137","score_return, score_ma_pos, score_momentum, score_vol",-0.0269788383411114,-4.18835139575101,-3.8431808569082886,2.5622784350480963,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2013-12,069500,-0.208831,0.279598,1,3,0,4,3,True,risk_relief,"risk relief: direction=-0.209, negative=3, positive=1","score_return, score_ma_pos, score_momentum, score_vol",1.4153423997376096,-2.4415268107747377,-4.049822081890299,-3.277230131397584,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2014-01,069500,0.271467,0.271467,4,0,0,4,3,True,risk_warning,"risk warning: direction=0.271, positive=4, negative=0","score_return, score_ma_pos, score_momentum, score_vol",4.570026262007655,2.087842517506316,2.4977841173573188,1.7030208657757004,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2014-02,069500,-0.166049,0.166049,0,3,1,4,3,True,risk_relief,"risk relief: direction=-0.166, negative=3, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-2.0879488714433245,-1.415484919276388,-2.685105964394692,-0.4534267868459286,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2014-03,069500,-0.102422,0.12801,0,3,1,4,3,True,neutral_watch,"neutral/watch: direction=-0.102, positive=0, negative=3, neutral=1","score_return, score_ma_pos, score_momentum, score_vol",-1.1512641636153302,-1.9788891218909164,0.5117650530460888,-1.478490813960103,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2014-04,069500,-0.053346,0.295766,3,1,0,4,3,True,conflict,"positive=3, negative=1, conflict_ratio=0.25, direction=-0.053","score_return, score_ma_pos, score_momentum, score_vol",1.8169451546418345,1.0797096631640024,1.9517526945045256,-6.9822395697926485,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2014-05,069500,-0.153504,0.153504,0,3,1,4,3,True,risk_relief,"risk relief: direction=-0.154, negative=3, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-1.8479312693790657,-1.1960628432829683,-0.2040623995712678,-2.892107530903654,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2014-06,069500,-0.0338,0.101992,1,1,2,4,3,True,conflict,"positive=1, negative=1, conflict_ratio=0.25, direction=-0.034","score_return, score_ma_pos, score_momentum, score_vol",1.363836207311809,-0.6020762425219259,-0.1336598828682713,-1.980114160723181,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2014-07,069500,-0.518655,0.518655,0,4,0,4,3,True,risk_relief,"risk relief: direction=-0.519, negative=4, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-3.995028229927682,-5.8396095722266725,-6.269295423068804,-4.642286382556407,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2014-08,069500,0.065932,0.203889,2,1,1,4,3,True,conflict,"positive=2, negative=1, conflict_ratio=0.25, direction=0.066","score_return, score_ma_pos, score_momentum, score_vol",3.978107628743433,-0.0834506430686417,1.418307961676434,-2.675696427904006,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2014-09,069500,0.241347,0.566484,3,1,0,4,3,True,risk_warning,"risk warning: direction=0.241, positive=3, negative=1","score_return, score_ma_pos, score_momentum, score_vol",6.335253238615014,5.6530073894790025,4.168354773746575,-6.5027433526325655,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2014-10,069500,0.366722,0.366722,4,0,0,4,3,True,accident_zone,"strong risk direction: direction=0.367, intensity=0.367, positive=4","score_return, score_ma_pos, score_momentum, score_vol",1.0584573445878702,2.741327901769948,7.044260207091748,3.8248300116938334,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2014-11,069500,-0.117383,0.286545,1,2,1,4,3,True,conflict,"positive=1, negative=2, conflict_ratio=0.25, direction=-0.117","score_return, score_ma_pos, score_momentum, score_vol",-2.5319530785937348,-0.7631822414136233,3.3832364561020984,-4.783435298568507,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2014-12,069500,0.267488,0.267488,4,0,0,4,3,True,risk_warning,"risk warning: direction=0.267, positive=4, negative=0","score_return, score_ma_pos, score_momentum, score_vol",1.9700866143476512,2.247982784219396,5.285817411244541,1.1956385730298107,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2015-01,069500,-0.140495,0.314855,1,3,0,4,3,True,conflict,"positive=1, negative=3, conflict_ratio=0.25, direction=-0.140","score_return, score_ma_pos, score_momentum, score_vol",-4.162329106534704,-3.3935981256568946,-1.5510702134427554,3.4871902756421203,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2015-02,069500,-0.254525,0.319233,0,2,2,4,3,True,risk_relief,"risk relief: direction=-0.255, negative=2, positive=0","score_return, score_ma_pos, score_momentum, score_vol",0.4119372629952411,-2.7475424973200475,0.8822285402750775,-8.727619796001466,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2015-03,069500,-0.203502,0.228892,0,3,1,4,3,True,risk_relief,"risk relief: direction=-0.204, negative=3, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-1.2978378026824449,-4.004652261483086,-3.3453868867016645,0.5078141550456531,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2015-04,069500,-0.5711,0.5711,0,4,0,4,3,True,risk_relief,"risk relief: direction=-0.571, negative=4, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-6.563800116162787,-5.797702034378495,-8.63734880003072,-1.8451578513262403,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2015-05,069500,0.242182,0.356798,2,1,1,4,3,True,risk_warning,"risk warning: direction=0.242, positive=2, negative=1","score_return, score_ma_pos, score_momentum, score_vol",4.702484441950017,-0.5198797754483144,-1.7724524911058126,7.277108662650572,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2015-06,069500,0.117214,0.172874,3,1,0,4,3,True,conflict,"positive=3, negative=1, conflict_ratio=0.25, direction=0.117","score_return, score_ma_pos, score_momentum, score_vol",2.050329773209433,2.6220175165612822,1.1294274146873362,-1.1131966351968816,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2015-07,069500,0.566227,0.566227,4,0,0,4,3,True,accident_zone,"strong risk direction: direction=0.566, intensity=0.566, positive=4","score_return, score_ma_pos, score_momentum, score_vol",5.415500474199972,5.247127016167235,6.388924725052137,5.597515692755437,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2015-08,069500,0.675298,0.675298,4,0,0,4,3,True,accident_zone,"strong risk direction: direction=0.675, intensity=0.675, positive=4","score_return, score_ma_pos, score_momentum, score_vol",4.872648585658778,5.932394768765208,6.930943085056624,9.27592214924571,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2015-09,069500,0.202433,0.363101,2,1,1,4,3,True,risk_warning,"risk warning: direction=0.202, positive=2, negative=1","score_return, score_ma_pos, score_momentum, score_vol",-3.2133728010970817,0.8711612936351275,1.852006912838296,8.587512378182112,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2015-10,069500,-0.389054,0.389054,0,4,0,4,3,True,risk_relief,"risk relief: direction=-0.389, negative=4, positive=0","score_return, score_ma_pos, score_momentum, score_vol",-5.602473460962811,-5.049842278550345,-1.6427804654935412,-3.267068991458577,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2015-11,069500,0.126241,0.18315,2,0,2,4,3,True,neutral_watch,"neutral/watch: direction=0.126, positive=2, negative=0, neutral=2","score_return, score_ma_pos, score_momentum, score_vol",2.591993012586808,-0.7022010049788083,-0.4359817098227556,3.595820025143933,,,,,
combo_00_baseline_core,기본 HSI 핵심 신호,baseline,2015-12,069500,0.073532,0.106681,2,0,2,4,3,True,neutral_watch,"neutral/watch: direction=0.074, positive=2, negative=0, neutral=2","score_return, score_ma_pos, score_momentum, score_vol",2.316704234952116,-0.1702495842458316,-0.4927127797553433,1.28755785222842,,,,,
