Unnamed: 0,발행량(조원),잔액(조원)
2014-01-01,7.6,408.2
2014-02-01,9.0,416.9
2014-03-01,8.3,410.5
2014-04-01,8.7,418.8
2014-05-01,9.3,427.6
2014-06-01,9.4,429.2
2014-07-01,8.6,437.5
2014-08-01,7.5,444.6
2014-09-01,7.9,430.7
2014-10-01,7.7,436.8
2014-11-01,7.3,442.6
2014-12-01,6.1,438.3
2015-01-01,9.0,447.2
2015-02-01,8.7,454.6
2015-03-01,9.6,454.3
2015-04-01,8.6,461.5
2015-05-01,9.0,468.8
2015-06-01,8.4,466.3
2015-07-01,9.5,474.6
2015-08-01,10.5,483.6
2015-09-01,10.2,474.5
2015-10-01,9.5,482.2
2015-11-01,9.9,490.1
2015-12-01,6.5,485.1
2016-01-01,8.9,493.4
2016-02-01,10.2,502.6
2016-03-01,9.8,501.4
2016-04-01,9.0,509.1
2016-05-01,9.9,518.4
2016-06-01,10.8,516.7
2016-07-01,8.6,524.4
2016-08-01,7.6,531.3
2016-09-01,7.6,517.3
2016-10-01,7.3,522.5
2016-11-01,6.9,526.1
2016-12-01,4.6,516.9
2017-01-01,9.4,526.2
2017-02-01,8.8,534.9
2017-03-01,9.7,533.3
2017-04-01,10.5,543.7
2017-05-01,9.9,553.6
2017-06-01,9.2,552.3
2017-07-01,8.8,557.8
2017-08-01,7.9,561.7
2017-09-01,7.8,548.1
2017-10-01,6.5,550.1
2017-11-01,7.5,554.8
2017-12-01,4.7,546.7
2018-01-01,8.9,555.3
2018-02-01,9.0,564.0
2018-03-01,10.3,568.8
2018-04-01,9.5,578.0
2018-05-01,9.6,587.2
2018-06-01,10.4,589.4
2018-07-01,9.3,596.5
2018-08-01,8.3,601.6
2018-09-01,7.2,579.1
2018-10-01,6.2,581.1
2018-11-01,5.0,581.9
2018-12-01,3.6,567.0
2019-01-01,9.8,575.6
2019-02-01,9.2,584.7
2019-03-01,9.9,584.0
2019-04-01,8.8,591.7
2019-05-01,10.2,600.7
2019-06-01,10.5,599.6
2019-07-01,8.0,605.2
2019-08-01,7.4,610.3
2019-09-01,7.8,607.0
2019-10-01,7.2,611.4
2019-11-01,8.8,617.1
2019-12-01,4.1,611.5
2020-01-01,12.5,623.8
2020-02-01,12.6,636.3
2020-03-01,15.0,643.5
2020-04-01,14.7,658.1
2020-05-01,16.7,674.6
2020-06-01,16.7,675.7
2020-07-01,17.5,691.9
2020-08-01,14.4,704.7
2020-09-01,16.6,707.7
2020-10-01,15.8,721.6
2020-11-01,16.1,734.9
2020-12-01,5.8,726.8
2021-01-01,15.6,742.0
2021-02-01,17.7,759.4
2021-03-01,17.2,769.3
2021-04-01,18.2,787.3
2021-05-01,19.1,806.2
2021-06-01,18.3,804.3
2021-07-01,18.0,819.9
2021-08-01,16.0,832.7
2021-09-01,11.5,831.7
2021-10-01,12.8,841.9
2021-11-01,10.4,848.1
2021-12-01,5.8,843.7
2022-01-01,15.4,858.7
2022-02-01,19.3,877.6
2022-03-01,18.5,885.7
2022-04-01,18.9,904.3
2022-05-01,17.8,921.9
2022-06-01,14.6,910.3
2022-07-01,15.6,923.6
2022-08-01,12.1,933.4
2022-09-01,11.9,931.4
2022-10-01,11.2,940.7
2022-11-01,9.5,948.9
2022-12-01,3.8,937.5
2023-01-01,14.8,952.0
2023-02-01,13.4,965.1
2023-03-01,17.8,958.1
2023-04-01,17.9,975.6
2023-05-01,18.1,993.4
2023-06-01,16.7,988.4
2023-07-01,17.6,1003.7
2023-08-01,14.9,1015.3
2023-09-01,13.2,1004.4
2023-10-01,10.5,1011.6
2023-11-01,6.9,1016.1
2023-12-01,4.0,998.0
2024-01-01,12.5,1010.0
2024-02-01,17.5,1026.9
2024-03-01,18.4,1020.8
2024-04-01,15.0,1035.3
2024-05-01,18.5,1053.3
2024-06-01,18.3,1052.9
2024-07-01,15.8,1066.2
2024-08-01,11.8,1074.6
2024-09-01,10.8,1056.0
2024-10-01,9.9,1062.4
2024-11-01,7.8,1066.7
2024-12-01,1.4,1047.1
2025-01-01,18.29,1064.93
2025-02-01,21.25,1085.68
2025-03-01,20.75,1079.74
2025-04-01,20.9,1100.14
2025-05-01,19.0,1118.65
2025-06-01,23.62,1117.69
2025-07-01,21.16,1136.54
2025-08-01,21.05,1154.29
2025-09-01,21.49,1152.56
2025-10-01,17.72,1166.78
2025-11-01,15.59,1178.88
2025-12-01,5.4,1159.43
