Unnamed: 0,시장금리:콜(1일물)(%),시장금리:CD유통수익률(91)(%),시장금리:회사채(무보증3년AA-)(%),시장금리:국고1년(%),시장금리:국고3년(국채관리기금채3년)(%),시장금리:국고10년(%),시장금리:회사채(무보증3년BBB-)(%),시장금리:CP(91일)(%)
2014-01-02,2.51,2.66,3.339,2.703,2.913,3.678,9.034,2.9
2014-01-03,2.5,2.66,3.346,2.703,2.924,3.7,9.041,2.9
2014-01-06,2.48,2.66,3.288,2.651,2.863,3.648,8.988,2.87
2014-01-07,2.5,2.66,3.288,2.649,2.864,3.65,8.99,2.84
2014-01-08,2.49,2.66,3.282,2.638,2.858,3.645,8.984,2.82
2014-01-09,2.49,2.65,3.322,2.655,2.895,3.674,9.021,2.81
2014-01-10,2.5,2.65,3.342,2.665,2.911,3.65,9.041,2.81
2014-01-13,2.49,2.65,3.321,2.65,2.89,3.622,9.017,2.8
2014-01-14,2.49,2.65,3.338,2.657,2.904,3.644,9.035,2.79
2014-01-15,2.49,2.65,3.339,2.654,2.906,3.666,9.038,2.79
2014-01-16,2.49,2.65,3.32,2.642,2.889,3.648,9.02,2.79
2014-01-17,2.49,2.65,3.322,2.647,2.895,3.65,9.024,2.79
2014-01-20,2.49,2.65,3.331,2.653,2.904,3.65,9.031,2.79
2014-01-21,2.49,2.65,3.335,2.658,2.908,3.662,9.038,2.79
2014-01-22,2.5,2.65,3.345,2.664,2.919,3.683,9.047,2.79
2014-01-23,2.5,2.65,3.328,2.653,2.902,3.656,9.031,2.79
2014-01-24,2.5,2.65,3.288,2.636,2.861,3.587,8.991,2.8
2014-01-27,2.52,2.65,3.31,2.655,2.881,3.605,9.013,2.8
2014-01-28,2.52,2.65,3.299,2.649,2.871,3.6,9.001,2.81
2014-01-29,2.51,2.65,3.302,2.653,2.88,3.612,9.004,2.81
2014-02-03,2.47,2.65,3.303,2.654,2.882,3.609,9.004,2.81
2014-02-04,2.48,2.65,3.273,2.641,2.85,3.542,8.973,2.8
2014-02-05,2.48,2.65,3.278,2.642,2.855,3.546,8.98,2.79
2014-02-06,2.49,2.65,3.274,2.637,2.85,3.543,8.974,2.79
2014-02-07,2.49,2.65,3.281,2.64,2.855,3.564,8.982,2.78
2014-02-10,2.49,2.65,3.271,2.632,2.845,3.546,8.969,2.78
2014-02-11,2.49,2.65,3.266,2.63,2.84,3.526,8.963,2.77
2014-02-12,2.49,2.65,3.267,2.633,2.842,3.53,8.964,2.76
2014-02-13,2.49,2.65,3.263,2.631,2.837,3.495,8.96,2.76
2014-02-14,2.49,2.65,3.267,2.631,2.842,3.481,8.96,2.75
2014-02-17,2.49,2.65,3.277,2.639,2.851,3.501,8.971,2.75
2014-02-18,2.49,2.65,3.286,2.643,2.862,3.524,8.979,2.75
2014-02-19,2.49,2.65,3.279,2.639,2.855,3.499,8.971,2.74
2014-02-20,2.49,2.65,3.28,2.64,2.856,3.493,8.97,2.74
2014-02-21,2.49,2.65,3.303,2.651,2.878,3.529,8.991,2.74
2014-02-24,2.49,2.65,3.298,2.649,2.87,3.512,8.986,2.74
2014-02-25,2.49,2.65,3.288,2.645,2.86,3.498,8.976,2.74
2014-02-26,2.47,2.65,3.288,2.645,2.857,3.511,8.977,2.74
2014-02-27,2.48,2.65,3.276,2.641,2.848,3.5,8.966,2.74
2014-02-28,2.49,2.65,3.279,2.644,2.85,3.498,8.966,2.74
2014-03-03,2.49,2.65,3.322,2.671,2.892,3.552,9.01,2.74
2014-03-04,2.5,2.65,3.34,2.68,2.911,3.582,9.028,2.75
2014-03-05,2.49,2.65,3.326,2.673,2.895,3.562,9.012,2.75
2014-03-06,2.49,2.65,3.326,2.675,2.895,3.57,9.012,2.76
2014-03-07,2.49,2.65,3.325,2.675,2.895,3.58,9.013,2.76
2014-03-10,2.48,2.65,3.313,2.668,2.883,3.568,9.001,2.75
2014-03-11,2.48,2.65,3.31,2.665,2.88,3.562,8.999,2.75
2014-03-12,2.48,2.65,3.294,2.655,2.865,3.538,8.988,2.75
2014-03-13,2.48,2.65,3.294,2.656,2.866,3.531,8.985,2.75
2014-03-14,2.47,2.65,3.256,2.63,2.826,3.47,8.947,2.75
2014-03-17,2.48,2.65,3.277,2.648,2.847,3.515,8.969,2.75
2014-03-18,2.47,2.65,3.27,2.644,2.84,3.538,8.963,2.75
2014-03-19,2.46,2.65,3.26,2.641,2.83,3.516,8.957,2.75
2014-03-20,2.46,2.65,3.295,2.654,2.865,3.54,8.988,2.75
2014-03-21,2.45,2.65,3.312,2.66,2.885,3.561,9.004,2.75
2014-03-24,2.46,2.65,3.317,2.662,2.889,3.567,9.008,2.75
2014-03-25,2.48,2.65,3.308,2.657,2.879,3.544,9.0,2.75
2014-03-26,2.48,2.65,3.312,2.66,2.885,3.546,9.003,2.75
2014-03-27,2.48,2.65,3.308,2.659,2.878,3.538,8.997,2.75
2014-03-28,2.48,2.65,3.299,2.653,2.868,3.515,8.99,2.75
2014-03-31,2.49,2.65,3.3,2.658,2.87,3.518,8.995,2.75
2014-04-01,2.48,2.65,3.302,2.657,2.873,3.537,8.996,2.75
2014-04-02,2.48,2.65,3.309,2.66,2.881,3.56,9.004,2.75
2014-04-03,2.48,2.65,3.31,2.66,2.882,3.562,9.005,2.74
2014-04-04,2.48,2.65,3.313,2.659,2.886,3.562,9.009,2.74
2014-04-07,2.49,2.65,3.299,2.648,2.87,3.529,8.991,2.74
2014-04-08,2.51,2.65,3.303,2.649,2.875,3.541,8.997,2.74
2014-04-09,2.5,2.65,3.284,2.639,2.856,3.519,8.981,2.74
2014-04-10,2.48,2.65,3.291,2.642,2.86,3.533,8.986,2.74
2014-04-11,2.48,2.65,3.288,2.639,2.856,3.53,8.982,2.74
2014-04-14,2.48,2.65,3.302,2.645,2.874,3.539,8.997,2.73
2014-04-15,2.48,2.65,3.307,2.648,2.879,3.54,9.002,2.73
2014-04-16,2.48,2.65,3.317,2.653,2.89,3.549,9.011,2.73
2014-04-17,2.48,2.65,3.3,2.647,2.87,3.519,8.995,2.73
2014-04-18,2.48,2.65,3.31,2.653,2.881,3.542,9.006,2.73
2014-04-21,2.49,2.65,3.314,2.657,2.885,3.56,9.009,2.74
2014-04-22,2.5,2.65,3.308,2.659,2.878,3.551,9.001,2.74
2014-04-23,2.49,2.65,3.309,2.662,2.881,3.548,9.003,2.74
2014-04-24,2.49,2.65,3.309,2.662,2.88,3.549,9.002,2.74
2014-04-25,2.5,2.65,3.3,2.658,2.874,3.53,8.994,2.74
2014-04-28,2.49,2.65,3.3,2.659,2.878,3.529,8.995,2.74
2014-04-29,2.49,2.65,3.299,2.657,2.875,3.525,8.992,2.75
2014-04-30,2.5,2.65,3.298,2.656,2.873,3.527,8.991,2.75
2014-05-02,2.5,2.65,3.288,2.648,2.86,3.506,8.98,2.75
2014-05-07,2.48,2.65,3.278,2.642,2.852,3.468,8.97,2.75
2014-05-08,2.49,2.65,3.276,2.64,2.85,3.461,8.967,2.74
2014-05-09,2.48,2.65,3.262,2.634,2.836,3.425,8.954,2.74
2014-05-12,2.49,2.65,3.272,2.641,2.849,3.44,8.964,2.74
2014-05-13,2.49,2.65,3.284,2.645,2.86,3.453,8.974,2.74
2014-05-14,2.5,2.65,3.278,2.643,2.852,3.442,8.968,2.74
2014-05-15,2.49,2.65,3.254,2.635,2.829,3.378,8.946,2.74
2014-05-16,2.49,2.65,3.26,2.638,2.836,3.386,8.953,2.74
2014-05-19,2.49,2.65,3.261,2.641,2.837,3.377,8.955,2.74
2014-05-20,2.49,2.65,3.269,2.647,2.847,3.385,8.962,2.73
2014-05-21,2.49,2.65,3.267,2.647,2.842,3.378,8.962,2.73
2014-05-22,2.49,2.65,3.275,2.652,2.85,3.407,8.971,2.73
2014-05-23,2.49,2.65,3.258,2.644,2.831,3.383,8.956,2.73
2014-05-26,2.49,2.65,3.255,2.641,2.829,3.371,8.952,2.73
2014-05-27,2.48,2.65,3.255,2.64,2.83,3.369,8.952,2.73
2014-05-28,2.48,2.65,3.244,2.637,2.819,3.351,8.94,2.73
2014-05-29,2.49,2.65,3.231,2.632,2.805,3.323,8.927,2.73
2014-05-30,2.49,2.65,3.24,2.638,2.816,3.338,8.934,2.73
2014-06-02,2.48,2.65,3.25,2.641,2.825,3.362,8.943,2.73
2014-06-03,2.48,2.65,3.256,2.645,2.837,3.375,8.949,2.73
2014-06-05,2.48,2.65,3.257,2.646,2.839,3.383,8.952,2.73
2014-06-09,2.48,2.65,3.258,2.645,2.84,3.38,8.952,2.73
2014-06-10,2.49,2.65,3.234,2.634,2.819,3.34,8.93,2.73
2014-06-11,2.49,2.65,3.24,2.635,2.823,3.355,8.936,2.72
2014-06-12,2.48,2.65,3.208,2.618,2.789,3.318,8.905,2.72
2014-06-13,2.48,2.65,3.161,2.596,2.74,3.307,8.865,2.72
2014-06-16,2.48,2.65,3.145,2.588,2.721,3.315,8.851,2.72
2014-06-17,2.47,2.65,3.152,2.592,2.728,3.302,8.854,2.72
2014-06-18,2.48,2.65,3.15,2.591,2.725,3.301,8.852,2.72
2014-06-19,2.48,2.65,3.112,2.574,2.681,3.251,8.808,2.72
2014-06-20,2.48,2.65,3.092,2.565,2.662,3.213,8.783,2.72
2014-06-23,2.48,2.65,3.117,2.573,2.69,3.235,8.805,2.72
2014-06-24,2.48,2.65,3.111,2.572,2.683,3.215,8.8,2.71
2014-06-25,2.49,2.65,3.117,2.58,2.687,3.216,8.808,2.71
2014-06-26,2.49,2.65,3.125,2.59,2.705,3.205,8.815,2.71
2014-06-27,2.48,2.65,3.112,2.583,2.694,3.183,8.803,2.71
2014-06-30,2.49,2.65,3.1,2.579,2.681,3.17,8.792,2.71
2014-07-01,2.48,2.65,3.082,2.574,2.664,3.168,8.78,2.71
2014-07-02,2.48,2.65,3.0,2.535,2.58,3.089,8.706,2.71
2014-07-03,2.48,2.65,3.013,2.543,2.595,3.105,8.717,2.71
2014-07-04,2.48,2.65,3.022,2.548,2.608,3.123,8.727,2.71
2014-07-07,2.48,2.65,3.025,2.549,2.612,3.127,8.727,2.71
2014-07-08,2.48,2.65,3.056,2.563,2.647,3.159,8.755,2.71
2014-07-09,2.5,2.65,3.021,2.536,2.611,3.153,8.721,2.71
2014-07-10,2.48,2.65,3.0,2.518,2.59,3.085,8.694,2.71
2014-07-11,2.48,2.65,2.998,2.514,2.586,3.063,8.688,2.71
2014-07-14,2.48,2.65,3.006,2.516,2.595,3.075,8.697,2.71
2014-07-15,2.48,2.65,3.001,2.512,2.59,3.062,8.692,2.71
2014-07-16,2.48,2.65,2.992,2.504,2.58,3.027,8.68,2.71
2014-07-17,2.49,2.65,2.927,2.455,2.514,2.958,8.615,2.71
2014-07-18,2.48,2.65,2.933,2.459,2.519,2.971,8.623,2.71
2014-07-21,2.48,2.65,2.936,2.458,2.521,3.0,8.626,2.7
2014-07-22,2.48,2.65,2.928,2.451,2.513,2.995,8.623,2.7
2014-07-23,2.49,2.65,2.883,2.416,2.464,2.97,8.581,2.7
2014-07-24,2.49,2.65,2.911,2.43,2.497,3.015,8.609,2.7
2014-07-25,2.49,2.65,2.907,2.426,2.494,3.004,8.605,2.7
2014-07-28,2.5,2.65,2.915,2.428,2.505,3.017,8.615,2.7
2014-07-29,2.5,2.65,2.925,2.432,2.518,3.034,8.626,2.7
2014-07-30,2.5,2.65,2.918,2.425,2.512,3.035,8.622,2.7
2014-07-31,2.49,2.65,2.92,2.423,2.515,3.052,8.625,2.7
2014-08-01,2.48,2.65,2.944,2.426,2.54,3.105,8.651,2.7
2014-08-04,2.48,2.65,2.945,2.417,2.545,3.105,8.656,2.7
