Unnamed: 0,시장평균_미국(달러)(통화대원),시장평균_일본(100엔)((100)통화),시장평균_EU(유로)(통화대원)
2014-01-02,1055.3,1001.52,1452.99
2014-01-03,1050.4,1002.43,1435.48
2014-01-06,1054.1,1005.2,1432.89
2014-01-07,1062.2,1018.99,1447.67
2014-01-08,1067.9,1020.69,1453.95
2014-01-09,1066.0,1016.69,1447.41
2014-01-10,1064.8,1015.74,1448.66
2014-01-13,1062.8,1021.14,1452.32
2014-01-14,1056.5,1025.33,1444.13
2014-01-15,1058.4,1015.35,1447.52
2014-01-16,1062.5,1016.07,1445.53
2014-01-17,1064.2,1020.13,1449.28
2014-01-20,1061.0,1017.65,1435.43
2014-01-21,1063.9,1021.21,1442.22
2014-01-22,1064.2,1020.52,1442.84
2014-01-23,1068.4,1022.2,1447.25
2014-01-24,1071.9,1037.66,1468.07
2014-01-27,1077.2,1056.54,1474.09
2014-01-28,1084.1,1056.22,1482.29
2014-01-29,1079.2,1043.71,1473.59
2014-02-03,1071.1,1048.2,1445.07
2014-02-04,1082.2,1070.95,1463.78
2014-02-05,1086.1,1068.21,1467.59
2014-02-06,1079.5,1063.28,1460.67
2014-02-07,1076.4,1054.83,1462.83
2014-02-10,1075.1,1048.01,1464.72
2014-02-11,1071.9,1048.42,1462.5
2014-02-12,1072.0,1044.99,1461.89
2014-02-13,1064.7,1038.63,1447.35
2014-02-14,1063.9,1041.0,1455.31
2014-02-17,1061.9,1043.48,1455.07
2014-02-18,1060.5,1040.01,1453.63
2014-02-19,1064.1,1039.31,1464.31
2014-02-20,1067.1,1042.75,1465.56
2014-02-21,1071.9,1047.24,1470.65
2014-02-24,1073.1,1046.31,1474.49
2014-02-25,1076.3,1050.0,1477.98
2014-02-26,1070.6,1047.25,1471.65
2014-02-27,1069.9,1045.08,1463.89
2014-02-28,1067.7,1044.82,1463.6
2014-03-03,1066.2,1051.06,1468.8
2014-03-04,1071.9,1056.84,1472.36
2014-03-05,1072.0,1048.67,1472.77
2014-03-06,1070.6,1046.07,1470.31
2014-03-07,1067.4,1035.71,1479.9
2014-03-10,1062.6,1029.8,1474.73
2014-03-11,1065.9,1032.05,1479.26
2014-03-12,1064.8,1033.94,1475.28
2014-03-13,1069.2,1040.74,1486.67
2014-03-14,1067.4,1048.37,1480.27
2014-03-17,1072.0,1057.72,1490.99
2014-03-18,1069.9,1050.47,1489.89
2014-03-19,1067.9,1052.95,1487.85
2014-03-20,1070.7,1045.5,1480.03
2014-03-21,1075.3,1050.15,1481.76
2014-03-24,1080.3,1057.25,1490.06
2014-03-25,1079.7,1056.2,1493.87
2014-03-26,1078.2,1054.06,1490.83
2014-03-27,1075.0,1053.3,1481.51
2014-03-28,1072.8,1049.55,1473.97
2014-03-31,1068.8,1038.73,1469.39
2014-04-01,1066.1,1032.84,1468.45
2014-04-02,1060.5,1023.35,1463.07
2014-04-03,1057.0,1017.67,1455.07
2014-04-04,1058.1,1018.29,1451.66
2014-04-07,1056.1,1022.07,1446.86
2014-04-08,1053.4,1021.58,1447.74
2014-04-09,1053.6,1033.85,1453.23
2014-04-10,1043.2,1022.34,1445.46
2014-04-11,1036.0,1021.04,1438.54
2014-04-14,1037.5,1022.22,1436.42
2014-04-15,1038.9,1019.78,1435.71
2014-04-16,1041.2,1022.49,1438.47
2014-04-17,1041.3,1018.69,1438.97
2014-04-18,1037.1,1012.74,1432.55
2014-04-21,1037.2,1012.54,1432.79
2014-04-22,1037.9,1011.2,1431.58
2014-04-23,1039.6,1013.01,1435.48
