_sample_part,Unnamed: 0,"국내총생산(시장가격, GDP)(십억원)",성장률,_review_mark,_columns_to_check,_review_question,_my_interpretation
all,2014-03-31,425653.1,-0.069350128,?,"날짜/분기 컬럼, GDP 성장률 값 컬럼",GDP는 분기자료·계절성·기저효과·발표지연 문제가 있으므로 최종 직접 반영에서 제외하고 비교·진단용으로만 두는 방향이 괜찮을까요?,초기 후보로 검토했지만 최종 macro companion 직접 입력에서는 제외하는 방향입니다.
all,2014-06-30,447905.8,0.052278957,,,,
all,2014-09-30,445193,-0.006056631,,,,
all,2014-12-30,469222.9,0.053976365,,,,
all,2015-03-31,436985.1,-0.06870466,,,,
all,2015-06-30,456539,0.044747292,,,,
all,2015-09-30,460592.4,0.00887854,,,,
all,2015-12-30,486072.5,0.055320279,,,,
all,2016-03-31,450098.9,-0.074008713,,,,
all,2016-06-30,474126.6,0.053383156,,,,
all,2016-09-30,474405.1,0.000587396,,,,
all,2016-12-29,499920.5,0.053783992,,,,
all,2017-03-31,465693.6,-0.068464686,,,,
all,2017-06-30,488383,0.048721735,,,,
all,2017-09-29,493865.8,0.011226435,,,,
all,2017-12-28,515789.6,0.044392222,,,,
all,2018-03-30,480607.4,-0.068210371,,,,
all,2018-06-29,504711.6,0.050153618,,,,
all,2018-09-28,506697.6,0.00393492,,,,
all,2018-12-28,534085.8,0.054052358,,,,
all,2019-03-29,489586.8,-0.083318074,,,,
all,2019-06-28,516735.4,0.055452067,,,,
all,2019-09-30,517949.8,0.002350139,,,,
all,2019-12-30,548710.3,0.05938896,,,,
all,2020-03-31,495490.1,-0.096991436,,,,
all,2020-06-30,503165.6,0.015490723,,,,
all,2020-09-29,513691.5,0.020919355,,,,
all,2020-12-30,546119.4,0.063127188,,,,
all,2021-03-31,508035.4,-0.069735666,,,,
all,2021-06-30,538210.3,0.05939527,,,,
all,2021-09-30,537547.8,-0.001230931,,,,
all,2021-12-30,569629.4,0.05968139,,,,
all,2022-03-31,525699.4,-0.077120317,,,,
all,2022-06-30,554535.9,0.054853591,,,,
all,2022-09-30,555871.8,0.002409042,,,,
all,2022-12-29,576051.8,0.036303335,,,,
all,2023-03-31,531551.9,-0.077249824,,,,
all,2023-06-30,559956.3,0.053436739,,,,
all,2023-09-27,563643.3,0.006584442,,,,
all,2023-12-28,588068.9,0.043335209,,,,
all,2024-03-29,550377.7,-0.06409317,,,,
all,2024-06-28,573463.8,0.041945922,,,,
all,2024-09-30,572424.9,-0.001811623,,,,
all,2024-12-30,595936,0.041072811,,,,
all,2025-03-31,550232.4,-0.076692128,,,,
all,2025-06-30,576794.3,0.048273966,,,,
all,2025-09-30,582913.5,0.010608981,,,,
all,2025-12-30,605345.2,0.038482039,,,,
all,2026-03-31,570198.6,-0.058060426,,,,
