_sample_part,Unnamed: 0,발행량(조원),잔액(조원),_review_mark,_columns_to_check,_review_question,_my_interpretation
head,2014-01-01,7.6,408.2,?,"날짜 컬럼, 국채발행잔액 값 컬럼",국채발행잔액은 설명 부담이 있어 최종 모델 직접 입력보다 참고 후보군으로만 두는 것이 적절할까요?,채권시장·유동성 참고 자료로는 의미가 있지만 최종 직접 반영 여부는 확인이 필요합니다.
head,2014-02-01,9.0,416.9,,,,
head,2014-03-01,8.3,410.5,,,,
head,2014-04-01,8.7,418.8,,,,
head,2014-05-01,9.3,427.6,,,,
head,2014-06-01,9.4,429.2,,,,
head,2014-07-01,8.6,437.5,,,,
head,2014-08-01,7.5,444.6,,,,
head,2014-09-01,7.9,430.7,,,,
head,2014-10-01,7.7,436.8,,,,
head,2014-11-01,7.3,442.6,,,,
head,2014-12-01,6.1,438.3,,,,
head,2015-01-01,9.0,447.2,,,,
head,2015-02-01,8.7,454.6,,,,
head,2015-03-01,9.6,454.3,,,,
head,2015-04-01,8.6,461.5,,,,
head,2015-05-01,9.0,468.8,,,,
head,2015-06-01,8.4,466.3,,,,
head,2015-07-01,9.5,474.6,,,,
head,2015-08-01,10.5,483.6,,,,
head,2015-09-01,10.2,474.5,,,,
head,2015-10-01,9.5,482.2,,,,
head,2015-11-01,9.9,490.1,,,,
head,2015-12-01,6.5,485.1,,,,
head,2016-01-01,8.9,493.4,,,,
head,2016-02-01,10.2,502.6,,,,
head,2016-03-01,9.8,501.4,,,,
head,2016-04-01,9.0,509.1,,,,
head,2016-05-01,9.9,518.4,,,,
head,2016-06-01,10.8,516.7,,,,
head,2016-07-01,8.6,524.4,,,,
head,2016-08-01,7.6,531.3,,,,
head,2016-09-01,7.6,517.3,,,,
head,2016-10-01,7.3,522.5,,,,
head,2016-11-01,6.9,526.1,,,,
head,2016-12-01,4.6,516.9,,,,
head,2017-01-01,9.4,526.2,,,,
head,2017-02-01,8.8,534.9,,,,
head,2017-03-01,9.7,533.3,,,,
head,2017-04-01,10.5,543.7,,,,
tail,2022-09-01,11.9,931.4,,,,
tail,2022-10-01,11.2,940.7,,,,
tail,2022-11-01,9.5,948.9,,,,
tail,2022-12-01,3.8,937.5,,,,
tail,2023-01-01,14.8,952.0,,,,
tail,2023-02-01,13.4,965.1,,,,
tail,2023-03-01,17.8,958.1,,,,
tail,2023-04-01,17.9,975.6,,,,
tail,2023-05-01,18.1,993.4,,,,
tail,2023-06-01,16.7,988.4,,,,
tail,2023-07-01,17.6,1003.7,,,,
tail,2023-08-01,14.9,1015.3,,,,
tail,2023-09-01,13.2,1004.4,,,,
tail,2023-10-01,10.5,1011.6,,,,
tail,2023-11-01,6.9,1016.1,,,,
tail,2023-12-01,4.0,998.0,,,,
tail,2024-01-01,12.5,1010.0,,,,
tail,2024-02-01,17.5,1026.9,,,,
tail,2024-03-01,18.4,1020.8,,,,
tail,2024-04-01,15.0,1035.3,,,,
tail,2024-05-01,18.5,1053.3,,,,
tail,2024-06-01,18.3,1052.9,,,,
tail,2024-07-01,15.8,1066.2,,,,
tail,2024-08-01,11.8,1074.6,,,,
tail,2024-09-01,10.8,1056.0,,,,
tail,2024-10-01,9.9,1062.4,,,,
tail,2024-11-01,7.8,1066.7,,,,
tail,2024-12-01,1.4,1047.1,,,,
tail,2025-01-01,18.29,1064.93,,,,
tail,2025-02-01,21.25,1085.68,,,,
tail,2025-03-01,20.75,1079.74,,,,
tail,2025-04-01,20.9,1100.14,,,,
tail,2025-05-01,19.0,1118.65,,,,
tail,2025-06-01,23.62,1117.69,,,,
tail,2025-07-01,21.16,1136.54,,,,
tail,2025-08-01,21.05,1154.29,,,,
tail,2025-09-01,21.49,1152.56,,,,
tail,2025-10-01,17.72,1166.78,,,,
tail,2025-11-01,15.59,1178.88,,,,
tail,2025-12-01,5.4,1159.43,,,,
