_sample_part,Unnamed: 0,시장금리:콜(1일물)(%),시장금리:CD유통수익률(91)(%),시장금리:회사채(무보증3년AA-)(%),시장금리:국고1년(%),시장금리:국고3년(국채관리기금채3년)(%),시장금리:국고10년(%),시장금리:회사채(무보증3년BBB-)(%),시장금리:CP(91일)(%),_review_mark,_columns_to_check,_review_question,_my_interpretation
head,2014-01-02,2.51,2.66,3.339,2.703,2.913,3.678,9.034,2.9,?,"날짜 컬럼, 금리값 컬럼",금리 자료는 연율 %로 보고 월간 수익률처럼 변환하지 않고 변화폭/표준화 방식으로 사용하는 것이 맞을까요?,최종 macro companion에서는 금리 압력 변수 후보로 사용합니다.
head,2014-01-03,2.5,2.66,3.346,2.703,2.924,3.7,9.041,2.9,,,,
head,2014-01-06,2.48,2.66,3.288,2.651,2.863,3.648,8.988,2.87,,,,
head,2014-01-07,2.5,2.66,3.288,2.649,2.864,3.65,8.99,2.84,,,,
head,2014-01-08,2.49,2.66,3.282,2.638,2.858,3.645,8.984,2.82,,,,
head,2014-01-09,2.49,2.65,3.322,2.655,2.895,3.674,9.021,2.81,,,,
head,2014-01-10,2.5,2.65,3.342,2.665,2.911,3.65,9.041,2.81,,,,
head,2014-01-13,2.49,2.65,3.321,2.65,2.89,3.622,9.017,2.8,,,,
head,2014-01-14,2.49,2.65,3.338,2.657,2.904,3.644,9.035,2.79,,,,
head,2014-01-15,2.49,2.65,3.339,2.654,2.906,3.666,9.038,2.79,,,,
head,2014-01-16,2.49,2.65,3.32,2.642,2.889,3.648,9.02,2.79,,,,
head,2014-01-17,2.49,2.65,3.322,2.647,2.895,3.65,9.024,2.79,,,,
head,2014-01-20,2.49,2.65,3.331,2.653,2.904,3.65,9.031,2.79,,,,
head,2014-01-21,2.49,2.65,3.335,2.658,2.908,3.662,9.038,2.79,,,,
head,2014-01-22,2.5,2.65,3.345,2.664,2.919,3.683,9.047,2.79,,,,
head,2014-01-23,2.5,2.65,3.328,2.653,2.902,3.656,9.031,2.79,,,,
head,2014-01-24,2.5,2.65,3.288,2.636,2.861,3.587,8.991,2.8,,,,
head,2014-01-27,2.52,2.65,3.31,2.655,2.881,3.605,9.013,2.8,,,,
head,2014-01-28,2.52,2.65,3.299,2.649,2.871,3.6,9.001,2.81,,,,
head,2014-01-29,2.51,2.65,3.302,2.653,2.88,3.612,9.004,2.81,,,,
head,2014-02-03,2.47,2.65,3.303,2.654,2.882,3.609,9.004,2.81,,,,
head,2014-02-04,2.48,2.65,3.273,2.641,2.85,3.542,8.973,2.8,,,,
head,2014-02-05,2.48,2.65,3.278,2.642,2.855,3.546,8.98,2.79,,,,
head,2014-02-06,2.49,2.65,3.274,2.637,2.85,3.543,8.974,2.79,,,,
head,2014-02-07,2.49,2.65,3.281,2.64,2.855,3.564,8.982,2.78,,,,
head,2014-02-10,2.49,2.65,3.271,2.632,2.845,3.546,8.969,2.78,,,,
head,2014-02-11,2.49,2.65,3.266,2.63,2.84,3.526,8.963,2.77,,,,
head,2014-02-12,2.49,2.65,3.267,2.633,2.842,3.53,8.964,2.76,,,,
head,2014-02-13,2.49,2.65,3.263,2.631,2.837,3.495,8.96,2.76,,,,
head,2014-02-14,2.49,2.65,3.267,2.631,2.842,3.481,8.96,2.75,,,,
head,2014-02-17,2.49,2.65,3.277,2.639,2.851,3.501,8.971,2.75,,,,
head,2014-02-18,2.49,2.65,3.286,2.643,2.862,3.524,8.979,2.75,,,,
head,2014-02-19,2.49,2.65,3.279,2.639,2.855,3.499,8.971,2.74,,,,
head,2014-02-20,2.49,2.65,3.28,2.64,2.856,3.493,8.97,2.74,,,,
head,2014-02-21,2.49,2.65,3.303,2.651,2.878,3.529,8.991,2.74,,,,
head,2014-02-24,2.49,2.65,3.298,2.649,2.87,3.512,8.986,2.74,,,,
head,2014-02-25,2.49,2.65,3.288,2.645,2.86,3.498,8.976,2.74,,,,
