_sample_part,Unnamed: 0,RP금리,_review_mark,_columns_to_check,_review_question,_my_interpretation
head,20140102,2.57,?,"날짜 컬럼, RP 금리값 컬럼","RP 금리는 단기금리 후보로 볼 수 있지만, 최종 금리 변수로 쓸지 또는 참고용으로 둘지 확인이 필요할까요?",정책·단기 유동성 압력 후보입니다.
head,20140103,2.57,,,,
head,20140106,2.57,,,,
head,20140107,2.57,,,,
head,20140108,2.57,,,,
head,20140109,2.57,,,,
head,20140110,2.57,,,,
head,20140113,2.57,,,,
head,20140114,2.57,,,,
head,20140115,2.57,,,,
head,20140116,2.57,,,,
head,20140117,2.57,,,,
head,20140120,2.57,,,,
head,20140121,2.57,,,,
head,20140122,2.57,,,,
head,20140123,2.57,,,,
head,20140124,2.57,,,,
head,20140127,2.57,,,,
head,20140128,2.57,,,,
head,20140129,2.57,,,,
head,20140203,2.57,,,,
head,20140204,2.57,,,,
head,20140205,2.57,,,,
head,20140206,2.57,,,,
head,20140207,2.57,,,,
head,20140210,2.57,,,,
head,20140211,2.57,,,,
head,20140212,2.57,,,,
head,20140213,2.57,,,,
head,20140214,2.57,,,,
head,20140217,2.57,,,,
head,20140218,2.57,,,,
head,20140219,2.57,,,,
head,20140220,2.57,,,,
head,20140221,2.57,,,,
head,20140224,2.57,,,,
head,20140225,2.57,,,,
head,20140226,2.57,,,,
head,20140227,2.57,,,,
head,20140228,2.57,,,,
tail,20260407,2.55,,,,
tail,20260408,2.55,,,,
tail,20260409,2.55,,,,
tail,20260410,2.55,,,,
tail,20260413,2.55,,,,
tail,20260414,2.55,,,,
tail,20260415,2.55,,,,
tail,20260416,2.55,,,,
tail,20260417,2.55,,,,
tail,20260420,2.55,,,,
tail,20260421,2.55,,,,
tail,20260422,2.55,,,,
tail,20260423,2.55,,,,
tail,20260424,2.55,,,,
tail,20260427,2.55,,,,
tail,20260428,2.55,,,,
tail,20260429,2.55,,,,
tail,20260430,2.55,,,,
tail,20260504,2.55,,,,
tail,20260506,2.55,,,,
tail,20260507,2.55,,,,
tail,20260508,2.55,,,,
tail,20260511,2.55,,,,
tail,20260512,2.55,,,,
tail,20260513,2.55,,,,
tail,20260514,2.55,,,,
tail,20260515,2.55,,,,
tail,20260518,2.55,,,,
tail,20260519,2.55,,,,
tail,20260520,2.55,,,,
tail,20260521,2.55,,,,
tail,20260522,2.55,,,,
tail,20260526,2.55,,,,
tail,20260527,2.55,,,,
tail,20260528,2.55,,,,
tail,20260529,2.55,,,,
tail,20260601,2.55,,,,
tail,20260602,2.55,,,,
tail,20260604,2.55,,,,
tail,20260605,2.55,,,,
