_sample_part,year_month,return_year_month,hsi_state,state_kr,allocation_rule_name,weight_069500,weight_114260,weight_153130,turnover,macro_data_available,macro_risk_flag,macro_defense_addon,macro_companion_regime,gdp_data_available,rate_up_flag,fx_up_flag,base_weight_069500,base_weight_114260,base_weight_153130,macro_hsi_overlap_type,overlay_strength,macro_overlay_delta,_review_mark,_columns_to_check,_review_question,_my_interpretation
head,2012-03,2012-04,insufficient_data,자료 부족,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.0,0,0,0.0,,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0,?,"year_month, return_year_month, macro_overlay_delta, weight_069500, weight_114260, weight_153130",t월 신호와 조정 비중을 t+1월 수익률에 적용한 구조로 해석해도 괜찮을까요?,14번은 최종 모델이 아니라 HSI baseline 위에 붙인 보조 macro soft overlay 실험입니다.
head,2012-04,2012-05,insufficient_data,자료 부족,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.0,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0,,,,
head,2012-05,2012-06,insufficient_data,자료 부족,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.0,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0,,,,
head,2012-06,2012-07,insufficient_data,자료 부족,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.0,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0,,,,
head,2012-07,2012-08,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.1999999999999999,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0,,,,
head,2012-08,2012-09,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0,,,,
head,2012-09,2012-10,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0,,,,
head,2012-10,2012-11,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.1999999999999999,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0,,,,
head,2012-11,2012-12,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.1999999999999999,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0,,,,
head,2012-12,2013-01,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0,,,,
