Market,EventName,EventType,ExpectedHSIDirection,StartMonth,EndMonth,HSIState5,StateLabelKR,Count,Share
US,COVID crash,Risk Crisis,Risk Worsening,2020-02,2020-03,accident_zone,강한 위험 악화,13,0.5909090909090909
US,COVID crash,Risk Crisis,Risk Worsening,2020-02,2020-03,risk_warning,위험 악화 우세,1,0.045454545454545456
US,COVID crash,Risk Crisis,Risk Worsening,2020-02,2020-03,conflict,충돌 상태,3,0.13636363636363635
US,COVID crash,Risk Crisis,Risk Worsening,2020-02,2020-03,neutral_watch,관찰·중립,5,0.22727272727272727
US,COVID liquidity rebound,Recovery and Overheating,Mixed,2020-03,2021-12,accident_zone,강한 위험 악화,58,0.2078853046594982
US,COVID liquidity rebound,Recovery and Overheating,Mixed,2020-03,2021-12,risk_warning,위험 악화 우세,39,0.13978494623655913
US,COVID liquidity rebound,Recovery and Overheating,Mixed,2020-03,2021-12,conflict,충돌 상태,67,0.24014336917562723
US,COVID liquidity rebound,Recovery and Overheating,Mixed,2020-03,2021-12,neutral_watch,관찰·중립,75,0.26881720430107525
US,COVID liquidity rebound,Recovery and Overheating,Mixed,2020-03,2021-12,risk_relief,위험 완화 우세,40,0.14336917562724014
US,Inflation and rate-hike shock,Risk Worsening,Risk Worsening,2022-01,2022-10,accident_zone,강한 위험 악화,54,0.4153846153846154
US,Inflation and rate-hike shock,Risk Worsening,Risk Worsening,2022-01,2022-10,risk_warning,위험 악화 우세,33,0.25384615384615383
US,Inflation and rate-hike shock,Risk Worsening,Risk Worsening,2022-01,2022-10,conflict,충돌 상태,20,0.15384615384615385
US,Inflation and rate-hike shock,Risk Worsening,Risk Worsening,2022-01,2022-10,neutral_watch,관찰·중립,19,0.14615384615384616
US,Inflation and rate-hike shock,Risk Worsening,Risk Worsening,2022-01,2022-10,risk_relief,위험 완화 우세,4,0.03076923076923077
KR,COVID crash Korea,Risk Crisis,Risk Worsening,2020-02,2020-03,accident_zone,강한 위험 악화,13,0.5909090909090909
KR,COVID crash Korea,Risk Crisis,Risk Worsening,2020-02,2020-03,risk_warning,위험 악화 우세,1,0.045454545454545456
KR,COVID crash Korea,Risk Crisis,Risk Worsening,2020-02,2020-03,conflict,충돌 상태,3,0.13636363636363635
KR,COVID crash Korea,Risk Crisis,Risk Worsening,2020-02,2020-03,neutral_watch,관찰·중립,5,0.22727272727272727
KR,Battery-theme overheating,Overheating,Mixed or Risk Warning,2023-04,2023-08,accident_zone,강한 위험 악화,7,0.1076923076923077
KR,Battery-theme overheating,Overheating,Mixed or Risk Warning,2023-04,2023-08,risk_warning,위험 악화 우세,15,0.23076923076923078
KR,Battery-theme overheating,Overheating,Mixed or Risk Warning,2023-04,2023-08,conflict,충돌 상태,13,0.2
KR,Battery-theme overheating,Overheating,Mixed or Risk Warning,2023-04,2023-08,neutral_watch,관찰·중립,18,0.27692307692307694
KR,Battery-theme overheating,Overheating,Mixed or Risk Warning,2023-04,2023-08,risk_relief,위험 완화 우세,12,0.18461538461538463
KR,Global tech and carry-trade shock,Risk Crisis,Risk Worsening,2024-08,2024-08,accident_zone,강한 위험 악화,6,0.46153846153846156
KR,Global tech and carry-trade shock,Risk Crisis,Risk Worsening,2024-08,2024-08,risk_warning,위험 악화 우세,3,0.23076923076923078
KR,Global tech and carry-trade shock,Risk Crisis,Risk Worsening,2024-08,2024-08,conflict,충돌 상태,3,0.23076923076923078
KR,Global tech and carry-trade shock,Risk Crisis,Risk Worsening,2024-08,2024-08,neutral_watch,관찰·중립,1,0.07692307692307693
