strategy_name,year_month,return_year_month,hsi_state,state_kr,allocation_rule_name,strategy_return,turnover,cumulative_return,running_max,drawdown,weight_069500,weight_114260,weight_153130,return_069500,return_114260,return_153130
EW,2012-03,2012-04,insufficient_data,자료 부족,equal_weight,0.001501,0.0,1.001501,1.001501,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.005421,0.006984,0.00294
EW,2012-03,2012-04,EW,동일가중,,0.001501,0.0,1.001501,1.001501,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.005421,0.006984,0.00294
EW,2012-03,2012-04,EW,동일가중,equal_weight,0.001501,0.0,1.001501,1.001501,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.005421,0.006984,0.00294
EW,2012-04,2012-05,insufficient_data,자료 부족,equal_weight,-0.0226496666666666,0.0,0.9788173361836666,1.001501,-0.0226496666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.077546,0.006467,0.00313
EW,2012-04,2012-05,EW,동일가중,,-0.0226496666666666,0.0,0.9788173361836666,1.001501,-0.0226496666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.077546,0.006467,0.00313
EW,2012-04,2012-05,EW,동일가중,equal_weight,-0.0226496666666666,0.0,0.9788173361836666,1.001501,-0.0226496666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.077546,0.006467,0.00313
EW,2012-05,2012-06,insufficient_data,자료 부족,equal_weight,0.0029933333333333,0.0,0.9817472627433098,1.001501,-0.0197241313355555,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.003673,0.002782,0.002525
EW,2012-05,2012-06,EW,동일가중,,0.0029933333333333,0.0,0.9817472627433098,1.001501,-0.0197241313355555,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.003673,0.002782,0.002525
EW,2012-05,2012-06,EW,동일가중,equal_weight,0.0029933333333333,0.0,0.9817472627433098,1.001501,-0.0197241313355555,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.003673,0.002782,0.002525
EW,2012-06,2012-07,insufficient_data,자료 부족,equal_weight,0.0129296666666666,0.0,0.9944409276014932,1.001501,-0.007049491112347,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.020355,0.014828,0.003606
EW,2012-06,2012-07,EW,동일가중,,0.0129296666666666,0.0,0.9944409276014932,1.001501,-0.007049491112347,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.020355,0.014828,0.003606
EW,2012-06,2012-07,EW,동일가중,equal_weight,0.0129296666666666,0.0,0.9944409276014932,1.001501,-0.007049491112347,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.020355,0.014828,0.003606
EW,2012-07,2012-08,risk_relief,위험 완화 우세,equal_weight,0.0024376666666666,0.0,0.9968650431026764,1.001501,-0.004629008755182,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.004901,0.002412
EW,2012-07,2012-08,EW,동일가중,,0.0024376666666666,0.0,0.9968650431026764,1.001501,-0.004629008755182,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.004901,0.002412
EW,2012-07,2012-08,EW,동일가중,equal_weight,0.0024376666666666,0.0,0.9968650431026764,1.001501,-0.004629008755182,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.004901,0.002412
EW,2012-08,2012-09,risk_relief,위험 완화 우세,equal_weight,0.0175886666666666,0.0,1.0143985700574618,1.0143985700574618,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.049252,0.001501,0.002013
EW,2012-08,2012-09,EW,동일가중,,0.0175886666666666,0.0,1.0143985700574618,1.0143985700574618,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.049252,0.001501,0.002013
EW,2012-08,2012-09,EW,동일가중,equal_weight,0.0175886666666666,0.0,1.0143985700574618,1.0143985700574618,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.049252,0.001501,0.002013
EW,2012-09,2012-10,risk_relief,위험 완화 우세,equal_weight,-0.013575,0.0,1.0006281094689318,1.0143985700574618,-0.013575,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.04599,0.002864,0.002401
EW,2012-09,2012-10,EW,동일가중,,-0.013575,0.0,1.0006281094689318,1.0143985700574618,-0.013575,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.04599,0.002864,0.002401
EW,2012-09,2012-10,EW,동일가중,equal_weight,-0.013575,0.0,1.0006281094689318,1.0143985700574618,-0.013575,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.04599,0.002864,0.002401
EW,2012-10,2012-11,neutral_watch,중립 관찰,equal_weight,0.0069603333333333,0.0,1.007592814653539,1.0143985700574618,-0.0067091531916666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.018128,0.000553,0.0022
EW,2012-10,2012-11,EW,동일가중,,0.0069603333333333,0.0,1.007592814653539,1.0143985700574618,-0.0067091531916666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.018128,0.000553,0.0022
EW,2012-10,2012-11,EW,동일가중,equal_weight,0.0069603333333333,0.0,1.007592814653539,1.0143985700574618,-0.0067091531916666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.018128,0.000553,0.0022
EW,2012-11,2012-12,risk_relief,위험 완화 우세,equal_weight,0.0151103333333333,0.0,1.0228178779472252,1.0228178779472252,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.041283,0.00188,0.002168
EW,2012-11,2012-12,EW,동일가중,,0.0151103333333333,0.0,1.0228178779472252,1.0228178779472252,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.041283,0.00188,0.002168
EW,2012-11,2012-12,EW,동일가중,equal_weight,0.0151103333333333,0.0,1.0228178779472252,1.0228178779472252,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.041283,0.00188,0.002168
EW,2012-12,2013-01,risk_relief,위험 완화 우세,equal_weight,-0.0051056666666666,0.0,1.0175957108017193,1.0228178779472252,-0.0051056666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.021421,0.003805,0.002299
EW,2012-12,2013-01,EW,동일가중,,-0.0051056666666666,0.0,1.0175957108017193,1.0228178779472252,-0.0051056666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.021421,0.003805,0.002299
EW,2012-12,2013-01,EW,동일가중,equal_weight,-0.0051056666666666,0.0,1.0175957108017193,1.0228178779472252,-0.0051056666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.021421,0.003805,0.002299
EW,2013-01,2013-02,risk_relief,위험 완화 우세,equal_weight,0.0159839999999999,0.0,1.033860960643174,1.033860960643174,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.039171,0.006288,0.002493
EW,2013-01,2013-02,EW,동일가중,,0.0159839999999999,0.0,1.033860960643174,1.033860960643174,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.039171,0.006288,0.002493
EW,2013-01,2013-02,EW,동일가중,equal_weight,0.0159839999999999,0.0,1.033860960643174,1.033860960643174,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.039171,0.006288,0.002493
EW,2013-02,2013-03,risk_relief,위험 완화 우세,equal_weight,-0.0034046666666666,0.0,1.030341008692504,1.033860960643174,-0.0034046666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.018478,0.006076,0.002188
EW,2013-02,2013-03,EW,동일가중,,-0.0034046666666666,0.0,1.030341008692504,1.033860960643174,-0.0034046666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.018478,0.006076,0.002188
EW,2013-02,2013-03,EW,동일가중,equal_weight,-0.0034046666666666,0.0,1.030341008692504,1.033860960643174,-0.0034046666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.018478,0.006076,0.002188
EW,2013-03,2013-04,neutral_watch,중립 관찰,equal_weight,-0.0083766666666666,0.0,1.0217101855096895,1.033860960643174,-0.0117528135755556,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.028992,0.001926,0.001936
EW,2013-03,2013-04,EW,동일가중,,-0.0083766666666666,0.0,1.0217101855096895,1.033860960643174,-0.0117528135755556,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.028992,0.001926,0.001936
EW,2013-03,2013-04,EW,동일가중,equal_weight,-0.0083766666666666,0.0,1.0217101855096895,1.033860960643174,-0.0117528135755556,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.028992,0.001926,0.001936
EW,2013-04,2013-05,neutral_watch,중립 관찰,equal_weight,0.0058419999999999,0.0,1.0276790164134373,1.033860960643174,-0.0059794735124641,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.021297,-0.00595,0.002179
EW,2013-04,2013-05,EW,동일가중,,0.0058419999999999,0.0,1.0276790164134373,1.033860960643174,-0.0059794735124641,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.021297,-0.00595,0.002179
EW,2013-04,2013-05,EW,동일가중,equal_weight,0.0058419999999999,0.0,1.0276790164134373,1.033860960643174,-0.0059794735124641,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.021297,-0.00595,0.002179
EW,2013-05,2013-06,risk_relief,위험 완화 우세,equal_weight,-0.0253796666666666,0.0,1.0015968655365364,1.033860960643174,-0.0312073831345423,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.075186,-0.002782,0.001829
EW,2013-05,2013-06,EW,동일가중,,-0.0253796666666666,0.0,1.0015968655365364,1.033860960643174,-0.0312073831345423,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.075186,-0.002782,0.001829
EW,2013-05,2013-06,EW,동일가중,equal_weight,-0.0253796666666666,0.0,1.0015968655365364,1.033860960643174,-0.0312073831345423,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.075186,-0.002782,0.001829
EW,2013-06,2013-07,accident_zone,강한 위험 구간,equal_weight,0.0101026666666666,0.0,1.01171566480343,1.033860960643174,-0.021419994257223,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.026278,0.001958,0.002072
EW,2013-06,2013-07,EW,동일가중,,0.0101026666666666,0.0,1.01171566480343,1.033860960643174,-0.021419994257223,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.026278,0.001958,0.002072
EW,2013-06,2013-07,EW,동일가중,equal_weight,0.0101026666666666,0.0,1.01171566480343,1.033860960643174,-0.021419994257223,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.026278,0.001958,0.002072
EW,2013-07,2013-08,neutral_watch,중립 관찰,equal_weight,0.0059529999999999,0.0,1.017738408156005,1.033860960643174,-0.0155945074830361,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.012109,0.003535,0.002215
EW,2013-07,2013-08,EW,동일가중,,0.0059529999999999,0.0,1.017738408156005,1.033860960643174,-0.0155945074830361,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.012109,0.003535,0.002215
EW,2013-07,2013-08,EW,동일가중,equal_weight,0.0059529999999999,0.0,1.017738408156005,1.033860960643174,-0.0155945074830361,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.012109,0.003535,0.002215
EW,2013-08,2013-09,neutral_watch,중립 관찰,equal_weight,0.0156363333333333,0.0,1.0336521051520684,1.033860960643174,-0.0002020150668766,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.03988,0.005015,0.002014
EW,2013-08,2013-09,EW,동일가중,,0.0156363333333333,0.0,1.0336521051520684,1.033860960643174,-0.0002020150668766,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.03988,0.005015,0.002014
EW,2013-08,2013-09,EW,동일가중,equal_weight,0.0156363333333333,0.0,1.0336521051520684,1.033860960643174,-0.0002020150668766,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.03988,0.005015,0.002014
EW,2013-09,2013-10,risk_relief,위험 완화 우세,equal_weight,0.009637,0.0,1.0436134104894188,1.0436134104894188,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.02397,0.002686,0.002255
EW,2013-09,2013-10,EW,동일가중,,0.009637,0.0,1.0436134104894188,1.0436134104894188,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.02397,0.002686,0.002255
EW,2013-09,2013-10,EW,동일가중,equal_weight,0.009637,0.0,1.0436134104894188,1.0436134104894188,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.02397,0.002686,0.002255
EW,2013-10,2013-11,risk_relief,위험 완화 우세,equal_weight,0.0023226666666666,0.0,1.0460373765708488,1.0460373765708488,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.008989,-0.00388,0.001859
EW,2013-10,2013-11,EW,동일가중,,0.0023226666666666,0.0,1.0460373765708488,1.0460373765708488,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.008989,-0.00388,0.001859
EW,2013-10,2013-11,EW,동일가중,equal_weight,0.0023226666666666,0.0,1.0460373765708488,1.0460373765708488,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.008989,-0.00388,0.001859
EW,2013-11,2013-12,risk_relief,위험 완화 우세,equal_weight,-0.0007726666666666,0.0,1.0452291383578851,1.0460373765708488,-0.0007726666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.010393,0.005944,0.002131
EW,2013-11,2013-12,EW,동일가중,,-0.0007726666666666,0.0,1.0452291383578851,1.0460373765708488,-0.0007726666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.010393,0.005944,0.002131
EW,2013-11,2013-12,EW,동일가중,equal_weight,-0.0007726666666666,0.0,1.0452291383578851,1.0460373765708488,-0.0007726666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.010393,0.005944,0.002131
EW,2013-12,2014-01,risk_relief,위험 완화 우세,equal_weight,-0.0126546666666666,0.0,1.032002112021679,1.0460373765708488,-0.0134175554942221,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.042386,0.002324,0.002098
EW,2013-12,2014-01,EW,동일가중,,-0.0126546666666666,0.0,1.032002112021679,1.0460373765708488,-0.0134175554942221,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.042386,0.002324,0.002098
EW,2013-12,2014-01,EW,동일가중,equal_weight,-0.0126546666666666,0.0,1.032002112021679,1.0460373765708488,-0.0134175554942221,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.042386,0.002324,0.002098
EW,2014-01,2014-02,risk_warning,위험 악화 우세,equal_weight,0.007809,0.0,1.040061016514456,1.0460373765708488,-0.0057133331850766,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.017822,0.003711,0.001894
EW,2014-01,2014-02,EW,동일가중,,0.007809,0.0,1.040061016514456,1.0460373765708488,-0.0057133331850766,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.017822,0.003711,0.001894
