Ticker,FirstDate,LastDate,ObsCount,MeanReturn,StdReturn,LargeUpCount,LargeDownCount,MediumUpCount,MediumDownCount,LargeEventBalance,TotalLargeEvents
069500,2014-06-27,2026-06-19,2939,0.0007519830810918285,0.013123087213334123,181,181,458,373,0,362
114260,2014-06-27,2026-06-19,2939,7.579134799754844e-05,0.0012836232479971174,178,156,511,333,22,334
130680,2014-06-27,2026-06-19,2939,7.975698097765859e-05,0.023675228893531235,154,196,457,403,-42,350
132030,2014-06-27,2026-06-19,2939,0.0003407860749974914,0.010541535491010157,192,163,430,395,29,355
133690,2014-06-27,2026-06-19,2939,0.0009311890691512248,0.012463132862707834,183,163,496,344,20,346
136340,2014-06-27,2026-06-19,2939,9.107620012275556e-05,0.000897032981743094,206,152,507,322,54,358
148070,2014-06-27,2026-06-19,2939,7.389251901950438e-05,0.0033735160566568684,182,167,455,399,15,349
153130,2014-06-27,2026-06-19,2939,7.450280710418812e-05,0.00017293147086220115,251,42,657,62,209,293
192090,2014-06-27,2026-06-19,2939,0.0005531660297082979,0.01367971843253542,191,144,430,410,47,335
195930,2014-07-31,2026-06-19,2915,0.00036106181478876074,0.012421889618834666,172,173,450,381,-1,345
229200,2015-12-29,2026-06-19,2567,0.00038835521252388413,0.01866534588275139,153,160,388,343,-7,313
352560,2020-08-06,2026-06-19,1437,0.00025135286529455675,0.0125129489069747,83,80,227,193,3,163
360750,2020-11-09,2026-06-19,1375,0.0008639710475746562,0.009749367257335242,90,75,232,141,15,165
