Date,annualized_volatility_z,rolling_drawdown,momentum_z,macro_risk_score,macro_available,relief_persist,macro_source_col,macro_high_risk_flag,lambda_t,condition,condition_reason
2012-04-30,,0.0,,0.0,False,0,MacroRisk,False,0.3,base,base
2012-05-31,,-0.077546,,0.0,False,0,MacroRisk,False,0.3,base,base
2012-06-30,,-0.07415782645799995,,0.0,False,0,MacroRisk,False,0.3,base,base
2012-07-31,,-0.05531230901555262,,0.0,False,1,MacroRisk,False,0.3,base,base
2012-08-31,,-0.05531230901555262,,0.0,False,2,MacroRisk,False,0.3,base,base
2012-09-30,,-0.008784550859186502,,0.0,False,3,MacroRisk,False,0.3,base,base
2012-10-31,,-0.054370549365172494,,0.0,False,0,MacroRisk,False,0.3,base,base
2012-11-30,,-0.03722817868406447,,0.0,False,1,MacroRisk,False,0.3,base,base
2012-12-31,,0.0,,0.0,False,2,MacroRisk,False,0.3,base,base
2013-01-31,,-0.021421000000000023,,0.0,False,3,MacroRisk,False,0.3,base,base
2013-02-28,,0.0,,0.0,False,4,MacroRisk,False,0.3,base,base
2013-03-31,,-0.018477999999999994,,0.0,False,0,MacroRisk,False,0.3,base,base
2013-04-30,,-0.046934285824000055,,0.0,False,0,MacroRisk,False,0.3,base,base
2013-05-31,,-0.026636845309193746,,0.0,False,1,MacroRisk,False,0.3,base,base
2013-06-30,,-0.09982012745777669,,0.0,False,0,MacroRisk,False,0.3,base,base
2013-07-31,,-0.0761652007671122,,0.0,False,0,MacroRisk,False,0.3,base,base
2013-08-31,,-0.06497848518320115,,0.0,False,0,MacroRisk,False,0.3,base,base
2013-09-30,,-0.02768982717230728,,0.0,False,1,MacroRisk,False,0.3,base,base
2013-10-31,,-0.004383552329627394,,0.0,False,2,MacroRisk,False,0.3,base,base
2013-11-30,,0.0,,0.0,False,3,MacroRisk,False,0.3,base,base
2013-12-31,,-0.010392999999999986,,0.0,False,4,MacroRisk,False,0.3,base,base
2014-01-31,,-0.052338482302,,0.0,True,0,MacroRisk,False,0.3,base,base
2014-02-28,,-0.035449258733586175,,0.0,True,1,MacroRisk,False,0.3,base,base
2014-03-31,,-0.03526310044052172,,2.0,True,0,MacroRisk,True,0.1,high_risk,macro
2014-04-30,,-0.04421296465773494,,1.0,True,1,MacroRisk,False,0.3,base,base
2014-05-31,,-0.026044408902913818,,0.0,True,2,MacroRisk,False,0.3,base,base
2014-06-30,,-0.026044408902913818,,0.0,True,0,MacroRisk,False,0.3,base,base
2014-07-31,,0.0,,1.0,True,1,MacroRisk,False,0.3,base,base
2014-08-31,-1.6958464181582342,-0.018895999999999913,,0.0,True,0,MacroRisk,False,0.3,base,base
