return_window,vol_window,standardize,direction_threshold,score
10,20,rank,0.2,0.32123042526524576
10,20,rank,0.3,0.32123042526524576
10,20,rank,0.4,0.32123042526524576
10,20,zscore,0.2,0.22378793417844758
10,20,zscore,0.3,0.22378793417844758
10,20,zscore,0.4,0.22378793417844758
10,60,rank,0.2,0.32206143589893227
10,60,rank,0.3,0.32206143589893227
10,60,rank,0.4,0.32206143589893227
10,60,zscore,0.2,0.22576490911253178
10,60,zscore,0.3,0.22576490911253178
10,60,zscore,0.4,0.22576490911253178
20,20,rank,0.2,0.3395145852538809
20,20,rank,0.3,0.3395145852538809
20,20,rank,0.4,0.3395145852538809
20,20,zscore,0.2,0.23648063651710952
20,20,zscore,0.3,0.23648063651710952
20,20,zscore,0.4,0.23648063651710952
20,60,rank,0.2,0.3382255376359353
20,60,rank,0.3,0.3382255376359353
20,60,rank,0.4,0.3382255376359353
20,60,zscore,0.2,0.23732035542090651
20,60,zscore,0.3,0.23732035542090651
20,60,zscore,0.4,0.23732035542090651
