Date,069500_direction,069500_intensity,069500_signal,114260_direction,114260_intensity,114260_signal,153130_direction,153130_intensity,153130_signal
2012-03-07,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-08,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-09,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-12,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-13,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-14,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-15,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-16,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-19,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-20,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-21,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-22,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-23,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-26,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-27,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-28,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-29,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-03-30,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-04-02,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-04-03,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-04-04,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-04-05,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-04-06,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-04-09,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-04-10,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-04-12,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-04-13,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-04-16,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-04-17,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-04-18,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
2012-04-19,0.0,0.0,watch,0.0,0.0,watch,0.0,0.0,watch
