period,metric,display_name,unit,better_direction,actual,null_mean,null_std,null_p05,null_p50,null_p95,actual_minus_null_p50,actual_raw_percentile,actual_advantage_percentile,one_sided_p_value,n_simulations,block_size,cost_bps
FULL,gross_cum_return_pct,Gross 누적수익률,%,higher,275.72335598064683,212.0022935727201,46.86878528371127,127.82514253547109,215.8139631651954,282.9596105630882,59.90939281545144,92.0,92.0,0.08091908091908091,1000,4,10.0
FULL,gross_cagr_pct,Gross CAGR,%,higher,9.734105432409557,8.22828965092441,1.187974313950092,5.94850890561683,8.404624824139294,9.88110433578713,1.3294806082702628,92.0,92.0,0.08091908091908091,1000,4,10.0
FULL,gross_ann_vol_pct,Gross 연환산 변동성,%,lower,12.488779113410489,11.456746995677863,1.3555416112257122,8.986588151185934,11.64361191450458,13.359239274364453,0.8451671989059086,73.9,26.1,0.7392607392607392,1000,4,10.0
FULL,gross_mdd_pct,Gross MDD,%,higher,-12.629641769729371,-18.124888502522612,2.943814388723978,-22.571401324061735,-18.390208094794435,-12.660142281774267,5.760566325065064,95.3,95.3,0.04795204795204795,1000,4,10.0
FULL,gross_sharpe,Gross Sharpe,ratio,higher,0.8052967886311722,0.7462906109712469,0.0501930130016972,0.6570092462371349,0.7490945934235509,0.8241390275483538,0.056202195207621264,89.8,89.8,0.1028971028971029,1000,4,10.0
FULL,gross_calmar,Gross Calmar,ratio,higher,0.770734879887107,0.47050316962893785,0.12361191390066685,0.29773767222401076,0.45313533405162454,0.7320378117927657,0.31759954583548244,97.2,97.2,0.028971028971028972,1000,4,10.0
FULL,gross_tail_strategy_avg_pct,Gross tail-month 평균수익,%,higher,-3.477056788021298,-3.899667021772455,0.2733648381378093,-4.323850927445175,-3.9117907138777026,-3.4396809700746473,0.43473392585640447,93.2,93.2,0.06893106893106893,1000,4,10.0
FULL,gross_win_rate_pct,Gross 월 승률,%,higher,60.23391812865497,59.88187134502923,0.6680249067595143,59.06432748538012,59.64912280701754,60.81871345029239,0.5847953216374293,83.8,83.8,0.4195804195804196,1000,4,10.0
FULL,net10_cum_return_pct,Net10bp 누적수익률,%,higher,272.56084579257845,209.08984261643647,46.43139914372791,125.59630702110643,212.66532724659373,279.47753332792826,59.895518545984714,92.2,92.2,0.07892107892107893,1000,4,10.0
FULL,net10_cagr_pct,Net10bp CAGR,%,higher,9.669033170700336,8.157088849020946,1.187133625977748,5.87543940259648,8.328426688659306,9.810694008851804,1.3406064820410304,92.2,92.2,0.07892107892107893,1000,4,10.0
