checkpoint,progress_pct,period,metric,display_name,unit,actual,null_p50,actual_advantage_percentile,one_sided_p_value
100,10.0,OOS,net10_cagr_pct,Net10bp CAGR,%,18.579396054125596,15.688097068466057,95.0,0.0594059405940594
100,10.0,OOS,net10_ann_vol_pct,Net10bp 연환산 변동성,%,18.124972587340494,16.62298687170089,21.0,0.7920792079207921
100,10.0,OOS,net10_mdd_pct,Net10bp MDD,%,-12.630488487971592,-18.62826484215666,98.0,0.0297029702970297
100,10.0,OOS,net10_sharpe,Net10bp Sharpe,ratio,1.0306396949095427,0.9357793468339477,94.0,0.06930693069306931
100,10.0,OOS,net10_calmar,Net10bp Calmar,ratio,1.470995842466373,0.8149406019972893,98.0,0.0297029702970297
100,10.0,OOS,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익,%,-4.710169716139915,-5.34067165181812,80.0,0.2079207920792079
100,10.0,OOS,net10_win_rate_pct,Net10bp 월 승률,%,56.060606060606055,56.060606060606055,60.0,1.0
100,10.0,OOS,avg_annual_turnover_pct,평균 연환산 Turnover,%,58.023791830560576,55.99896917830338,35.0,0.6534653465346535
200,20.0,OOS,net10_cagr_pct,Net10bp CAGR,%,18.579396054125596,15.586634285488598,95.0,0.05472636815920398
200,20.0,OOS,net10_ann_vol_pct,Net10bp 연환산 변동성,%,18.124972587340494,16.655562640949206,24.0,0.7611940298507462
200,20.0,OOS,net10_mdd_pct,Net10bp MDD,%,-12.630488487971592,-18.891578419328084,97.5,0.029850746268656716
200,20.0,OOS,net10_sharpe,Net10bp Sharpe,ratio,1.0306396949095427,0.9335059518122293,94.0,0.06467661691542288
200,20.0,OOS,net10_calmar,Net10bp Calmar,ratio,1.470995842466373,0.8144653148321392,99.0,0.014925373134328358
200,20.0,OOS,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익,%,-4.710169716139915,-5.35256616589813,78.0,0.22388059701492538
200,20.0,OOS,net10_win_rate_pct,Net10bp 월 승률,%,56.060606060606055,56.060606060606055,58.5,1.0
200,20.0,OOS,avg_annual_turnover_pct,평균 연환산 Turnover,%,58.023791830560576,55.9437066254881,33.0,0.6716417910447762
300,30.0,OOS,net10_cagr_pct,Net10bp CAGR,%,18.579396054125596,15.509861548738147,94.0,0.06312292358803986
300,30.0,OOS,net10_ann_vol_pct,Net10bp 연환산 변동성,%,18.124972587340494,16.54486634389616,22.666666666666664,0.7740863787375415
300,30.0,OOS,net10_mdd_pct,Net10bp MDD,%,-12.630488487971592,-18.919183755404624,94.33333333333334,0.059800664451827246
300,30.0,OOS,net10_sharpe,Net10bp Sharpe,ratio,1.0306396949095427,0.938797550562077,92.0,0.08305647840531562
300,30.0,OOS,net10_calmar,Net10bp Calmar,ratio,1.470995842466373,0.8192739714907463,96.66666666666667,0.036544850498338874
300,30.0,OOS,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익,%,-4.710169716139915,-5.283590737641107,76.0,0.2425249169435216
300,30.0,OOS,net10_win_rate_pct,Net10bp 월 승률,%,56.060606060606055,56.060606060606055,56.666666666666664,1.0
300,30.0,OOS,avg_annual_turnover_pct,평균 연환산 Turnover,%,58.023791830560576,55.80635014391362,33.666666666666664,0.6644518272425249
400,40.0,OOS,net10_cagr_pct,Net10bp CAGR,%,18.579396054125596,15.438726425144134,94.0,0.06234413965087282
