year_month,ticker,valid_score_count_reconstructed,contribution_denominator,classification_valid,ticker_name,ticker_role,score_date,direction_date,raw3_signal_date,score_return,score_return_is_valid,score_return_risk_contribution,score_return_relief_contribution,score_return_direction_contribution,score_return_intensity_contribution,score_ma_pos,score_ma_pos_is_valid,score_ma_pos_risk_contribution,score_ma_pos_relief_contribution,score_ma_pos_direction_contribution,score_ma_pos_intensity_contribution,score_momentum,score_momentum_is_valid,score_momentum_risk_contribution,score_momentum_relief_contribution,score_momentum_direction_contribution,score_momentum_intensity_contribution,score_vol,score_vol_is_valid,score_vol_risk_contribution,score_vol_relief_contribution,score_vol_direction_contribution,score_vol_intensity_contribution,score_rs,score_rs_is_valid,score_rs_risk_contribution,score_rs_relief_contribution,score_rs_direction_contribution,score_rs_intensity_contribution,risk_component_reconstructed,relief_component_reconstructed,state_direction_reconstructed,state_intensity_reconstructed,hsi_state_reconstructed,state_reason_reconstructed,risk_component,relief_component,state_direction,state_intensity,valid_score_count,hsi_state,state_reason,_merge,risk_component_error,risk_component_match,relief_component_error,relief_component_match,state_direction_error,state_direction_match,state_intensity_error,state_intensity_match,valid_score_count_error,valid_score_count_match,hsi_state_match,row_complete_match
Mar-12,69500,0,,FALSE,KODEX 200,위험자산,2012-03-31,2012-03-31,2012-03-31,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,,,insufficient_data,valid_score_count_below_minimum,,,,,0,insufficient_data,valid_score_count_below_minimum,both,,TRUE,,TRUE,,TRUE,,TRUE,0,TRUE,TRUE,TRUE
Apr-12,69500,0,,FALSE,KODEX 200,위험자산,2012-04-30,2012-04-30,2012-04-30,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,,,insufficient_data,valid_score_count_below_minimum,,,,,0,insufficient_data,valid_score_count_below_minimum,both,,TRUE,,TRUE,,TRUE,,TRUE,0,TRUE,TRUE,TRUE
May-12,69500,0,,FALSE,KODEX 200,위험자산,2012-05-31,2012-05-31,2012-05-31,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,,,insufficient_data,valid_score_count_below_minimum,,,,,0,insufficient_data,valid_score_count_below_minimum,both,,TRUE,,TRUE,,TRUE,,TRUE,0,TRUE,TRUE,TRUE
Jun-12,69500,1,10,FALSE,KODEX 200,위험자산,2012-06-30,2012-06-30,2012-06-30,,FALSE,,,,,-0.682844856,TRUE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,,,insufficient_data,valid_score_count_below_minimum,,,,,1,insufficient_data,valid_score_count_below_minimum,both,,TRUE,,TRUE,,TRUE,,TRUE,0,TRUE,TRUE,TRUE
Jul-12,69500,4,40,TRUE,KODEX 200,위험자산,2012-07-31,2012-07-31,2012-07-31,-4.260848779,TRUE,0,0.106521219,-0.106521219,0.106521219,-9.856071594,TRUE,0,0.24640179,-0.24640179,0.24640179,-3.607291035,TRUE,0,0.090182276,-0.090182276,0.090182276,2.922065872,TRUE,0.073051647,0,0.073051647,0.073051647,,FALSE,,,,,0.073051647,0.443105285,-0.370053638,0.516156932,risk_relief,relief_component_dominant,0.073051647,0.443105285,-0.370053638,0.516156932,4,risk_relief,relief_component_dominant,both,4.16E-17,TRUE,5.55E-17,TRUE,-1.11E-16,TRUE,0,TRUE,0,TRUE,TRUE,TRUE
Aug-12,69500,4,40,TRUE,KODEX 200,위험자산,2012-08-31,2012-08-31,2012-08-31,-1.111889927,TRUE,0,0.027797248,-0.027797248,0.027797248,-0.342331705,TRUE,0,0.008558293,-0.008558293,0.008558293,-3.464110119,TRUE,0,0.086602753,-0.086602753,0.086602753,-2.02301189,TRUE,0,0.050575297,-0.050575297,0.050575297,,FALSE,,,,,0,0.173533591,-0.173533591,0.173533591,risk_relief,relief_component_dominant,0,0.173533591,-0.173533591,0.173533591,4,risk_relief,relief_component_dominant,both,0,TRUE,0,TRUE,0,TRUE,0,TRUE,0,TRUE,TRUE,TRUE
Sep-12,69500,4,40,TRUE,KODEX 200,위험자산,2012-09-30,2012-09-30,2012-09-30,-4.704941102,TRUE,0,0.117623528,-0.117623528,0.117623528,-5.037062655,TRUE,0,0.125926566,-0.125926566,0.125926566,-4.770573946,TRUE,0,0.119264349,-0.119264349,0.119264349,1.341521909,TRUE,0.033538048,0,0.033538048,0.033538048,,FALSE,,,,,0.033538048,0.362814443,-0.329276395,0.39635249,risk_relief,relief_component_dominant,0.033538048,0.362814443,-0.329276395,0.39635249,4,risk_relief,relief_component_dominant,both,2.08E-17,TRUE,5.55E-17,TRUE,0,TRUE,0,TRUE,0,TRUE,TRUE,TRUE
Oct-12,69500,4,40,TRUE,KODEX 200,위험자산,2012-10-31,2012-10-31,2012-10-31,3.444205808,TRUE,0.086105145,0,0.086105145,0.086105145,0.989359063,TRUE,0.024733977,0,0.024733977,0.024733977,1.489170603,TRUE,0.037229265,0,0.037229265,0.037229265,-4.201293253,TRUE,0,0.105032331,-0.105032331,0.105032331,,FALSE,,,,,0.148068387,0.105032331,0.043036056,0.253100718,neutral_watch,weak_or_balanced_signal,0.148068387,0.105032331,0.043036056,0.253100718,4,neutral_watch,weak_or_balanced_signal,both,5.55E-17,TRUE,6.94E-17,TRUE,7.63E-17,TRUE,0,TRUE,0,TRUE,TRUE,TRUE
Nov-12,69500,4,40,TRUE,KODEX 200,위험자산,2012-11-30,2012-11-30,2012-11-30,-2.246816289,TRUE,0,0.056170407,-0.056170407,0.056170407,-2.661433748,TRUE,0,0.066535844,-0.066535844,0.066535844,-4.705859136,TRUE,0,0.117646478,-0.117646478,0.117646478,-3.799299735,TRUE,0,0.094982493,-0.094982493,0.094982493,,FALSE,,,,,0,0.335335223,-0.335335223,0.335335223,risk_relief,relief_component_dominant,0,0.335335223,-0.335335223,0.335335223,4,risk_relief,relief_component_dominant,both,0,TRUE,-5.55E-17,TRUE,5.55E-17,TRUE,-5.55E-17,TRUE,0,TRUE,TRUE,TRUE
Dec-12,69500,4,40,TRUE,KODEX 200,위험자산,2012-12-31,2012-12-31,2012-12-31,-4.99643351,TRUE,0,0.124910838,-0.124910838,0.124910838,-5.408667882,TRUE,0,0.135216697,-0.135216697,0.135216697,-6.443225211,TRUE,0,0.16108063,-0.16108063,0.16108063,-7.145594831,TRUE,0,0.178639871,-0.178639871,0.178639871,,FALSE,,,,,0,0.599848036,-0.599848036,0.599848036,risk_relief,relief_component_dominant,0,0.599848036,-0.599848036,0.599848036,4,risk_relief,relief_component_dominant,both,0,TRUE,0,TRUE,0,TRUE,0,TRUE,0,TRUE,TRUE,TRUE
