margin_name,strategy,baseline_value,stricter_direction,first_failing_value,still_passes_at_grid_extreme
calmar_ratio_min,asym_up0.1_down0.3,0.9,increasing,,True
calmar_ratio_min,asym_up0.1_down0.5,0.9,increasing,,True
calmar_ratio_min,asym_up0.2_down0.3,0.9,increasing,,True
calmar_ratio_min,dynamic_v1,0.9,increasing,,True
calmar_ratio_min,dynamic_v1_macro,0.9,increasing,,True
mdd_worsen_max_pp,asym_up0.1_down0.3,2.0,decreasing,,True
mdd_worsen_max_pp,asym_up0.1_down0.5,2.0,decreasing,,True
mdd_worsen_max_pp,asym_up0.2_down0.3,2.0,decreasing,,True
mdd_worsen_max_pp,dynamic_v1,2.0,decreasing,,True
mdd_worsen_max_pp,dynamic_v1_macro,2.0,decreasing,,True
tail_worsen_max_pp,asym_up0.1_down0.3,0.3,decreasing,,True
tail_worsen_max_pp,asym_up0.1_down0.5,0.3,decreasing,,True
tail_worsen_max_pp,asym_up0.2_down0.3,0.3,decreasing,,True
tail_worsen_max_pp,dynamic_v1,0.3,decreasing,,True
tail_worsen_max_pp,dynamic_v1_macro,0.3,decreasing,0.1,False
turnover_cap_mult,asym_up0.1_down0.3,1.5,decreasing,,True
turnover_cap_mult,asym_up0.1_down0.5,1.5,decreasing,,True
turnover_cap_mult,asym_up0.2_down0.3,1.5,decreasing,,True
turnover_cap_mult,dynamic_v1,1.5,decreasing,,True
turnover_cap_mult,dynamic_v1_macro,1.5,decreasing,,True
