lambda_up,lambda_down,region,cagr_pct,mdd_pct,calmar,calmar_net10bp,avg_turnover_pct,neighbor_min_calmar,tail_strategy_avg_pct,pass_B1_mdd,pass_B2_turnover,pass_C_neighbor,pareto_non_dominated,final_class
0.2,0.5,defensive(down>up),7.373905650920443,-10.746844555999502,0.6861461159595825,0.6771295131956329,7.569151885709354,0.590653256844784,-2.8215545770342705,True,True,True,False,보류(지배됨)
0.2,0.3,defensive(down>up),8.45234104823942,-12.620365053385296,0.6697382375616906,0.6636808738756944,5.915921402611861,0.5973173331757637,-3.351718903715432,True,True,True,False,보류(지배됨)
0.2,0.2,diagonal,9.098414399101816,-14.44003293762458,0.6300826624429104,0.6258217270159364,4.733467083729841,0.556990965328603,-3.748111614169528,True,True,True,False,보류(지배됨)
0.3,0.3,diagonal,9.090997384867894,-15.219711332556995,0.5973173331757637,0.591439132395042,6.885562922592911,0.5150567161065862,-3.832764575282469,True,True,True,False,보류(지배됨)
0.3,0.5,defensive(down>up),8.015725090792714,-13.570948772232272,0.590653256844784,0.5820599077777598,9.061418188064824,0.4908985193673291,-3.335331778476512,True,True,True,False,보류(지배됨)
0.3,0.2,aggressive(up>down),9.68024207282292,-16.777994537218422,0.5769606165593484,0.5727607922550026,5.393096404510531,0.5124590373982537,-4.187404458438453,False,True,True,False,제외(필터 미통과)
0.2,0.1,aggressive(up>down),9.847896995830595,-17.680532735429054,0.556990965328603,0.5547059057566657,3.085906311694893,0.5306095509431377,-4.358389328390532,False,True,True,False,제외(필터 미통과)
0.3,0.1,aggressive(up>down),10.28901394779198,-19.39093242762717,0.5306095509431377,0.5282947524766375,3.4144710362573494,0.4955684931213416,-4.694903427708851,False,True,True,False,제외(필터 미통과)
0.5,0.3,aggressive(up>down),9.583347037277967,-18.606391757630792,0.5150567161065862,0.5094062861284427,8.062571222048858,0.4908985193673291,-4.386751932866493,False,True,True,False,제외(필터 미통과)
0.5,0.2,aggressive(up>down),10.081061928004686,-19.67193705703011,0.5124590373982537,0.5083659216948075,6.143911232044825,0.4955684931213416,-4.666485909327088,False,True,True,False,제외(필터 미통과)
0.5,0.1,aggressive(up>down),10.589337188845716,-21.368059785537817,0.4955684931213416,0.4932927641536918,3.6906559844860527,0.5124590373982537,-5.040904919862279,False,True,True,False,제외(필터 미통과)
0.5,0.5,diagonal,8.600187457913112,-17.51927764825416,0.4908985193673291,0.4827288323005877,11.075619755964643,0.5150567161065862,-3.977783160374773,False,False,True,False,제외(필터 미통과)
0.1,0.5,defensive(down>up),5.7975724566782905,-7.150243006851198,0.8108217372644804,0.8015543967033316,5.246443126124718,0.6861461159595825,-2.04851614888433,True,True,True,True,후보(Pareto)
0.1,0.3,defensive(down>up),6.844880001046882,-8.975747640980359,0.7625971980089298,0.7564574114130128,4.32367301712113,0.6697382375616906,-2.5437938714013413,True,True,True,True,후보(Pareto)
0.1,0.2,defensive(down>up),7.58292316672009,-10.954970565937494,0.6921901908433987,0.6879809008396974,3.59474256914419,0.5859124373280232,-2.9596521186513285,True,True,True,True,후보(Pareto)
0.1,0.1,diagonal,8.638798542453795,-14.744180174515332,0.5859124373280232,0.5837561424374095,2.455393807086774,0.556990965328603,-3.684708021142782,True,True,True,True,후보(Pareto)
