strategy,dependent,n,r2,beta_alpha,t_alpha,beta_Market,t_Market,beta_Bond,t_Bond,beta_Momentum,t_Momentum,beta_Volatility,t_Volatility,beta_MacroRisk,t_MacroRisk
FixedBM,raw,150,0.99999766762833,0.00010482109648947756,5.563890534348784,0.6998821166986221,6251.675140833602,0.2088928994344019,163.88489919314526,-2.439383546431681e-05,-0.3660011537684068,0.0002270201647225495,2.355890320709059,9.604944972707585e-07,0.09405011652374948
FixedBM,excess_vs_BM,150,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
EW,raw,150,0.9998886947155553,0.0003494036549660058,5.5638905343660205,0.3329403889954062,892.1938867706573,0.36297633144801483,85.43086861724984,-8.131278488096583e-05,-0.36600115376800274,0.0007567338824083988,2.355890320708762,3.201648324346884e-06,0.09405011652701131
EW,excess_vs_BM,150,0.9999529162409128,0.0002445825584765195,5.563890534373207,-0.36694172770321576,-1404.7266506849069,0.15408343201361271,51.807712656151466,-5.691894941661779e-05,-0.36600115376762865,0.000529713717686002,2.3558903207093125,2.2411538270761255e-06,0.09405011652840921
HSI_baseline,raw,150,0.7482545306942809,0.0036036186015989823,0.7057929929560938,0.472031014961258,15.557889573749472,0.5903268144242028,1.7088990752840558,0.04287212711342048,2.373482531515265,-0.05126719123177999,-1.9630836304665733,0.0028945297299224904,1.045805966467077
HSI_baseline,excess_vs_BM,150,0.35836409979474315,0.0034987975051095173,0.6850909326502926,-0.22785110173736403,-7.507963826442295,0.3814339149898003,1.1039110958958438,0.04289652094888483,2.37423644896015,-0.051494211396502475,-1.9712811894193656,0.002893569235425164,1.0451963104064883
lambda_0.1,raw,150,0.9842536515811003,-0.00024496852714821004,-0.23244265399701028,0.4699171230741082,75.03578529468695,0.1940368372079422,2.7212917389229694,0.0017607498164739811,0.4722540291762523,0.0026492463061542626,0.49146050970462996,0.0006016353820135767,1.0531093818486625
lambda_0.1,excess_vs_BM,150,0.9352114778216036,-0.0003497896236376896,-0.3316575266262545,-0.22996499362451384,-36.69325958803042,-0.014856062226459788,-0.20819583017544935,0.001785143651938251,0.4784412220297913,0.0024222261414317825,0.44901244382242816,0.0006006748875162504,1.0506473983003972
lambda_0.3,raw,150,0.949678469686333,0.0014678320347667835,0.7304808224575543,0.4887379473768776,40.93079167564376,0.213559219119768,1.5708552323771265,0.011113396827825476,1.5633339694594541,-0.010385824766682511,-1.0104950782125848,0.0008733772495721492,0.8018052769037475
lambda_0.3,excess_vs_BM,150,0.7646441352155998,0.0013630109382773141,0.6778862796232308,-0.21114416932174415,-17.67169564013755,0.004666319685365679,0.034301836551118486,0.011137790663289746,1.5657738637842744,-0.010612844931405019,-1.031929614817342,0.000872416755074934,0.8004165849708372
