summary_type,segment,months,macro_data_available_months,macro_risk_months,adjusted_months,avg_delta_pctp,max_delta_pctp,total_delta_pctp,avg_strength,max_strength
overall,all,172,150,74,56,0.18750000000000003,2.5,32.25,0.24709302325581395,1.0
by_macro_hsi_overlap_type,both_hsi_and_macro_risk,26,26,26,8,0.4423076923076923,2.5,11.5,1.0,1.0
by_macro_hsi_overlap_type,both_relief_or_neutral,55,55,0,0,0.0,0.0,0.0,0.0,0.0
by_macro_hsi_overlap_type,hsi_risk_only,21,21,0,0,0.0,0.0,0.0,0.0,0.0
by_macro_hsi_overlap_type,macro_data_unavailable,22,0,0,0,0.0,0.0,0.0,0.0,0.0
by_macro_hsi_overlap_type,macro_risk_only,48,48,48,48,0.4322916666666667,1.25,20.75,0.34375,0.5
by_hsi_state,accident_zone,34,33,18,0,0.0,0.0,0.0,0.5294117647058824,1.0
by_hsi_state,conflict,4,4,3,3,0.5625000000000001,1.25,2.2500000000000004,0.375,0.5
by_hsi_state,insufficient_data,4,0,0,0,0.0,0.0,0.0,0.0,0.0
by_hsi_state,neutral_watch,35,30,15,15,0.2642857142857143,1.25,9.25,0.21428571428571427,0.5
by_hsi_state,risk_relief,81,69,30,30,0.11419753086419752,0.625,9.25,0.09259259259259259,0.25
by_hsi_state,risk_warning,14,14,8,8,0.8214285714285714,2.5,11.5,0.5714285714285714,1.0
