column_name,source,role
year_month,derived_or_metadata,식별자 또는 날짜 정보
score_date,hsi_scaled_scores,표준화·부호통일·스케일링된 HSI 점수
ticker,derived_or_metadata,식별자 또는 날짜 정보
ticker_name,derived_or_metadata,식별자 또는 날짜 정보
ticker_role,derived_or_metadata,식별자 또는 날짜 정보
score_return,hsi_scaled_scores,표준화·부호통일·스케일링된 HSI 점수
score_ma_pos,hsi_scaled_scores,표준화·부호통일·스케일링된 HSI 점수
score_momentum,hsi_scaled_scores,표준화·부호통일·스케일링된 HSI 점수
score_vol,hsi_scaled_scores,표준화·부호통일·스케일링된 HSI 점수
score_rs,hsi_scaled_scores,표준화·부호통일·스케일링된 HSI 점수
direction_date,derived_or_metadata,식별자 또는 날짜 정보
hsi_direction,hsi_direction,HSI 위험 악화/완화 방향 점수
raw3_signal_date,derived_or_metadata,식별자 또는 날짜 정보
raw3_signal,hsi_signal,데이터 파트 3단계 raw signal
raw_signal_date,derived_or_metadata,식별자 또는 날짜 정보
ret_1m,signal_inputs,부호 반전 전 원신호
ret_3m,signal_inputs,부호 반전 전 원신호
ma_gap,signal_inputs,부호 반전 전 원신호
momentum,signal_inputs,부호 반전 전 원신호
volatility,signal_inputs,부호 반전 전 원신호
relative_strength,signal_inputs,부호 반전 전 원신호
ret_6m,signal_inputs,부호 반전 전 원신호
ret_12m,signal_inputs,부호 반전 전 원신호
drawdown,signal_inputs,부호 반전 전 원신호
shock_count,signal_inputs,부호 반전 전 원신호
defensive_rs,signal_inputs,부호 반전 전 원신호
event_balance_raw,event_balance_monthly,20/80 분위수 기반 사건균형·위험누적지표
event_intensity_raw,event_balance_monthly,20/80 분위수 기반 사건균형·위험누적지표
event_balance_13612w,event_balance_monthly,20/80 분위수 기반 사건균형·위험누적지표
event_intensity_13612w,event_balance_monthly,20/80 분위수 기반 사건균형·위험누적지표
event_balance_13612w_label,event_balance_monthly,20/80 분위수 기반 사건균형·위험누적지표
event_intensity_13612w_label,event_balance_monthly,20/80 분위수 기반 사건균형·위험누적지표
