구간,항목,Final_RA_dynamic_v1,FixedBM_70_20_10,RA−BM / 개선폭,해석
OOS,누적수익률,156.11%,181.37%,-25.26%p,수익률 알파
OOS,CAGR,18.65%,20.69%,-2.05%p,수익률 알파
OOS,연환산 변동성,18.12%,23.11%,변동성 4.99%p 감소,방어 지표
OOS,MDD,-12.63%,-25.67%,낙폭 13.04%p 개선,방어 지표
OOS,Sharpe,1.03,0.93,+0.11,위험조정 성과
OOS,Calmar,1.48,0.81,+0.67,위험조정 성과
FULL,누적수익률,275.72%,341.62%,-65.90%p,수익률 알파
FULL,CAGR,9.73%,10.99%,-1.25%p,수익률 알파
FULL,연환산 변동성,12.49%,16.58%,변동성 4.09%p 감소,방어 지표
FULL,MDD,-12.63%,-25.67%,낙폭 13.04%p 개선,방어 지표
FULL,Sharpe,0.81,0.71,+0.10,위험조정 성과
FULL,Calmar,0.77,0.43,+0.34,위험조정 성과
