period,strategy_name,months,start_month,end_month,final_cumulative_return,CAGR_pct,annual_volatility_pct,MDD_pct,abs_MDD_pct,Sharpe,Calmar,WinRate_pct,avg_monthly_return_pct,median_monthly_return_pct,best_month_pct,worst_month_pct,avg_turnover_pct,max_turnover_pct
2012-2015,Fixed 70/20/10 BM,45,2012-04,2015-12,1.000797158863768,0.0217222309748743,7.755913586976068,-9.072874760062488,9.072874760062488,0.040876164547832,0.0023941949546677,55.55555555555556,0.0264193333333333,0.14942,4.244249999999999,-5.30037,0.0,0.0
2012-2015,EW Benchmark,45,2012-04,2015-12,1.066824157285189,1.7788163181158057,3.734775983153032,-4.037550522972444,4.037550522972444,0.4804833772821895,0.4405681880622614,60.0,0.1495414814814815,0.2322666666666666,2.0307666666666666,-2.5379666666666667,0.0,0.0
2012-2015,HSI baseline,45,2012-04,2015-12,1.0103811133053722,0.2819007553390928,6.21665717076588,-6.8349635296085065,6.8349635296085065,0.0748998463123072,0.0412439297031976,64.44444444444444,0.0388022222222222,0.18406,3.49779,-5.30037,20.88888888888889,70.0
2012-2015,Lambda 0.1,45,2012-04,2015-12,1.0230533051742012,0.6231746815544614,5.897893674392024,-6.324998130337733,6.324998130337733,0.1320563662255831,0.0985256704765517,57.77777777777777,0.0649045339187552,0.1991575,2.7262974000000004,-4.516784232722989,1.8871248016901705,5.934719427820001
2012-2015,Lambda 0.3,45,2012-04,2015-12,1.0086198752205966,0.2342229380446925,5.940559810758284,-6.354962512487372,6.354962512487372,0.0677376793835028,0.036856698616939,60.0,0.0335333113183056,0.1820425,3.0310846,-4.709739371280217,5.785431526427673,18.591122655420005
2016-2019,Fixed 70/20/10 BM,48,2016-01,2019-12,1.2522189105104704,5.913044107643728,9.351965535186547,-13.76650824415002,13.76650824415002,0.6487743113650144,0.4295238852710841,62.5,0.5056095833333334,0.53582,6.49635,-8.397549999999999,0.0,0.0
2016-2019,EW Benchmark,48,2016-01,2019-12,1.1560956783862342,3.774307578190173,4.37633478539917,-5.732065933910602,5.732065933910602,0.8513155070075031,0.6584550180872077,62.5,0.3104701388888889,0.3219166666666667,3.1884,-3.8648,0.0,0.0
2016-2019,HSI baseline,48,2016-01,2019-12,1.1221185840994967,2.986637286345406,6.640613089537734,-14.339727528960688,14.339727528960688,0.4670355670753126,0.2082771294164102,64.58333333333334,0.2584502083333332,0.20266,4.53585,-5.9051350000000005,23.854166666666664,70.0
2016-2019,Lambda 0.1,48,2016-01,2019-12,1.2311321002846214,5.454611759160977,5.713744134803815,-6.5415290391658605,6.5415290391658605,0.9397168734045468,0.8338435443002357,62.5,0.4474418144826175,0.4273873036921399,3.8677646918664377,-4.117658481862578,2.426565249231132,6.018832608679937
2016-2019,Lambda 0.3,48,2016-01,2019-12,1.2348529791302756,5.535927113972661,6.09269233905522,-6.985548875815839,6.985548875815839,0.8973436350315299,0.7924827686967006,64.58333333333334,0.4556032242213805,0.3768538658284272,4.375176732002799,-4.536125293776916,6.793016622863528,18.93388874932591
