return_month,tail_event_type,hsi_state,strategy_name,ret_069500,strategy_return,turnover,weight_069500,weight_114260,weight_153130,ret_069500_pct,strategy_return_pct,turnover_pct
2012-05,069500_bottom_10pct,insufficient_data,EW Benchmark,-0.077546,-0.022649666666666665,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-7.7546,-2.2649666666666666,0.0
2012-10,069500_bottom_10pct,risk_relief,EW Benchmark,-0.04599,-0.013575,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-4.599,-1.3575,0.0
2013-06,069500_bottom_10pct,risk_relief,EW Benchmark,-0.075186,-0.025379666666666665,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-7.5186,-2.5379666666666667,0.0
2015-08,069500_bottom_10pct,accident_zone,EW Benchmark,-0.04711,-0.014367,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-4.711,-1.4366999999999999,0.0
2018-02,069500_bottom_10pct,risk_warning,EW Benchmark,-0.059784,-0.018227999999999998,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-5.9784,-1.8227999999999998,0.0
2018-10,069500_bottom_10pct,neutral_watch,EW Benchmark,-0.121297,-0.038648,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-12.1297,-3.8648000000000002,0.0
2019-05,069500_bottom_10pct,risk_relief,EW Benchmark,-0.07475,-0.02282333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-7.475,-2.282333333333333,0.0
2020-02,069500_bottom_10pct,accident_zone,EW Benchmark,-0.058029,-0.016998,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-5.802899999999999,-1.6998,0.0
2020-03,069500_bottom_10pct,accident_zone,EW Benchmark,-0.114196,-0.037493,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-11.4196,-3.7493,0.0
2022-01,069500_bottom_10pct,neutral_watch,EW Benchmark,-0.089301,-0.03257466666666667,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-8.930100000000001,-3.2574666666666667,0.0
2022-06,069500_bottom_10pct,risk_relief,EW Benchmark,-0.128809,-0.047186,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-12.8809,-4.7185999999999995,0.0
2022-09,069500_bottom_10pct,risk_relief,EW Benchmark,-0.122712,-0.043957333333333334,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-12.2712,-4.395733333333333,0.0
2022-12,069500_bottom_10pct,risk_relief,EW Benchmark,-0.077319,-0.025298666666666664,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-7.7318999999999996,-2.5298666666666665,0.0
2023-10,069500_bottom_10pct,risk_warning,EW Benchmark,-0.064364,-0.021648,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-6.436400000000001,-2.1648,0.0
2024-01,069500_bottom_10pct,risk_relief,EW Benchmark,-0.062085,-0.019785999999999998,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-6.2085,-1.9785999999999997,0.0
2024-08,069500_bottom_10pct,neutral_watch,EW Benchmark,-0.047869,-0.013545666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-4.7869,-1.3545666666666667,0.0
2024-09,069500_bottom_10pct,accident_zone,EW Benchmark,-0.043526,-0.011727666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-4.3526,-1.1727666666666665,0.0
2026-03,069500_bottom_10pct,risk_relief,EW Benchmark,-0.198576,-0.06985,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-19.8576,-6.984999999999999,0.0
2012-05,069500_bottom_10pct,insufficient_data,HSI baseline,-0.077546,-0.036040050000000004,0.0,0.5,0.35,0.15,-7.7546,-3.6040050000000003,0.0
2012-10,069500_bottom_10pct,risk_relief,HSI baseline,-0.04599,-0.0313801,0.0,0.7,0.2,0.1,-4.599,-3.13801,0.0
2013-06,069500_bottom_10pct,risk_relief,HSI baseline,-0.075186,-0.0530037,0.19999999999999996,0.7,0.2,0.1,-7.5186,-5.30037,19.999999999999996
2015-08,069500_bottom_10pct,accident_zone,HSI baseline,-0.04711,0.0016174999999999998,0.55,0.0,0.3,0.7,-4.711,0.16174999999999998,55.00000000000001
2018-02,069500_bottom_10pct,risk_warning,HSI baseline,-0.059784,-0.0098065,0.35,0.2,0.45,0.35,-5.9784,-0.9806499999999999,35.0
2018-10,069500_bottom_10pct,neutral_watch,HSI baseline,-0.121297,-0.05905135,0.19999999999999996,0.5,0.35,0.15,-12.1297,-5.9051350000000005,19.999999999999996
2019-05,069500_bottom_10pct,risk_relief,HSI baseline,-0.07475,-0.0512429,0.0,0.7,0.2,0.1,-7.475,-5.12429,0.0
2020-02,069500_bottom_10pct,accident_zone,HSI baseline,-0.058029,0.0025821,0.7,0.0,0.3,0.7,-5.802899999999999,0.25821,70.0
2020-03,069500_bottom_10pct,accident_zone,HSI baseline,-0.114196,0.0012018999999999999,0.0,0.0,0.3,0.7,-11.4196,0.12018999999999999,0.0
