hsi_state,state_kr,signal_name,signal_family,signal_speed_type,observations,mean_signal_score,mean_signal_velocity,mean_centroid_velocity,mean_relative_velocity,mean_relative_speed_abs,risk_accelerating_ratio,relief_accelerating_ratio,moving_with_centroid_ratio
accident_zone,강한 위험 구간,rs,relative_strength,fast,68,-5.632243604427743,-3.8229938072556884,-0.9937915181364879,-2.8292022891192006,5.440419120251402,0.3088235294117647,0.6323529411764706,0.029411764705882353
accident_zone,강한 위험 구간,vol,risk_damage,fast,102,2.7587793740632582,1.2210317948431715,0.49856110866735104,0.7224706861758204,3.932514345552497,0.5294117647058824,0.3137254901960784,0.00980392156862745
accident_zone,강한 위험 구간,return,return_speed,fast,102,1.7288394365678832,0.8432856850338117,0.49856110866735104,0.3447245763664607,2.9949552079653268,0.47058823529411764,0.37254901960784315,0.058823529411764705
accident_zone,강한 위험 구간,ma_pos,trend_position,slow,102,2.0539048146131536,0.8311512634690338,0.49856110866735104,0.33259015480168275,1.8022646491571657,0.4019607843137255,0.37254901960784315,0.0784313725490196
accident_zone,강한 위험 구간,momentum,trend_momentum,slow,102,2.3388600744350136,0.9849105507361874,0.49856110866735104,0.48634944206883646,1.422865192057593,0.47058823529411764,0.27450980392156865,0.09803921568627451
conflict,신호 충돌,rs,relative_strength,fast,8,-1.4379175197245921,-0.6972290671823529,0.044702526502722995,-0.7419315936850759,3.9107049865382653,0.375,0.5,0.125
conflict,신호 충돌,vol,risk_damage,fast,12,-0.025718004165292723,-0.6746826862408651,0.17830118228102934,-0.8529838685218945,2.70576663813622,0.25,0.6666666666666666,0.0
conflict,신호 충돌,return,return_speed,fast,12,1.167745409073222,0.5657279181924608,0.17830118228102934,0.3874267359114316,1.8073784350760251,0.3333333333333333,0.4166666666666667,0.08333333333333333
conflict,신호 충돌,momentum,trend_momentum,slow,12,0.707364698727782,0.2210095667438308,0.17830118228102934,0.04270838446280156,1.507741238229526,0.3333333333333333,0.3333333333333333,0.08333333333333333
conflict,신호 충돌,ma_pos,trend_position,slow,12,1.839116855503655,1.0957709928854076,0.17830118228102934,0.9174698106043784,1.1363151397966273,0.75,0.08333333333333333,0.0
neutral_watch,중립 관찰,rs,relative_strength,fast,70,-0.47408295021129276,-0.29124415006670873,-0.3714458598851254,0.08020170981841664,4.126187051306824,0.42857142857142855,0.5285714285714286,0.014285714285714285
neutral_watch,중립 관찰,vol,risk_damage,fast,105,-0.23426256517110053,-0.6583407440967878,-0.1694156685377647,-0.488925075559023,3.4322988002968513,0.4380952380952381,0.47619047619047616,0.01904761904761905
neutral_watch,중립 관찰,return,return_speed,fast,105,0.41007262000879574,0.11885410757458442,-0.1694156685377647,0.2882697761123491,2.3207643715041284,0.45714285714285713,0.3619047619047619,0.0761904761904762
neutral_watch,중립 관찰,momentum,trend_momentum,slow,105,0.330965442172632,-0.08722840140430219,-0.1694156685377647,0.08218726713346253,1.8753591957934803,0.47619047619047616,0.4,0.01904761904761905
neutral_watch,중립 관찰,ma_pos,trend_position,slow,105,0.26962382624194936,-0.10441544277016457,-0.1694156685377647,0.06500022576760016,1.5200027245479373,0.4380952380952381,0.3619047619047619,0.11428571428571428
risk_relief,위험 완화 우세,rs,relative_strength,fast,160,3.3048702608187774,2.310314939587777,0.6070995489600881,1.7032153906276886,4.614438693487058,0.51875,0.375,0.05
risk_relief,위험 완화 우세,vol,risk_damage,fast,240,-0.9201471810546283,-0.5221461485549649,-0.2786282925036827,-0.24351785605128215,3.6604257540019325,0.45,0.475,0.029166666666666667
risk_relief,위험 완화 우세,return,return_speed,fast,240,-0.6454983803329403,-0.6211923627989383,-0.2786282925036827,-0.3425640702952556,2.9921248334654678,0.4125,0.4666666666666667,0.07083333333333333
risk_relief,위험 완화 우세,momentum,trend_momentum,slow,240,-0.9269584815680383,-0.5637540956010003,-0.2786282925036827,-0.2851258030973176,1.8172251582678074,0.35833333333333334,0.4666666666666667,0.075
risk_relief,위험 완화 우세,ma_pos,trend_position,slow,243,-0.9514580551069903,-0.5872108989810519,-0.2725645953612154,-0.31464630361983653,1.7981670571100081,0.37448559670781895,0.4567901234567901,0.08641975308641975
risk_warning,위험 악화 우세,rs,relative_strength,fast,28,-2.667808336947029,-3.5684626584868444,-0.22787232692243048,-3.340590331564414,5.423738998980807,0.17857142857142858,0.75,0.0
risk_warning,위험 악화 우세,vol,risk_damage,fast,42,0.23515745191182041,1.6509536821168225,0.8020038062311873,0.8489498758856354,2.652864051364722,0.5,0.3333333333333333,0.11904761904761904
risk_warning,위험 악화 우세,return,return_speed,fast,42,1.7342845096141144,1.4091251047808104,0.8020038062311873,0.607121298549623,2.4855284965754434,0.5714285714285714,0.38095238095238093,0.0
risk_warning,위험 악화 우세,momentum,trend_momentum,slow,42,1.0011938343299738,1.0779272654376977,0.8020038062311873,0.2759234592065105,1.9391289008074,0.5,0.40476190476190477,0.023809523809523808
risk_warning,위험 악화 우세,ma_pos,trend_position,slow,42,1.2353697863560342,1.2970693936323603,0.8020038062311873,0.49506558740117323,1.6760058937752411,0.5238095238095238,0.2857142857142857,0.023809523809523808
