file,column,min,max,max_abs,reason,n_rows,columns
data\processed\asset_class_map.csv,ticker,69500.0,153130.0,153130.0,abs(value) > 100,3,"ticker, name, asset_class, asset_class_kr, underlying_asset, risk_group, risk_group_kr, risk_level, role, listing_date, data_start, coverage_count, hsi_na_signals, note, discussion_note"
data\processed\daily_prices.csv,069500,17742.880859375,148355.0,148355.0,abs(value) > 100,3485,"Date, 069500, 114260, 153130"
data\processed\daily_prices.csv,114260,45611.0,63175.0,63175.0,abs(value) > 100,3485,"Date, 069500, 114260, 153130"
data\processed\daily_prices.csv,153130,85352.3828125,113250.0,113250.0,abs(value) > 100,3485,"Date, 069500, 114260, 153130"
data\processed\hsi_raw_scores.csv,069500_return,-10.0,10.0,10.0,return abs > 1,3486,"Date, 069500_return, 114260_return, 153130_return, 069500_ma_pos, 114260_ma_pos, 153130_ma_pos, 069500_momentum, 114260_momentum, 153130_momentum, 069500_vol, 114260_vol, 153130_vol, 069500_rs, 114260_rs, 153130_rs"
data\processed\hsi_raw_scores.csv,114260_return,-10.0,10.0,10.0,return abs > 1,3486,"Date, 069500_return, 114260_return, 153130_return, 069500_ma_pos, 114260_ma_pos, 153130_ma_pos, 069500_momentum, 114260_momentum, 153130_momentum, 069500_vol, 114260_vol, 153130_vol, 069500_rs, 114260_rs, 153130_rs"
data\processed\hsi_raw_scores.csv,153130_return,-10.0,10.0,10.0,return abs > 1,3486,"Date, 069500_return, 114260_return, 153130_return, 069500_ma_pos, 114260_ma_pos, 153130_ma_pos, 069500_momentum, 114260_momentum, 153130_momentum, 069500_vol, 114260_vol, 153130_vol, 069500_rs, 114260_rs, 153130_rs"
data\processed\hsi_signal_snapshot.csv,ticker,69500.0,153130.0,153130.0,abs(value) > 100,3,"ticker, name, date, direction, intensity, signal, score_return, score_ma_pos, score_momentum, score_vol, score_rs"
data\processed\hsi_signal_snapshot.csv,score_return,-4.338,3.787,4.338,return abs > 1,3,"ticker, name, date, direction, intensity, signal, score_return, score_ma_pos, score_momentum, score_vol, score_rs"
data\processed\korea_etf_price_clean.csv,069500,17791.0,146945.0,146945.0,abs(value) > 100,3000,"Unnamed: 0, 069500, 229200, 360750, 133690, 195930, 192090, 114260, 148070, 136340, 132030, 130680, 352560, 153130"
data\processed\korea_etf_price_clean.csv,229200,6962.0,21100.0,21100.0,abs(value) > 100,3000,"Unnamed: 0, 069500, 229200, 360750, 133690, 195930, 192090, 114260, 148070, 136340, 132030, 130680, 352560, 153130"
data\processed\korea_etf_price_clean.csv,360750,8687.0,28845.0,28845.0,abs(value) > 100,3000,"Unnamed: 0, 069500, 229200, 360750, 133690, 195930, 192090, 114260, 148070, 136340, 132030, 130680, 352560, 153130"
data\processed\korea_etf_price_clean.csv,133690,15331.0,206240.0,206240.0,abs(value) > 100,3000,"Unnamed: 0, 069500, 229200, 360750, 133690, 195930, 192090, 114260, 148070, 136340, 132030, 130680, 352560, 153130"
data\processed\korea_etf_price_clean.csv,195930,7924.0,23070.0,23070.0,abs(value) > 100,3000,"Unnamed: 0, 069500, 229200, 360750, 133690, 195930, 192090, 114260, 148070, 136340, 132030, 130680, 352560, 153130"
data\processed\korea_etf_price_clean.csv,192090,3790.0,14750.0,14750.0,abs(value) > 100,3000,"Unnamed: 0, 069500, 229200, 360750, 133690, 195930, 192090, 114260, 148070, 136340, 132030, 130680, 352560, 153130"
data\processed\korea_etf_price_clean.csv,114260,48636.0,62358.0,62358.0,abs(value) > 100,3000,"Unnamed: 0, 069500, 229200, 360750, 133690, 195930, 192090, 114260, 148070, 136340, 132030, 130680, 352560, 153130"
data\processed\korea_etf_price_clean.csv,148070,82895.0,114518.0,114518.0,abs(value) > 100,3000,"Unnamed: 0, 069500, 229200, 360750, 133690, 195930, 192090, 114260, 148070, 136340, 132030, 130680, 352560, 153130"
data\processed\korea_etf_price_clean.csv,136340,78862.0,106033.0,106033.0,abs(value) > 100,3000,"Unnamed: 0, 069500, 229200, 360750, 133690, 195930, 192090, 114260, 148070, 136340, 132030, 130680, 352560, 153130"
data\processed\korea_etf_price_clean.csv,132030,8079.0,32125.0,32125.0,abs(value) > 100,3000,"Unnamed: 0, 069500, 229200, 360750, 133690, 195930, 192090, 114260, 148070, 136340, 132030, 130680, 352560, 153130"
data\processed\korea_etf_price_clean.csv,130680,1341.0,11440.0,11440.0,abs(value) > 100,3000,"Unnamed: 0, 069500, 229200, 360750, 133690, 195930, 192090, 114260, 148070, 136340, 132030, 130680, 352560, 153130"
data\processed\korea_etf_price_clean.csv,352560,7995.0,13975.0,13975.0,abs(value) > 100,3000,"Unnamed: 0, 069500, 229200, 360750, 133690, 195930, 192090, 114260, 148070, 136340, 132030, 130680, 352560, 153130"
data\processed\korea_etf_price_clean.csv,153130,90356.0,113205.0,113205.0,abs(value) > 100,3000,"Unnamed: 0, 069500, 229200, 360750, 133690, 195930, 192090, 114260, 148070, 136340, 132030, 130680, 352560, 153130"
data\processed\main_final_asset_class.csv,ticker,69500.0,153130.0,153130.0,abs(value) > 100,3,"ticker, name, asset_class, asset_class_kr, underlying_asset, risk_group, risk_group_kr, risk_level, role, listing_date, data_start, coverage_count, hsi_na_signals, note, discussion_note"
data\processed\main_final_hsi_event_signal_flags.csv,ticker,69500.0,153130.0,153130.0,abs(value) > 100,10461,"Date, ticker, ret_1m, ret_3m, ma_gap, momentum, volatility, relative_strength, ret_6m, ret_12m, drawdown, shock_count, defensive_rs, ret_1m_hsi_direction, ret_3m_hsi_direction, ma_gap_hsi_direction, momentum_hsi_direction, volatility_hsi_direction, relative_strength_hsi_direction, ret_6m_hsi_direction, ret_12m_hsi_direction, drawdown_hsi_direction, shock_count_hsi_direction, defensive_rs_hsi_direction, ret_1m_q20, ret_1m_q80, ret_1m_event_eligible, ret_1m_risk_event, ret_1m_relief_event, ret_3m_q20, ret_3m_q80, ret_3m_event_eligible, ret_3m_risk_event, ret_3m_relief_event, ma_gap_q20, ma_gap_q80, ma_gap_event_eligible, ma_gap_risk_event, ma_gap_relief_event, momentum_q20, momentum_q80, momentum_event_eligible, momentum_risk_event, momentum_relief_event, volatility_q20, volatility_q80, volatility_event_eligible, volatility_risk_event, volatility_relief_event, relative_strength_q20, relative_strength_q80, relative_strength_event_eligible, relative_strength_risk_event, relative_strength_relief_event, ret_6m_q20, ret_6m_q80, ret_6m_event_eligible, ret_6m_risk_event, ret_6m_relief_event, ret_12m_q20, ret_12m_q80, ret_12m_event_eligible, ret_12m_risk_event, ret_12m_relief_event, drawdown_q20, drawdown_q80, drawdown_event_eligible, drawdown_risk_event, drawdown_relief_event, shock_count_q20, shock_count_q80, shock_count_event_eligible, shock_count_risk_event, shock_count_relief_event, defensive_rs_q20, defensive_rs_q80, defensive_rs_event_eligible, defensive_rs_risk_event, defensive_rs_relief_event"
data\processed\main_final_hsi_scaled_scores.csv,069500_return,-10.0,10.0,10.0,return abs > 1,3487,"Date, 069500_return, 114260_return, 153130_return, 069500_ma_pos, 114260_ma_pos, 153130_ma_pos, 069500_momentum, 114260_momentum, 153130_momentum, 069500_vol, 114260_vol, 153130_vol, 069500_rs, 114260_rs, 153130_rs"
data\processed\main_final_hsi_scaled_scores.csv,114260_return,-10.0,10.0,10.0,return abs > 1,3487,"Date, 069500_return, 114260_return, 153130_return, 069500_ma_pos, 114260_ma_pos, 153130_ma_pos, 069500_momentum, 114260_momentum, 153130_momentum, 069500_vol, 114260_vol, 153130_vol, 069500_rs, 114260_rs, 153130_rs"
data\processed\main_final_hsi_scaled_scores.csv,153130_return,-10.0,10.0,10.0,return abs > 1,3487,"Date, 069500_return, 114260_return, 153130_return, 069500_ma_pos, 114260_ma_pos, 153130_ma_pos, 069500_momentum, 114260_momentum, 153130_momentum, 069500_vol, 114260_vol, 153130_vol, 069500_rs, 114260_rs, 153130_rs"
data\processed\main_final_hsi_state5_table.csv,ticker,69500.0,69500.0,69500.0,abs(value) > 100,172,"year_month, ticker, ticker_name, ticker_role, score_date, direction_date, raw3_signal_date, hsi_direction, raw3_signal, score_return, score_ma_pos, score_momentum, score_vol, score_rs, event_balance_13612w, event_intensity_13612w, event_balance_13612w_label, event_intensity_13612w_label, risk_component, relief_component, state_direction, state_intensity, valid_score_count, hsi_state, state_reason, state_kr, state_rule_version, theta_common, accident_extra, conflict_direction_band"
data\processed\main_final_hsi_state5_table.csv,score_return,-10.0,10.0,10.0,return abs > 1,172,"year_month, ticker, ticker_name, ticker_role, score_date, direction_date, raw3_signal_date, hsi_direction, raw3_signal, score_return, score_ma_pos, score_momentum, score_vol, score_rs, event_balance_13612w, event_intensity_13612w, event_balance_13612w_label, event_intensity_13612w_label, risk_component, relief_component, state_direction, state_intensity, valid_score_count, hsi_state, state_reason, state_kr, state_rule_version, theta_common, accident_extra, conflict_direction_band"
data\processed\main_final_monthly_price.csv,069500,18712.830078125,138565.0,138565.0,abs(value) > 100,172,"year_month, 069500, 114260, 153130"
data\processed\main_final_monthly_price.csv,114260,45770.82421875,63085.0,63085.0,abs(value) > 100,172,"year_month, 069500, 114260, 153130"
data\processed\main_final_monthly_price.csv,153130,85535.625,113265.0,113265.0,abs(value) > 100,172,"year_month, 069500, 114260, 153130"
data\processed\main_final_monthly_signal_inputs_long.csv,ticker,69500.0,153130.0,153130.0,abs(value) > 100,516,"year_month, score_date, ticker, ticker_name, ticker_role, score_return, score_ma_pos, score_momentum, score_vol, score_rs, direction_date, hsi_direction, raw3_signal_date, raw3_signal, raw_signal_date, ret_1m, ret_3m, ma_gap, momentum, volatility, relative_strength, ret_6m, ret_12m, drawdown, shock_count, defensive_rs, event_balance_raw, event_intensity_raw, event_balance_13612w, event_intensity_13612w, event_balance_13612w_label, event_intensity_13612w_label"
data\processed\main_final_monthly_signal_inputs_long.csv,score_return,-10.0,10.0,10.0,return abs > 1,516,"year_month, score_date, ticker, ticker_name, ticker_role, score_return, score_ma_pos, score_momentum, score_vol, score_rs, direction_date, hsi_direction, raw3_signal_date, raw3_signal, raw_signal_date, ret_1m, ret_3m, ma_gap, momentum, volatility, relative_strength, ret_6m, ret_12m, drawdown, shock_count, defensive_rs, event_balance_raw, event_intensity_raw, event_balance_13612w, event_intensity_13612w, event_balance_13612w_label, event_intensity_13612w_label"
data\processed\main_final_monthly_signal_inputs_wide.csv,069500_return,-10.0,10.0,10.0,return abs > 1,172,"year_month, score_date, 069500_return, 114260_return, 153130_return, 069500_ma_pos, 114260_ma_pos, 153130_ma_pos, 069500_momentum, 114260_momentum, 153130_momentum, 069500_vol, 114260_vol, 153130_vol, 069500_rs, 114260_rs, 153130_rs, direction_date, 069500_direction, 114260_direction, 153130_direction, raw3_signal_date, 069500_signal, 114260_signal, 153130_signal, event_balance_raw, event_intensity_raw, event_balance_13612w, event_intensity_13612w, event_balance_13612w_label, event_intensity_13612w_label"
data\processed\main_final_monthly_signal_inputs_wide.csv,114260_return,-10.0,10.0,10.0,return abs > 1,172,"year_month, score_date, 069500_return, 114260_return, 153130_return, 069500_ma_pos, 114260_ma_pos, 153130_ma_pos, 069500_momentum, 114260_momentum, 153130_momentum, 069500_vol, 114260_vol, 153130_vol, 069500_rs, 114260_rs, 153130_rs, direction_date, 069500_direction, 114260_direction, 153130_direction, raw3_signal_date, 069500_signal, 114260_signal, 153130_signal, event_balance_raw, event_intensity_raw, event_balance_13612w, event_intensity_13612w, event_balance_13612w_label, event_intensity_13612w_label"
data\processed\main_final_monthly_signal_inputs_wide.csv,153130_return,-10.0,10.0,10.0,return abs > 1,172,"year_month, score_date, 069500_return, 114260_return, 153130_return, 069500_ma_pos, 114260_ma_pos, 153130_ma_pos, 069500_momentum, 114260_momentum, 153130_momentum, 069500_vol, 114260_vol, 153130_vol, 069500_rs, 114260_rs, 153130_rs, direction_date, 069500_direction, 114260_direction, 153130_direction, raw3_signal_date, 069500_signal, 114260_signal, 153130_signal, event_balance_raw, event_intensity_raw, event_balance_13612w, event_intensity_13612w, event_balance_13612w_label, event_intensity_13612w_label"
data\processed\main_final_monthly_signal_scores_wide.csv,069500_return,-10.0,10.0,10.0,return abs > 1,172,"year_month, score_date, 069500_return, 114260_return, 153130_return, 069500_ma_pos, 114260_ma_pos, 153130_ma_pos, 069500_momentum, 114260_momentum, 153130_momentum, 069500_vol, 114260_vol, 153130_vol, 069500_rs, 114260_rs, 153130_rs"
data\processed\main_final_monthly_signal_scores_wide.csv,114260_return,-10.0,10.0,10.0,return abs > 1,172,"year_month, score_date, 069500_return, 114260_return, 153130_return, 069500_ma_pos, 114260_ma_pos, 153130_ma_pos, 069500_momentum, 114260_momentum, 153130_momentum, 069500_vol, 114260_vol, 153130_vol, 069500_rs, 114260_rs, 153130_rs"
data\processed\main_final_monthly_signal_scores_wide.csv,153130_return,-10.0,10.0,10.0,return abs > 1,172,"year_month, score_date, 069500_return, 114260_return, 153130_return, 069500_ma_pos, 114260_ma_pos, 153130_ma_pos, 069500_momentum, 114260_momentum, 153130_momentum, 069500_vol, 114260_vol, 153130_vol, 069500_rs, 114260_rs, 153130_rs"
data\processed\main_final_relative_speed_long.csv,ticker,69500.0,153130.0,153130.0,abs(value) > 100,2580,"year_month, ticker, ticker_name, ticker_role, score_column, signal_score, signal_name, signal_family, signal_speed_type, signal_velocity, centroid_score, centroid_velocity, relative_velocity, relative_speed_abs, direction_label, speed_rank, hsi_state, state_kr, interpretation"
