theta_id,theta_common,hsi_state,state_kr,months,total_months,ratio
theta_0.10,0.1,accident_zone,강한 위험 구간,36,172,0.20930232558139536
theta_0.10,0.1,conflict,신호 충돌,14,172,0.08139534883720931
theta_0.10,0.1,insufficient_data,자료 부족,4,172,0.023255813953488372
theta_0.10,0.1,neutral_watch,중립 관찰,16,172,0.09302325581395349
theta_0.10,0.1,risk_relief,위험 완화 우세,83,172,0.48255813953488375
theta_0.10,0.1,risk_warning,위험 악화 우세,19,172,0.11046511627906977
theta_0.15,0.15,accident_zone,강한 위험 구간,34,172,0.19767441860465115
theta_0.15,0.15,conflict,신호 충돌,4,172,0.023255813953488372
theta_0.15,0.15,insufficient_data,자료 부족,4,172,0.023255813953488372
theta_0.15,0.15,neutral_watch,중립 관찰,35,172,0.20348837209302326
theta_0.15,0.15,risk_relief,위험 완화 우세,81,172,0.47093023255813954
theta_0.15,0.15,risk_warning,위험 악화 우세,14,172,0.08139534883720931
theta_0.20,0.2,accident_zone,강한 위험 구간,26,172,0.1511627906976744
theta_0.20,0.2,conflict,신호 충돌,2,172,0.011627906976744186
theta_0.20,0.2,insufficient_data,자료 부족,4,172,0.023255813953488372
theta_0.20,0.2,neutral_watch,중립 관찰,59,172,0.3430232558139535
theta_0.20,0.2,risk_relief,위험 완화 우세,62,172,0.36046511627906974
theta_0.20,0.2,risk_warning,위험 악화 우세,19,172,0.11046511627906977
theta_0.25,0.25,accident_zone,강한 위험 구간,18,172,0.10465116279069768
theta_0.25,0.25,insufficient_data,자료 부족,4,172,0.023255813953488372
theta_0.25,0.25,neutral_watch,중립 관찰,72,172,0.4186046511627907
theta_0.25,0.25,risk_relief,위험 완화 우세,52,172,0.3023255813953488
theta_0.25,0.25,risk_warning,위험 악화 우세,26,172,0.1511627906976744
theta_0.30,0.3,accident_zone,강한 위험 구간,16,172,0.09302325581395349
theta_0.30,0.3,insufficient_data,자료 부족,4,172,0.023255813953488372
theta_0.30,0.3,neutral_watch,중립 관찰,86,172,0.5
theta_0.30,0.3,risk_relief,위험 완화 우세,46,172,0.26744186046511625
theta_0.30,0.3,risk_warning,위험 악화 우세,20,172,0.11627906976744186
