method,strategy,signal_date,Date,hsi_state5,state_name_kr,action,069500_weight,114260_weight,153130_weight
rank,EW,2012-03-31,2012-04-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2012-03-31,2012-04-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2012-04-30,2012-05-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2012-04-30,2012-05-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2012-05-31,2012-06-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2012-05-31,2012-06-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2012-06-30,2012-07-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2012-06-30,2012-07-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2012-07-31,2012-08-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2012-07-31,2012-08-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2012-08-31,2012-09-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2012-08-31,2012-09-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2012-09-30,2012-10-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2012-09-30,2012-10-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2012-10-31,2012-11-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2012-10-31,2012-11-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2012-11-30,2012-12-31,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2012-11-30,2012-12-31,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2012-12-31,2013-01-31,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2012-12-31,2013-01-31,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2013-01-31,2013-02-28,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2013-01-31,2013-02-28,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2013-02-28,2013-03-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2013-02-28,2013-03-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2013-03-31,2013-04-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2013-03-31,2013-04-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2013-04-30,2013-05-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2013-04-30,2013-05-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2013-05-31,2013-06-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2013-05-31,2013-06-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2013-06-30,2013-07-31,accident_zone,강한 위험 악화,강한 방어전환,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2013-06-30,2013-07-31,accident_zone,강한 위험 악화,강한 방어전환,0.1,0.45,0.45
rank,EW,2013-07-31,2013-08-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2013-07-31,2013-08-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2013-08-31,2013-09-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2013-08-31,2013-09-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2013-09-30,2013-10-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2013-09-30,2013-10-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2013-10-31,2013-11-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2013-10-31,2013-11-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2013-11-30,2013-12-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2013-11-30,2013-12-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2013-12-31,2014-01-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2013-12-31,2014-01-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-01-31,2014-02-28,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-01-31,2014-02-28,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2014-02-28,2014-03-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-02-28,2014-03-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-03-31,2014-04-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-03-31,2014-04-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-04-30,2014-05-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-04-30,2014-05-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-05-31,2014-06-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-05-31,2014-06-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-06-30,2014-07-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-06-30,2014-07-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-07-31,2014-08-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-07-31,2014-08-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-08-31,2014-09-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-08-31,2014-09-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-09-30,2014-10-31,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-09-30,2014-10-31,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2014-10-31,2014-11-30,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-10-31,2014-11-30,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2014-11-30,2014-12-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-11-30,2014-12-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2014-12-31,2015-01-31,risk_warning,위험 악화 우세,방어 강화,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2014-12-31,2015-01-31,risk_warning,위험 악화 우세,방어 강화,0.2,0.4,0.4
