method,strategy,overlay_rule,signal_date,Date,hsi_state5,state_name_kr,state_reason,action,monthly_return,cumulative_return,running_max,drawdown
zscore,EW,main_v2b_conflict_as_watch,2012-03-31,2012-04-30,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.0015006768828879,1.0015006768828878,1.0015006768828878,0.0
zscore,EW,main_v2b_conflict_as_watch,2012-04-30,2012-05-31,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,-0.022649718089850498,0.9788169688846959,1.0015006768828878,-0.0226497180898505
zscore,EW,main_v2b_conflict_as_watch,2012-05-31,2012-06-30,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.0029937000336713667,0.9817472532774041,1.0015006768828878,-0.019723824517987376
zscore,EW,main_v2b_conflict_as_watch,2012-06-30,2012-07-31,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.012929218886426567,0.9944404784061757,1.0015006768828878,-0.007049619276031427
zscore,EW,main_v2b_conflict_as_watch,2012-07-31,2012-08-31,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,0.0024376468962339997,0.9968645731518518,1.0015006768828878,-0.004629156862345329
zscore,EW,main_v2b_conflict_as_watch,2012-08-31,2012-09-30,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.017588847642714633,1.0143982722494396,1.0143982722494396,0.0
zscore,EW,main_v2b_conflict_as_watch,2012-09-30,2012-10-31,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,-0.013575138818670132,1.0006276748862344,1.0143982722494396,-0.013575138818670007
zscore,EW,main_v2b_conflict_as_watch,2012-10-31,2012-11-30,neutral_watch,관찰·중립,방향성이 뚜렷하지 않아 관찰 상태,기본 동일비중 유지,0.006960021770225432,1.0075920652873327,1.0143982722494396,-0.006709600310156327
zscore,EW,main_v2b_conflict_as_watch,2012-11-30,2012-12-31,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,0.015110596956189633,1.0228173828821443,1.0228173828821443,0.0
zscore,EW,main_v2b_conflict_as_watch,2012-12-31,2013-01-31,risk_relief,위험 완화 우세,위험 완화 방향 우세,기본 동일비중 유지,-0.005105456570753767,1.0175954331540276,1.0228173828821443,-0.005105456570753675
