Date,method,strategy,overlay_rule,signal_date,hsi_state5,state_name_kr,action,monthly_return,cumulative_return,drawdown
2012-04-30,rank,EW,main_v2b_conflict_as_watch,2012-03-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.0015006768828879,1.0015006768828878,0.0
2012-05-31,rank,EW,main_v2b_conflict_as_watch,2012-04-30,neutral_watch,관찰·중립,기본 동일비중 유지,-0.0226497180898504,0.978816968884696,-0.0226497180898505
2012-06-30,rank,EW,main_v2b_conflict_as_watch,2012-05-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.0029937000336713,0.981747253277404,-0.0197238245179873
2012-07-31,rank,EW,main_v2b_conflict_as_watch,2012-06-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.0129292188864265,0.9944404784061756,-0.0070496192760314
2012-08-31,rank,EW,main_v2b_conflict_as_watch,2012-07-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.0024376468962339,0.9968645731518518,-0.0046291568623453
2012-09-30,rank,EW,main_v2b_conflict_as_watch,2012-08-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.0175888476427146,1.0143982722494396,0.0
2012-10-31,rank,EW,main_v2b_conflict_as_watch,2012-09-30,risk_relief,위험 완화 우세,기본 동일비중 유지,-0.0135751388186701,1.0006276748862344,-0.01357513881867
2012-11-30,rank,EW,main_v2b_conflict_as_watch,2012-10-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.0069600217702254,1.0075920652873327,-0.0067096003101563
2012-12-31,rank,EW,main_v2b_conflict_as_watch,2012-11-30,conflict,충돌 상태,충돌은 관찰로 처리,0.0151105969561896,1.0228173828821443,0.0
2013-01-31,rank,EW,main_v2b_conflict_as_watch,2012-12-31,conflict,충돌 상태,충돌은 관찰로 처리,-0.0051054565707537,1.0175954331540276,-0.0051054565707536
2013-02-28,rank,EW,main_v2b_conflict_as_watch,2013-01-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.0159837398546007,1.033860413834791,0.0
2013-03-31,rank,EW,main_v2b_conflict_as_watch,2013-02-28,risk_relief,위험 완화 우세,기본 동일비중 유지,-0.0034046900530706,1.0303404395675446,-0.0034046900530705
2013-04-30,rank,EW,main_v2b_conflict_as_watch,2013-03-31,neutral_watch,관찰·중립,기본 동일비중 유지,-0.0083767970573871,1.0217094868052683,-0.0117529667128397
2013-05-31,rank,EW,main_v2b_conflict_as_watch,2013-04-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.0058422876396569,1.0276786075113509,-0.0059793432853385
2013-06-30,rank,EW,main_v2b_conflict_as_watch,2013-05-31,risk_relief,위험 완화 우세,기본 동일비중 유지,-0.0253800016945285,1.0015961227112822,-0.0312075892371529
2013-07-31,rank,EW,main_v2b_conflict_as_watch,2013-06-30,accident_zone,강한 위험 악화,강한 방어전환,0.0101025843697385,1.0117148320453755,-0.021420282170659
2013-08-31,rank,EW,main_v2b_conflict_as_watch,2013-07-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.0059530396055012,1.0177376105100149,-0.0155947583532808
2013-09-30,rank,EW,main_v2b_conflict_as_watch,2013-08-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.0156364090307469,1.0336513720739249,-0.0002021953428812
2013-10-31,rank,EW,main_v2b_conflict_as_watch,2013-09-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.0096367395281661,1.043612401109533,0.0
2013-11-30,rank,EW,main_v2b_conflict_as_watch,2013-10-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.0023225552066738,1.046036248525479,0.0
2013-12-31,rank,EW,main_v2b_conflict_as_watch,2013-11-30,neutral_watch,관찰·중립,기본 동일비중 유지,-0.0007731302831468,1.0452275262244746,-0.0007731302831469
