column_name,ticker,signal_name,is_extended_signal,score_unit,score_direction
069500_ma20_gap,069500,ma20_gap,True,rolling_zscore_clipped_-10_to_10,"positive=risk_worsening, negative=risk_relief"
069500_ma60_gap,069500,ma60_gap,True,rolling_zscore_clipped_-10_to_10,"positive=risk_worsening, negative=risk_relief"
069500_vol20,069500,vol20,True,rolling_zscore_clipped_-10_to_10,"positive=risk_worsening, negative=risk_relief"
069500_drawdown_60,069500,drawdown_60,True,rolling_zscore_clipped_-10_to_10,"positive=risk_worsening, negative=risk_relief"
069500_risk_vs_cash_ret20,069500,risk_vs_cash_ret20,True,rolling_zscore_clipped_-10_to_10,"positive=risk_worsening, negative=risk_relief"
114260_ma20_gap,114260,ma20_gap,True,rolling_zscore_clipped_-10_to_10,"positive=risk_worsening, negative=risk_relief"
114260_ma60_gap,114260,ma60_gap,True,rolling_zscore_clipped_-10_to_10,"positive=risk_worsening, negative=risk_relief"
114260_vol20,114260,vol20,True,rolling_zscore_clipped_-10_to_10,"positive=risk_worsening, negative=risk_relief"
114260_drawdown_60,114260,drawdown_60,True,rolling_zscore_clipped_-10_to_10,"positive=risk_worsening, negative=risk_relief"
114260_risk_vs_cash_ret20,114260,risk_vs_cash_ret20,True,rolling_zscore_clipped_-10_to_10,"positive=risk_worsening, negative=risk_relief"
153130_ma20_gap,153130,ma20_gap,True,rolling_zscore_clipped_-10_to_10,"positive=risk_worsening, negative=risk_relief"
153130_ma60_gap,153130,ma60_gap,True,rolling_zscore_clipped_-10_to_10,"positive=risk_worsening, negative=risk_relief"
153130_vol20,153130,vol20,True,rolling_zscore_clipped_-10_to_10,"positive=risk_worsening, negative=risk_relief"
153130_drawdown_60,153130,drawdown_60,True,rolling_zscore_clipped_-10_to_10,"positive=risk_worsening, negative=risk_relief"
153130_risk_vs_cash_ret20,153130,risk_vs_cash_ret20,True,rolling_zscore_clipped_-10_to_10,"positive=risk_worsening, negative=risk_relief"
