grid_id,risk_relief_weight,neutral_watch_weight,conflict_weight,risk_warning_weight,accident_zone_weight,defensive_allocation_rule,monotonic_defense_check,note
grid_001,0.3333,0.3333,0.3333,0.25,0.15,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_002,0.3333,0.3333,0.3333,0.25,0.1,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_003,0.3333,0.3333,0.3333,0.25,0.05,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_004,0.3333,0.3333,0.3333,0.2,0.15,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_005,0.3333,0.3333,0.3333,0.2,0.1,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_006,0.3333,0.3333,0.3333,0.2,0.05,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_007,0.3333,0.3333,0.3333,0.15,0.15,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_008,0.3333,0.3333,0.3333,0.15,0.1,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_009,0.3333,0.3333,0.3333,0.15,0.05,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_010,0.3333,0.3333,0.3,0.25,0.15,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_011,0.3333,0.3333,0.3,0.25,0.1,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_012,0.3333,0.3333,0.3,0.25,0.05,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_013,0.3333,0.3333,0.3,0.2,0.15,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_014,0.3333,0.3333,0.3,0.2,0.1,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_015,0.3333,0.3333,0.3,0.2,0.05,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_016,0.3333,0.3333,0.3,0.15,0.15,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_017,0.3333,0.3333,0.3,0.15,0.1,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
grid_018,0.3333,0.3333,0.3,0.15,0.05,위험자산 비중을 제외한 나머지를 114260과 153130에 50:50 배분,OK,HSI 상태가 나빠질수록 위험자산 비중이 커지지 않는 후보만 포함
