Month,Ticker,large_down,large_up,medium_down,medium_up,small_down,small_flat,small_up,medium_flat,large_flat,risk_event_count,overheat_event_count,event_balance
2014-06,069500,0,0,0,0,1,0,1,0,0,0,0,0
2014-06,114260,0,1,0,0,1,0,0,0,0,0,2,2
2014-06,130680,0,0,1,0,1,0,0,0,0,1,0,-1
2014-06,132030,0,0,0,0,0,0,2,0,0,0,0,0
2014-06,133690,0,0,0,0,1,0,1,0,0,0,0,0
2014-06,136340,0,0,0,2,0,0,0,0,0,0,2,2
2014-06,148070,0,0,0,1,0,0,1,0,0,0,1,1
2014-06,153130,0,0,0,0,0,1,1,0,0,0,0,0
2014-06,192090,0,0,0,0,0,0,2,0,0,0,0,0
2014-07,069500,0,1,2,5,7,1,7,0,0,2,7,5
2014-07,114260,0,3,4,3,5,1,7,0,0,4,9,5
2014-07,130680,2,2,6,4,6,0,3,0,0,10,8,-2
2014-07,132030,1,0,4,5,8,0,5,0,0,6,5,-1
2014-07,133690,0,1,3,5,5,0,9,0,0,3,7,4
2014-07,136340,0,4,4,4,6,1,4,0,0,4,12,8
2014-07,148070,0,4,7,2,7,0,3,0,0,7,10,3
2014-07,153130,0,1,0,11,1,2,8,0,0,0,13,13
2014-07,192090,0,3,2,5,7,0,6,0,0,2,11,9
2014-07,195930,0,0,0,0,1,0,0,0,0,0,0,0
2014-08,069500,2,0,2,4,6,1,5,0,0,6,4,-2
2014-08,114260,0,0,2,7,5,3,3,0,0,2,7,5
2014-08,130680,1,2,4,2,9,0,2,0,0,6,6,0
2014-08,132030,0,1,5,2,4,1,7,0,0,5,4,-1
2014-08,133690,0,1,3,5,7,1,3,0,0,3,7,4
2014-08,136340,1,3,5,4,2,1,4,0,0,7,10,3
2014-08,148070,1,2,3,4,4,0,6,0,0,5,8,3
2014-08,153130,1,2,0,3,0,2,12,0,0,2,7,5
2014-08,192090,0,2,7,2,4,1,4,0,0,7,6,-1
2014-08,195930,2,2,3,4,5,0,4,0,0,7,8,1
2014-09,069500,1,0,3,1,10,0,4,0,0,5,1,-4
2014-09,114260,0,3,1,7,5,1,2,0,0,1,13,12
2014-09,130680,1,1,1,3,8,1,4,0,0,3,5,2
2014-09,132030,5,0,1,1,5,1,6,0,0,11,1,-10
2014-09,133690,2,4,2,3,3,0,5,0,0,6,11,5
2014-09,136340,0,4,2,3,4,1,5,0,0,2,11,9
2014-09,148070,0,2,3,4,1,0,9,0,0,3,8,5
2014-09,153130,1,4,0,3,2,2,7,0,0,2,11,9
2014-09,192090,1,4,3,5,3,0,3,0,0,5,13,8
2014-09,195930,1,1,4,4,4,0,5,0,0,6,6,0
2014-10,069500,3,2,3,3,8,0,2,0,0,9,7,-2
2014-10,114260,0,4,1,0,7,2,7,0,0,1,8,7
2014-10,130680,3,0,4,1,6,2,5,0,0,10,1,-9
2014-10,132030,3,1,2,6,6,1,2,0,0,8,8,0
2014-10,133690,5,4,1,1,3,1,6,0,0,11,9,-2
2014-10,136340,0,3,3,2,3,2,8,0,0,3,8,5
2014-10,148070,0,2,1,7,5,1,5,0,0,1,11,10
2014-10,153130,0,1,0,6,1,2,11,0,0,0,8,8
2014-10,192090,1,1,3,5,6,0,5,0,0,5,7,2
2014-10,195930,3,2,3,3,6,1,3,0,0,9,7,-2
2014-11,069500,0,0,3,5,6,2,4,0,0,3,5,2
2014-11,114260,1,0,3,7,2,1,6,0,0,5,7,2
2014-11,130680,5,0,2,4,4,1,4,0,0,12,4,-8
2014-11,132030,3,2,4,2,5,0,4,0,0,10,6,-4
2014-11,133690,0,2,1,3,2,0,12,0,0,1,7,6
2014-11,136340,1,1,2,3,5,0,8,0,0,4,5,1
2014-11,148070,1,2,2,5,6,0,4,0,0,4,9,5
2014-11,153130,0,0,0,6,2,1,11,0,0,0,6,6
2014-11,192090,0,3,1,4,5,0,7,0,0,1,10,9
2014-11,195930,0,2,2,3,7,0,6,0,0,2,7,5
2014-12,069500,1,1,4,2,7,0,6,0,0,6,4,-2
2014-12,114260,2,0,3,7,3,2,4,0,0,7,7,0
2014-12,130680,4,2,9,1,2,0,3,0,0,17,5,-12
2014-12,132030,2,2,2,2,7,2,4,0,0,6,6,0
2014-12,133690,2,2,4,2,3,0,8,0,0,8,6,-2
2014-12,136340,2,3,3,2,7,0,4,0,0,7,8,1
2014-12,148070,3,0,1,7,4,0,6,0,0,7,7,0
2014-12,153130,0,0,1,5,0,6,9,0,0,1,5,4
2014-12,192090,2,5,1,7,2,1,3,0,0,5,17,12
2014-12,195930,1,2,5,1,2,1,9,0,0,7,5,-2
2015-01,069500,2,1,0,5,5,1,7,0,0,4,7,3
2015-01,114260,2,4,3,3,3,1,5,0,0,7,11,4
2015-01,130680,3,1,3,2,6,0,6,0,0,9,4,-5
2015-01,132030,0,2,3,6,4,2,4,0,0,3,10,7
2015-01,133690,1,1,6,4,4,1,4,0,0,8,6,-2
2015-01,136340,0,0,1,8,8,0,4,0,0,1,8,7
2015-01,148070,2,5,2,5,5,0,2,0,0,6,15,9
2015-01,153130,0,4,0,5,1,3,8,0,0,0,13,13
2015-01,192090,2,2,1,3,6,1,6,0,0,5,7,2
2015-01,195930,2,3,2,4,4,0,6,0,0,6,10,4
2015-02,069500,0,0,2,2,6,0,7,0,0,2,2,0
2015-02,114260,1,0,0,2,5,1,8,0,0,2,2,0
2015-02,130680,1,4,1,2,6,0,3,0,0,3,10,7
2015-02,132030,2,0,1,1,6,1,6,0,0,5,1,-4
2015-02,133690,0,0,1,5,3,1,7,0,0,1,5,4
2015-02,136340,0,1,2,2,6,0,6,0,0,2,4,2
2015-02,148070,1,1,2,2,8,1,2,0,0,4,4,0
2015-02,153130,1,1,0,4,0,0,11,0,0,2,6,4
2015-02,192090,0,0,2,1,2,0,12,0,0,2,1,-1
2015-02,195930,0,0,2,3,4,0,8,0,0,2,3,1
2015-03,069500,0,1,3,2,3,3,10,0,0,3,4,1
2015-03,114260,0,1,0,5,4,1,11,0,0,0,7,7
2015-03,130680,0,1,3,1,9,0,8,0,0,3,3,0
2015-03,132030,1,1,4,1,7,0,8,0,0,6,3,-3
2015-03,133690,0,0,3,3,9,0,7,0,0,3,3,0
2015-03,136340,0,2,2,7,4,0,7,0,0,2,11,9
2015-03,148070,0,1,1,4,5,1,10,0,0,1,6,5
2015-03,153130,0,3,0,5,0,2,12,0,0,0,11,11
